特效编号	角色模型ID	缩放比例
int	string	string
Id	Configs	Scales
32000001	hero106	1.5
32000002	hero106	1.5
32000003	hero106	1.5
32000004	hero106	1.5
32000005	hero106	1.5
32000006	hero106	1.5
32000007	hero106	1.5
32000008	hero106	1.5
32000009	hero106	1.5
32000010	hero106	1.5
32000011	hero106	1.5
32000012	hero106	1.5
32000017	hero106	1.5
32000018	hero106	1.5
32000019	hero106	1.5
32000020	hero106	1.5
32000021	hero106	1.5
32000022	hero106	1.5
32000023	hero106	1.5
32000024	hero106	1.5
32000025	hero106	1.5
32000026	hero106	1.5
32000027	hero106	1.5
32000028	hero106	1.5
32000029	hero106	1.5
32000030	hero106	1.5
32000031	hero106	1.5
32000032	hero106	1.5
32000033	hero106	1.5
32000034	hero106	1.5
32000035	hero106	1.5
32000036	hero106	1.5
32000037	hero106	1.5
32000038	hero106	1.5
32000039	hero106	1.5
32000040	hero106	1.5
32000041	hero106	1.5
32000042	hero106	1.5
32000043	hero106	1.5
32000044	hero106	1.5
32000045	hero106	1.5
32000046	hero106	1.5
32000047	hero106	1.5
32000048	hero106	1.5
32000049	hero106	1.5
32000050	hero106	1.5
32000051	hero106	1.5
32000052	hero106	1.5
32000053	hero106	1.5
32000054	hero106	1.5
32000055	hero106	1.5
32000056	hero106	1.5
32000057	hero106	1.5
32000058	hero106	1.5
32000059	hero106	1.5
32000060	hero106	1.5
32000061	hero106	1.5
32000062	hero106	1.5
32000063	hero106	1.5
32000064	hero106	1.5
32000065	hero106	1.5
32000066	hero106	1.5
32000067	hero106	1.5
32000068	hero106	1.5
32000069	hero106	1.5
32000070	hero106	1.5
32000071	hero106	1.5
32000072	hero106	1.5
32000073	hero106	1.5
32000074	hero106	1.5
32000075	hero106	1.5
32000076	hero106	1.5
32000077	hero106	1.5
32000078	hero106	1.5
32000079	hero106	1.5
32000080	hero106	1.5
32000081	hero106	1.5
32000082	hero106	1.5
32000083	hero106	1.5
32000084	hero106	1.5
32000085	hero106	1.5
32000086	hero106	1.5
32000087	hero106	1.5
32000088	hero106	1.5
32000089	hero106	1.5
32000090	hero106	1.5
32000091	hero106	1.5
32000092	hero106	1.5
32000093	hero106	1
32000094	hero106	1
32000095	hero106	1
32000096	hero106	1
32000097	hero106	1
32000098	hero106	1
32000099	hero106	1
32000100	hero106	1
32000101	hero106	1.5
32000102	hero106	1.5
32000103	hero106	1.5
32000104	hero106	1.5
32000105	hero106	1.5
32000106	hero106	1.5
32000107	hero106	1.5
32000108	hero106	1.5
