Key值	商店标签1	商店标签2	商品标签3	道具排序	是否珍品	商品ID	抽象ID	等级	显示等级	货币类型	指导价格	是否触发警戒提示	回收警戒线	低价警告警戒线	高价警告警戒线	复制警戒线	购买限制	生效地区,不填即为全部生效
int	int	int	int	int	int	string	string	int	int	int	int	int	string	float	float	string	string	string
Id	LabelId	SubLabelId	GoodsId	ItemSort	IsRare	ShowItemId	ItemId	Level	ShowLevel	PriceType	GuidePrice	RecoveryPrompt	RecyclingCordon	LowPriceWarningCordon	HighPriceWarningCordon	CopyCordon	BuyLimit	AreaType
30001301	4	15	0	1	0	item102020060013	item102020060013	0	60	2	18000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001302	4	15	1	2	0	item102020060014	item102020060014	0	60	2	18000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001303	4	15	2	3	0	item102020060015	item102020060015	0	60	2	18000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001304	4	15	3	4	0	item102020060016	item102020060016	0	60	2	24000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001305	4	15	4	5	0	item102020060017	item102020060017	0	70	2	20000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001306	4	15	5	6	0	item102020060018	item102020060018	0	70	2	20000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001307	4	15	6	7	0	item102020060019	item102020060019	0	70	2	20000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001308	4	15	7	8	0	item102020060020	item102020060020	0	70	2	24000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001309	4	15	8	9	0	item102020060021	item102020060021	0	80	2	24000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001310	4	15	9	10	0	item102020060022	item102020060022	0	80	2	24000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001311	4	15	10	11	0	item102020060023	item102020060023	0	80	2	24000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001312	4	15	11	12	0	item102020060024	item102020060024	0	80	2	24000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001313	4	15	12	13	0	item102020060025	item102020060025	0	80	2	24000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001314	4	15	13	14	0	item102020060026	item102020060026	0	90	2	30000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001315	4	15	14	15	0	item102020060027	item102020060027	0	90	2	30000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001316	4	15	15	16	0	item102020060028	item102020060028	0	90	2	30000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001317	4	15	16	17	0	item102020060029	item102020060029	0	90	2	36000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001318	4	15	17	18	0	item102020060030	item102020060030	0	90	2	36000	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001201	4	14	0	1	0	item100800000002	item100800000002	0	1	2	1500	0	0,0.1;11,0.1;31,0.1	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
30001202	4	14	1	2	0	item100800000001	item100800000001	0	1	2	26000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5139	0	12	0	1	0	item102020061003	item102020061003	0	1	2	120000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
5140	0	12	1	2	0	item102020061005	item102020061005	0	1	2	500000	0	0,0.9;11,0.9;31,0.9	0.000000	0.000000	0,2;11,2;31,2	0,0;41,6;51,10;60,13;65,16;70,19;75,22	
