流水	场景ID	Npc配置ID	对象类型	出生位置	出生角度
int	int	string	string	vector3	float
Id	SceneID	NpcID	Script	BornPos	BornRot
1	4	door_Map4_To_Map3	DoorNpc	87.6, 5.6, -10.7	208.172699
2	4	door_Map4_Resurrection	DoorNpc	28.3, 11.6, 77.2	302.816589
3	4	door_30011	DoorNpc	-60.5, 2.8, 16.8	0.000000
4	4	door_Jump_To_Map4	DoorNpc	15.6, 1.2, -8.6	0.000000
5	1	door_Jump_To_Map1_2	DoorNpc	9.9, 6.7, -23.0	0.000000
6	1	door_Jump_To_Map1	DoorNpc	-12.0, 2.8, -9.7	0.000000
7	1	door_Map2_To_Map3	DoorNpc	-11.0, -0.5, 75.6	232.752304
8	1	door_30031	DoorNpc	57.7, 4.1, 58.3	184.264099
9	1	door_Map2_To_Map6	DoorNpc	51.2, -5.1, -69.6	334.604889
10	1	door_Map2_Resurrection	DoorNpc	-46.1, -4.9, -24.6	0.000000
11	2	door_Map1_Resurrection	DoorNpc	-17.5, 0.4, -34.9	0.000000
12	3	door_dummy_001	DoorNpc	-32.4, -0.1, -31.8	343.598389
13	3	door_Map3_Resurrection	DoorNpc	-45.0, 0.4, 15.6	0.000000
14	3	door_Map3_To_Map4	DoorNpc	-4.3, 0.5, -69.5	351.157288
15	3	door_Map3_To_Map2	DoorNpc	-70.2, 0.2, 8.1	122.017899
16	3	door_30021	DoorNpc	5.9, 2.8, 59.6	182.041504
17	3	door_Map3_To_Map5	DoorNpc	60.9, 0.1, -7.5	343.598389
18	3	door_sub_space	DoorNpc	47.1, 0.1, -7.5	194.000000
19	5	door_Map5_To_Map3	DoorNpc	-67.7, 6.7, 58.2	180.000000
20	5	door_Map5_Resurrection	DoorNpc	-54.0, 7.0, 44.8	0.000000
21	5	door_30041	DoorNpc	28.4, 8.0, 60.9	21.642799
22	6	door_350031	DoorNpc	21.6, 4.5, 97.3	182.041504
23	6	door_350011	DoorNpc	25.8, 4.5, 90.6	198.235596
24	6	door_Map6_To_Map2	DoorNpc	62.3, -4.9, -40.8	187.334702
25	6	door_Map6_Resurrection	DoorNpc	112.2, 2.4, -10.4	0.000000
26	6	door_30051	DoorNpc	33.5, -4.9, -59.3	0.000000
27	6	door_350021	DoorNpc	13.9, 4.4, 95.8	182.041504
28	6	door_Map6_To_Map7	DoorNpc	-80.6, 0.3, 32.9	182.041504
29	7	door_Map7_To_Map6	DoorNpc	73.0, 9.8, 27.3	0.000000
30	7	door_Map7_Resurrection	DoorNpc	-33.6, 3.8, -14.3	0.000000
31	7	door_30061	DoorNpc	15.9, 6.7, 86.9	0.000000
32	7	door_35005	DoorNpc	19.0, 2.3, -44.3	0.000000
33	7	door_Map7_To_Map8	DoorNpc	-44.2, 5.7, -4.9	0.000000
34	8	door_30009	DoorNpc	-81.8, 9.4, 13.6	0.000000
35	8	door_Map8_Resurrection	DoorNpc	48.1, 18.6, 24.1	0.000000
36	8	door_Map8_To_Map7	DoorNpc	-68.3, -12.2, -73.6	0.000000
37	8	door_35004	DoorNpc	-32.0, 13.0, 56.5	0.000000
38	8	door_Map8_To_Map9	DoorNpc	60.5, -0.4, -78.4	0.000000
39	9	door_Jump_To_Map9	DoorNpc	11.4, 16.2, -22.6	0.000000
40	9	door_Map9_Resurrection	DoorNpc	-51.7, 8.0, 13.4	0.000000
41	9	door_Map9_To_Map8	DoorNpc	-65.3, 3.9, -10.5	0.000000
42	40	door_Map40_To_Map1	DoorNpc	-28.3, -1.9, -37.5	0.000000
43	58	door_sub_space_enter_001	DoorNpc	2.6, -0.5, 26.9	0.000000
44	58	door_sub_space_enter_001_1	DoorNpc	28.5, -1.5, 31.7	225.000000
45	58	door_sub_space_exit_001	DoorNpc	-26.7, -3.4, -25.0	90.000000
46	158	door_sub_space_enter_002	DoorNpc	2.6, -0.5, 26.9	0.000000
47	158	door_sub_space_enter_002_1	DoorNpc	28.5, -1.5, 31.7	225.000000
48	158	door_sub_space_exit_002	DoorNpc	-26.7, -3.4, -25.0	90.000000
49	258	door_sub_space_enter_003	DoorNpc	2.6, -0.5, 26.9	0.000000
50	258	door_sub_space_enter_003_1	DoorNpc	28.5, -1.5, 31.7	225.000000
51	258	door_sub_space_exit_003	DoorNpc	-26.7, -3.4, -25.0	90.000000
52	358	door_sub_space_exit_004	DoorNpc	-26.7, -3.4, -25.0	90.000000
53	458	door_sub_space_exit_001	DoorNpc	-49.8, -7.1, -50.8	21.642799
54	458	door_sub_space_enter_001	DoorNpc	3.5, -1.1, 51.9	0.000000
55	558	door_sub_space_exit_001	DoorNpc	-49.8, -7.1, -50.8	21.642799
56	558	door_sub_space_enter_001	DoorNpc	3.5, -1.1, 51.9	0.000000
57	558	door_sub_space_exit_001	DoorNpc	-49.8, -7.1, -50.8	21.642799
58	558	door_sub_space_enter_001	DoorNpc	3.5, -1.1, 51.9	0.000000
59	658	door_sub_space_exit_001	DoorNpc	-49.8, -7.1, -50.8	21.642799
60	658	door_sub_space_enter_001	DoorNpc	3.5, -1.1, 51.9	0.000000
61	758	door_sub_space_exit_001	DoorNpc	-49.8, -7.1, -50.8	21.642799
62	758	door_sub_space_enter_001	DoorNpc	3.5, -1.1, 51.9	0.000000
63	858	door_sub_space_exit_001	DoorNpc	-49.8, -7.1, -50.8	21.642799
64	858	door_sub_space_enter_001	DoorNpc	3.5, -1.1, 51.9	0.000000
65	958	door_sub_space_exit_001	DoorNpc	-49.8, -7.1, -50.8	21.642799
66	958	door_sub_space_enter_001	DoorNpc	3.5, -1.1, 51.9	0.000000
67	1035	door_300011_trans_01	DoorNpc	26.1, 2.7, 13.1	0.000000
68	1025	door_300011_trans_01	DoorNpc	26.1, 2.7, 13.1	0.000000
69	1026	door_300012_trans_01	DoorNpc	26.1, 2.7, 13.1	0.000000
70	1037	door_300021_trans_01	DoorNpc	-36.5, 3.5, -2.1	0.000000
71	1037	door_300021_trans_02	DoorNpc	-15.0, 2.6, 7.6	0.000000
72	1037	door_300021_trans_03	DoorNpc	-8.1, -1.4, -18.6	0.000000
73	1037	door_300021_trans_04	DoorNpc	-6.7, 0.6, 1.7	0.000000
74	1037	door_300021_trans_05	DoorNpc	4.8, 4.9, 41.9	0.000000
75	1037	door_300021_trans_06	DoorNpc	26.1, 4.2, 22.0	0.000000
76	1027	door_300021_trans_01	DoorNpc	-36.5, 3.5, -2.1	0.000000
77	1027	door_300021_trans_02	DoorNpc	-15.0, 2.6, 7.6	0.000000
78	1027	door_300021_trans_03	DoorNpc	-8.1, -1.4, -18.6	0.000000
79	1027	door_300021_trans_04	DoorNpc	-6.7, 0.6, 1.7	0.000000
80	1027	door_300021_trans_05	DoorNpc	4.8, 4.9, 41.9	0.000000
81	1027	door_300021_trans_06	DoorNpc	26.1, 4.2, 22.0	0.000000
82	1028	door_300022_trans_06	DoorNpc	26.1, 4.2, 22.0	0.000000
83	1028	door_300022_trans_05	DoorNpc	4.8, 4.9, 41.9	0.000000
84	1028	door_300022_trans_04	DoorNpc	-6.7, 0.6, 1.7	0.000000
85	1028	door_300022_trans_03	DoorNpc	-8.1, -1.4, -18.6	0.000000
86	1028	door_300022_trans_02	DoorNpc	-15.0, 2.6, 7.6	0.000000
87	1028	door_300022_trans_01	DoorNpc	-36.2, 4.1, -1.3	0.000000
88	1036	door_300031_trans_02	DoorNpc	34.4, -0.4, -18.1	0.000000
89	1036	door_300031_trans_01	DoorNpc	-32.8, 6.1, -5.9	0.000000
90	1029	door_300031_trans_02	DoorNpc	34.4, -0.4, -18.1	0.000000
91	1029	door_300031_trans_01	DoorNpc	-32.8, 6.1, -5.9	0.000000
92	1030	door_300032_trans_02	DoorNpc	34.4, -0.4, -18.1	0.000000
93	1030	door_300032_trans_01	DoorNpc	-32.8, 6.1, -5.9	0.000000
94	1031	door_300041_trans_01_1	DoorNpc	-27.4, 9.4, 13.1	0.000000
95	1031	door_300041_trans_02	DoorNpc	21.2, 16.1, 20.6	0.000000
96	1031	door_300041_trans_01	DoorNpc	-30.0, 5.7, -17.2	0.000000
97	1032	door_300042_trans_01_1	DoorNpc	-27.6, 9.4, 13.2	0.000000
98	1032	door_300042_trans_02	DoorNpc	20.8, 16.1, 20.6	0.000000
99	1032	door_300042_trans_01	DoorNpc	-30.0, 5.7, -17.3	0.000000
100	1033	door_300051_trans_02	DoorNpc	12.7, -0.6, 33.3	0.000000
101	1033	door_300051_trans_01	DoorNpc	50.4, -4.8, 1.6	0.000000
102	1034	door_300052_trans_01	DoorNpc	50.4, -4.8, 1.6	0.000000
103	1034	door_300052_trans_02	DoorNpc	12.7, -0.6, 33.3	0.000000
104	1039	door_30008_trans_01	DoorNpc	-0.8, -1.3, -36.5	0.000000
105	1039	door_30008_trans_02	DoorNpc	15.2, 4.7, 81.2	0.000000
106	1038	door_30008_trans_01	DoorNpc	-0.8, -1.3, -36.5	0.000000
107	1038	door_30008_trans_02	DoorNpc	15.2, 4.7, 81.2	0.000000
108	1040	door_30009_trans_02_1	DoorNpc	7.0, 281.2, 60.9	0.000000
109	1040	door_30009_trans_01_1	DoorNpc	18.4, 105.0, -51.1	0.000000
110	1040	door_30009_trans_03_1	DoorNpc	-93.1, 178.5, -83.8	0.000000
111	1041	door_30009_trans_02_1	DoorNpc	7.0, 281.2, 60.9	0.000000
112	1041	door_30009_trans_01_1	DoorNpc	18.4, 105.0, -51.1	0.000000
113	1041	door_30009_trans_03_1	DoorNpc	-93.1, 178.5, -83.8	0.000000
114	1103	door_mengyan_area2	DoorNpc	36.2, 1.6, 51.1	0.000000
115	1103	door_mengyan_area1	DoorNpc	-3.8, 0.3, -50.4	0.000000
116	1100	door_mengyan_area1	DoorNpc	-3.8, 0.3, -50.4	0.000000
117	1100	door_mengyan_area2	DoorNpc	36.2, 1.6, 51.1	0.000000
118	1104	door_mengyan2_transfer1	DoorNpc	-2.6, 0.6, -76.3	0.000000
119	1104	door_mengyan2_transfer2	DoorNpc	20.2, 7.6, -22.8	0.000000
120	1104	door_mengyan2_transfer3	DoorNpc	-34.8, 7.6, -21.0	0.000000
121	1104	door_mengyan2_transfer4	DoorNpc	-46.2, 7.6, -34.5	0.000000
122	1104	door_mengyan2_transfer5	DoorNpc	-0.7, 7.6, 10.4	0.000000
123	1101	door_mengyan2_transfer1	DoorNpc	-2.6, 0.6, -76.3	0.000000
124	1101	door_mengyan2_transfer2	DoorNpc	20.2, 7.6, -22.8	0.000000
125	1101	door_mengyan2_transfer3	DoorNpc	-34.8, 7.6, -21.0	0.000000
126	1101	door_mengyan2_transfer4	DoorNpc	-46.2, 7.6, -34.5	0.000000
127	1101	door_mengyan2_transfer5	DoorNpc	-0.7, 7.6, 10.4	0.000000
128	1102	door_mengyan3_transfer1	DoorNpc	26.0, 124.0, -1.4	0.000000
129	1107	door_mengyan3_transfer1	DoorNpc	26.0, 124.0, -1.4	0.000000
130	1105	door_35004_transfer2	DoorNpc	77.8, 20.6, 57.1	0.000000
131	1105	door_35004_transfer1	DoorNpc	-34.5, 24.5, 23.5	0.000000
132	1110	door_35004_transfer2	DoorNpc	77.8, 20.6, 57.1	0.000000
133	1110	door_35004_transfer1	DoorNpc	-34.5, 24.5, 23.5	0.000000
134	1111	boss_point8	DoorNpc	36.1, 5.9, 22.6	0.000000
135	1111	boss_point7	DoorNpc	37.9, 5.9, 34.8	0.000000
136	1111	boss_point6	DoorNpc	30.8, 5.9, 44.4	0.000000
137	1111	boss_point5	DoorNpc	15.1, 5.9, 49.1	0.000000
138	1111	boss_point4	DoorNpc	4.2, 5.9, 40.9	0.000000
139	1111	boss_point3	DoorNpc	3.3, 5.9, 29.6	0.000000
140	1111	boss_point2	DoorNpc	9.4, 5.9, 20.1	0.000000
141	1111	boss_point1	DoorNpc	22.3, 5.9, 15.4	0.000000
142	1111	door_35006_transfer1	DoorNpc	22.5, 1.5, -3.0	0.000000
143	1111	door_35006_transfer2	DoorNpc	-46.0, 6.8, 77.8	0.000000
144	1111	door_35006_transfer3	DoorNpc	-22.5, 6.3, 62.6	0.000000
145	1112	boss_point8	DoorNpc	36.1, 5.9, 22.6	0.000000
146	1112	boss_point7	DoorNpc	37.9, 5.9, 34.8	0.000000
147	1112	boss_point6	DoorNpc	30.8, 5.9, 44.4	0.000000
148	1112	boss_point5	DoorNpc	15.1, 5.9, 49.1	0.000000
149	1112	boss_point4	DoorNpc	4.2, 5.9, 40.9	0.000000
150	1112	boss_point3	DoorNpc	3.3, 5.9, 29.6	0.000000
151	1112	boss_point2	DoorNpc	9.4, 5.9, 20.1	0.000000
152	1112	boss_point1	DoorNpc	22.3, 5.9, 15.4	0.000000
