漫步特效组	显示排序	解锁道具	穿戴属性加成（万分比）	收藏属性加成（万分比）	地区渠道号
int	int	string	int	int	string
EffectId	ShowSort	UnlockItem	ActivatedProp	CollectProp	SDKAreaTypes
10010	0	item100500000101,0	0	0	
10020	2	item100500000102,1	800	200	
10030	11	item100500000103,1	2100	400	
10040	12	item100500000104,1	2100	400	
10050	51	item100500000105,1	4200	800	
10060	52	item100500000106,1	4200	800	
10070	1	item100500000107,1	200	0	
10080	13	item100500000108,1	2100	400	
10090	14	item100500000109,1	2100	400	
10100	15	item100500000110,1	2100	400	
10110	16	item100500000111,1	2100	400	
10120	53	item100500000112,1	4200	800	
10130	3	item100500000113,1	800	200	
10140	4	item100500000114,1	800	200	
10150	17	item100500000115,1	2100	400	
10160	18	item100500000116,1	2100	400	
10170	54	item100500000117,1	4200	800	
10180	19	item100500000118,1	2100	400	
10190	20	item100500000119,1	2100	400	
10200	55	item100500000120,1	4200	800	
10210	56	item100500000121,1	4200	800	
10220	57	item100500000122,1	4200	800	1
10230	59	item100500000123,1	4200	800	
10240	60	item100500000124,1	4200	800	
10250	61	item100500000125,1	4200	800	
10260	62	item100500000126,1	4200	800	
10270	63	item100500000127,1	4200	800	1
10280	64	item100500000128,1	4200	800	
10290	65	item100500000129,1	4200	800	
10300	66	item100500000130,1	4200	800	
10310	67	item100500000131,1	4200	800	
10320	68	item100500000132,1	4200	800	
10330	69	item100500000133,1	4200	800	
10340	70	item100500000134,1	4200	800	
10350	71	item100500000135,1	4200	800	
10360	72	item100500000136,1	4200	800	
10370	73	item100500000137,1	4200	800	
10380	74	item100500000138,1	4200	800	
10390	75	item100500000139,1	4200	800	
10400	76	item100500000140,1	4200	800	
10410	77	item100500000141,1	4200	800	1
10420	78	item100500000142,1	4200	800	
10430	79	item100500000143,1	4200	800	
10440	80	item100500000144,1	4200	800	
10450	81	item100500000145,1	4200	800	
10460	21	item100500000146,1	2100	400	
10470	22	item100500000147,1	2100	400	
10480	23	item100500000148,1	2100	400	
10490	24	item100500000149,1	2100	400	5
10500	25	item100500000150,1	2100	400	5
10510	26	item100500000151,1	2100	400	
10520	27	item100500000152,1	2100	400	
10530	28	item100500000153,1	2100	400	5
10540	29	item100500000154,1	2100	400	
10550	30	item100500000155,1	2100	400	
10560	31	item100500000156,1	2100	400	
10570	32	item100500000157,1	2100	400	
10580	82	item100500000158,1	4200	800	5
10590	83	item100500000159,1	4200	800	
10600	84	item100500000160,1	4200	800	
10610	85	item100500000161,1	4200	800	
10620	86	item100500000162,1	4200	800	
10630	87	item100500000163,1	4200	800	
10640	88	item100500000164,1	4200	800	
10650	89	item100500000165,1	4200	800	5
10660	90	item100500000166,1	4200	800	5
10670	91	item100500000167,1	4200	800	
10680	92	item100500000168,1	4200	800	
10690	33	item100500000169,1	2100	400	
10700	93	item100500000170,1	4200	800	
10710	94	item100500000171,1	4200	800	4
10720	34	item100500000247,1	2100	400	
10730	35	item100500000173,1	4200	800	
10740	95	item100500000248,1	4200	800	
