流水ID	属性ID	修炼等级	升级需要经验	修炼1次提升经验	单次提升消耗	增加属性参数	历史帮贡限制	玩家角色等级限制	解锁圣器等级
int	int	int	int	int	string	string	int	int	int
Id	PropId	Level	LevelUpExp	AddExp	UpgradeCost	Par	HistoryContributeLimit	RoleLevelLimit	NeedHallowLevel
1	3	1	20	10	4,1;1,1000	6	0	1	0
2	3	2	60	10	4,1;1,1000	12	0	1	0
3	3	3	100	10	4,1;1,1000	19	0	1	0
4	3	4	140	10	4,1;1,1000	25	0	1	0
5	3	5	180	10	4,1;1,1000	32	0	1	0
6	3	6	220	10	4,1;1,1500	38	0	1	0
7	3	7	260	10	4,1;1,1500	45	0	1	0
8	3	8	300	10	4,1;1,1500	51	0	1	0
9	3	9	340	10	4,1;1,1500	57	0	1	0
10	3	10	380	10	4,1;1,1500	64	0	1	0
11	3	11	460	10	4,1;1,3000	70	0	1	0
12	3	12	540	10	4,1;1,3000	77	0	1	0
13	3	13	620	10	4,1;1,3000	83	0	1	0
14	3	14	700	10	4,1;1,3000	90	0	1	0
15	3	15	780	10	4,1;1,3000	96	0	1	0
16	3	16	860	10	4,1;1,6000	102	0	1	0
17	3	17	940	10	4,1;1,6000	109	0	1	0
18	3	18	1020	10	4,1;1,6000	115	0	1	0
19	3	19	1100	10	4,1;1,6000	122	0	1	0
20	3	20	1180	10	4,1;1,6000	128	3060	20	0
21	3	21	1300	10	4,1;1,8000	135	3450	21	0
22	3	22	1420	10	4,1;1,8000	141	3876	22	0
23	3	23	1540	10	4,1;1,8000	147	4338	23	0
24	3	24	1660	10	4,1;1,8000	154	4836	24	0
25	3	25	1780	10	4,1;1,8000	160	5370	25	0
26	3	26	1900	10	4,1;1,10000	167	5940	26	0
27	3	27	2020	10	4,1;1,10000	173	6546	27	0
28	3	28	2140	10	4,1;1,10000	180	7188	28	0
29	3	29	2260	10	4,1;1,10000	186	7866	29	0
30	3	30	2380	10	4,1;1,10000	192	8580	30	0
31	3	31	2540	10	4,1;1,12000	199	9342	31	0
32	3	32	2700	10	4,1;1,12000	205	10152	32	0
33	3	33	2860	10	4,1;1,12000	212	11010	33	0
34	3	34	3020	10	4,1;1,12000	218	11916	34	0
35	3	35	3180	10	4,1;1,12000	225	12870	35	0
36	3	36	3340	10	4,1;1,14000	231	13872	36	0
37	3	37	3500	10	4,1;1,14000	237	14922	37	0
38	3	38	3660	10	4,1;1,14000	244	16020	38	0
39	3	39	3820	10	4,1;1,14000	250	17166	39	0
40	3	40	3980	10	4,1;1,14000	257	18360	40	0
41	3	41	4180	10	4,1;1,16000	263	19614	41	0
42	3	42	4380	10	4,1;1,16000	270	20928	42	0
43	3	43	4580	10	4,1;1,16000	276	22302	43	0
44	3	44	4780	10	4,1;1,16000	282	23736	44	0
45	3	45	4980	10	4,1;1,16000	289	25230	45	0
46	3	46	5180	10	4,1;1,18000	295	26784	46	0
47	3	47	5380	10	4,1;1,18000	302	28398	47	0
48	3	48	5580	10	4,1;1,18000	308	30072	48	0
49	3	49	5780	10	4,1;1,18000	315	31806	49	0
50	3	50	5980	10	4,1;1,18000	321	33600	50	0
51	3	51	6220	10	4,1;1,20000	327	35466	51	0
52	3	52	6460	10	4,1;1,20000	334	37404	52	0
53	3	53	6700	10	4,1;1,20000	340	39414	53	0
54	3	54	6940	10	4,1;1,20000	347	41496	54	0
55	3	55	7180	10	4,1;1,20000	353	43650	55	0
56	3	56	7420	10	4,1;1,22000	360	45876	56	0
57	3	57	7660	10	4,1;1,22000	366	48174	57	0
58	3	58	7900	10	4,1;1,22000	372	50544	58	0
59	3	59	8140	10	4,1;1,22000	379	52986	59	0
60	3	60	8380	10	4,1;1,22000	385	55500	60	0
61	3	61	8660	10	4,1;1,22000	392	58098	61	0
62	3	62	8940	10	4,1;1,22000	398	60780	61	0
63	3	63	9220	10	4,1;1,22000	405	63546	61	0
64	3	64	9500	10	4,1;1,22000	411	66396	61	0
65	3	65	9780	10	4,1;1,22000	417	69330	61	0
66	3	66	10060	10	4,1;1,22000	424	72348	61	0
67	3	67	10340	10	4,1;1,22000	430	75450	61	0
68	3	68	10620	10	4,1;1,22000	437	78636	61	0
69	3	69	10900	10	4,1;1,22000	443	81906	61	0
70	3	70	11180	10	4,1;1,22000	450	85260	61	0
1001	4	1	20	10	4,1;1,1000	6	0	1	0
1002	4	2	60	10	4,1;1,1000	12	0	1	0
1003	4	3	100	10	4,1;1,1000	19	0	1	0
1004	4	4	140	10	4,1;1,1000	25	0	1	0
1005	4	5	180	10	4,1;1,1000	32	0	1	0
1006	4	6	220	10	4,1;1,1500	38	0	1	0
1007	4	7	260	10	4,1;1,1500	45	0	1	0
1008	4	8	300	10	4,1;1,1500	51	0	1	0
1009	4	9	340	10	4,1;1,1500	57	0	1	0
1010	4	10	380	10	4,1;1,1500	64	0	1	0
1011	4	11	460	10	4,1;1,3000	70	0	1	0
1012	4	12	540	10	4,1;1,3000	77	0	1	0
1013	4	13	620	10	4,1;1,3000	83	0	1	0
1014	4	14	700	10	4,1;1,3000	90	0	1	0
1015	4	15	780	10	4,1;1,3000	96	0	1	0
1016	4	16	860	10	4,1;1,6000	102	0	1	0
1017	4	17	940	10	4,1;1,6000	109	0	1	0
1018	4	18	1020	10	4,1;1,6000	115	0	1	0
1019	4	19	1100	10	4,1;1,6000	122	0	1	0
1020	4	20	1180	10	4,1;1,6000	128	3060	20	0
1021	4	21	1300	10	4,1;1,8000	135	3450	21	0
1022	4	22	1420	10	4,1;1,8000	141	3876	22	0
1023	4	23	1540	10	4,1;1,8000	147	4338	23	0
1024	4	24	1660	10	4,1;1,8000	154	4836	24	0
1025	4	25	1780	10	4,1;1,8000	160	5370	25	0
1026	4	26	1900	10	4,1;1,10000	167	5940	26	0
1027	4	27	2020	10	4,1;1,10000	173	6546	27	0
1028	4	28	2140	10	4,1;1,10000	180	7188	28	0
1029	4	29	2260	10	4,1;1,10000	186	7866	29	0
1030	4	30	2380	10	4,1;1,10000	192	8580	30	0
1031	4	31	2540	10	4,1;1,12000	199	9342	31	0
1032	4	32	2700	10	4,1;1,12000	205	10152	32	0
1033	4	33	2860	10	4,1;1,12000	212	11010	33	0
1034	4	34	3020	10	4,1;1,12000	218	11916	34	0
1035	4	35	3180	10	4,1;1,12000	225	12870	35	0
1036	4	36	3340	10	4,1;1,14000	231	13872	36	0
1037	4	37	3500	10	4,1;1,14000	237	14922	37	0
1038	4	38	3660	10	4,1;1,14000	244	16020	38	0
1039	4	39	3820	10	4,1;1,14000	250	17166	39	0
1040	4	40	3980	10	4,1;1,14000	257	18360	40	0
1041	4	41	4180	10	4,1;1,16000	263	19614	41	0
1042	4	42	4380	10	4,1;1,16000	270	20928	42	0
1043	4	43	4580	10	4,1;1,16000	276	22302	43	0
1044	4	44	4780	10	4,1;1,16000	282	23736	44	0
1045	4	45	4980	10	4,1;1,16000	289	25230	45	0
1046	4	46	5180	10	4,1;1,18000	295	26784	46	0
1047	4	47	5380	10	4,1;1,18000	302	28398	47	0
1048	4	48	5580	10	4,1;1,18000	308	30072	48	0
1049	4	49	5780	10	4,1;1,18000	315	31806	49	0
1050	4	50	5980	10	4,1;1,18000	321	33600	50	0
1051	4	51	6220	10	4,1;1,20000	327	35466	51	0
1052	4	52	6460	10	4,1;1,20000	334	37404	52	0
1053	4	53	6700	10	4,1;1,20000	340	39414	53	0
1054	4	54	6940	10	4,1;1,20000	347	41496	54	0
1055	4	55	7180	10	4,1;1,20000	353	43650	55	0
1056	4	56	7420	10	4,1;1,22000	360	45876	56	0
1057	4	57	7660	10	4,1;1,22000	366	48174	57	0
1058	4	58	7900	10	4,1;1,22000	372	50544	58	0
1059	4	59	8140	10	4,1;1,22000	379	52986	59	0
1060	4	60	8380	10	4,1;1,22000	385	55500	60	0
1061	4	61	8660	10	4,1;1,22000	392	58098	61	0
1062	4	62	8940	10	4,1;1,22000	398	60780	61	0
1063	4	63	9220	10	4,1;1,22000	405	63546	61	0
1064	4	64	9500	10	4,1;1,22000	411	66396	61	0
1065	4	65	9780	10	4,1;1,22000	417	69330	61	0
1066	4	66	10060	10	4,1;1,22000	424	72348	61	0
1067	4	67	10340	10	4,1;1,22000	430	75450	61	0
1068	4	68	10620	10	4,1;1,22000	437	78636	61	0
1069	4	69	10900	10	4,1;1,22000	443	81906	61	0
1070	4	70	11180	10	4,1;1,22000	450	85260	61	0
2001	1	1	20	10	4,1;1,1000	64	0	1	0
2002	1	2	60	10	4,1;1,1000	128	0	1	0
2003	1	3	100	10	4,1;1,1000	192	0	1	0
2004	1	4	140	10	4,1;1,1000	257	0	1	0
2005	1	5	180	10	4,1;1,1000	321	0	1	0
2006	1	6	220	10	4,1;1,1500	385	0	1	0
2007	1	7	260	10	4,1;1,1500	450	0	1	0
2008	1	8	300	10	4,1;1,1500	514	0	1	0
2009	1	9	340	10	4,1;1,1500	578	0	1	0
2010	1	10	380	10	4,1;1,1500	642	0	1	0
2011	1	11	460	10	4,1;1,3000	707	0	1	0
2012	1	12	540	10	4,1;1,3000	771	0	1	0
2013	1	13	620	10	4,1;1,3000	835	0	1	0
2014	1	14	700	10	4,1;1,3000	900	0	1	0
2015	1	15	780	10	4,1;1,3000	964	0	1	0
2016	1	16	860	10	4,1;1,6000	1028	0	1	0
2017	1	17	940	10	4,1;1,6000	1092	0	1	0
2018	1	18	1020	10	4,1;1,6000	1157	0	1	0
2019	1	19	1100	10	4,1;1,6000	1221	0	1	0
2020	1	20	1180	10	4,1;1,6000	1285	3060	20	0
2021	1	21	1300	10	4,1;1,8000	1350	3450	21	0
2022	1	22	1420	10	4,1;1,8000	1414	3876	22	0
2023	1	23	1540	10	4,1;1,8000	1478	4338	23	0
2024	1	24	1660	10	4,1;1,8000	1542	4836	24	0
2025	1	25	1780	10	4,1;1,8000	1607	5370	25	0
2026	1	26	1900	10	4,1;1,10000	1671	5940	26	0
2027	1	27	2020	10	4,1;1,10000	1735	6546	27	0
2028	1	28	2140	10	4,1;1,10000	1800	7188	28	0
2029	1	29	2260	10	4,1;1,10000	1864	7866	29	0
2030	1	30	2380	10	4,1;1,10000	1928	8580	30	0
2031	1	31	2540	10	4,1;1,12000	1992	9342	31	0
2032	1	32	2700	10	4,1;1,12000	2057	10152	32	0
2033	1	33	2860	10	4,1;1,12000	2121	11010	33	0
2034	1	34	3020	10	4,1;1,12000	2185	11916	34	0
2035	1	35	3180	10	4,1;1,12000	2250	12870	35	0
