ID	排行榜类型	排行榜子页签	名次	奖励
int	int	int	int	string
ID	RankType	RankSubType	RankPlace	Reward
1	1	1	1	item1035,40000
2	1	1	2	item1035,30000
3	1	1	3	item1035,25000
4	1	1	4	item1035,23000
5	1	1	5	item1035,20000
6	1	1	6	item1035,18000
7	1	1	7	item1035,16000
8	1	1	8	item1035,14000
9	1	1	9	item1035,12000
10	1	1	10	item1035,10000
11	1	1	11	item1035,9500
12	1	1	12	item1035,9000
13	1	1	13	item1035,8500
14	1	1	14	item1035,8000
15	1	1	15	item1035,7500
16	1	1	16	item1035,7000
17	1	1	17	item1035,6500
18	1	1	18	item1035,6000
19	1	1	19	item1035,5500
20	1	1	20	item1035,5000
21	1	2	1	item1035,40000
22	1	2	2	item1035,30000
23	1	2	3	item1035,25000
24	1	2	4	item1035,23000
25	1	2	5	item1035,20000
26	1	2	6	item1035,18000
27	1	2	7	item1035,16000
28	1	2	8	item1035,14000
29	1	2	9	item1035,12000
30	1	2	10	item1035,10000
31	1	2	11	item1035,9500
32	1	2	12	item1035,9000
33	1	2	13	item1035,8500
34	1	2	14	item1035,8000
35	1	2	15	item1035,7500
36	1	2	16	item1035,7000
37	1	2	17	item1035,6500
38	1	2	18	item1035,6000
39	1	2	19	item1035,5500
40	1	2	20	item1035,5000
41	1	3	1	item1035,40000
42	1	3	2	item1035,30000
43	1	3	3	item1035,25000
44	1	3	4	item1035,23000
45	1	3	5	item1035,20000
46	1	3	6	item1035,18000
47	1	3	7	item1035,16000
48	1	3	8	item1035,14000
49	1	3	9	item1035,12000
50	1	3	10	item1035,10000
51	1	3	11	item1035,9500
52	1	3	12	item1035,9000
53	1	3	13	item1035,8500
54	1	3	14	item1035,8000
55	1	3	15	item1035,7500
56	1	3	16	item1035,7000
57	1	3	17	item1035,6500
58	1	3	18	item1035,6000
59	1	3	19	item1035,5500
60	1	3	20	item1035,5000
61	1	4	1	item1035,40000
62	1	4	2	item1035,30000
63	1	4	3	item1035,25000
64	1	4	4	item1035,23000
65	1	4	5	item1035,20000
66	1	4	6	item1035,18000
67	1	4	7	item1035,16000
68	1	4	8	item1035,14000
69	1	4	9	item1035,12000
70	1	4	10	item1035,10000
71	1	4	11	item1035,9500
72	1	4	12	item1035,9000
73	1	4	13	item1035,8500
74	1	4	14	item1035,8000
75	1	4	15	item1035,7500
76	1	4	16	item1035,7000
77	1	4	17	item1035,6500
78	1	4	18	item1035,6000
79	1	4	19	item1035,5500
80	1	4	20	item1035,5000
81	2	1	1	item141000000279,1
82	2	1	2	item141000000280,1
83	2	1	3	item141000000280,1
84	2	1	4	item141000000280,1
85	2	1	5	item141000000281,1
86	2	1	6	item141000000281,1
87	2	1	7	item141000000281,1
88	2	1	8	item141000000281,1
