流水	显示类型	分页	分页文本	分类	分类文本	标签	标签文本	标签描述	星数	开放时间	子标签	子标签	子标签描述	图标	等级	推荐评分	评分类型	链接命令	链接参数	功能	排列权重	主界面红点不显示等级（废弃参数）	变强红点不显示等级	子标签红点不显示等级	子项红点不显示等级	红点序号	红点描述	按钮样式
int	int	int	string	int	string	int	string	string	int	string	int	string	string	string	string	string	int	string	string	int	int	int	int	int	int	int	string	int
ID	PageType	PageId	PageText	MenuId	MenuText	TabId	TabText	TabDes	Star	Time	SubTabId	SubTabText	SubTabDes	Icon	Level	Score	ScoreType	Link	LinkParm	FuncId	Rate	MainPanelRedNoShowLevel	GrowPageRedNoShowLevel	GrowTabRedNoShowLevel	GrowSubTabRedNoShowLevel	RedId	RedPointDes	SubTabBtnStyle
1	1	1	PageText_01	1	MenuText_01	1	TabText_01	TabDes_01	5		0			retroactiveicon01	1,10		0			87	0	0	0	0	0	0		0
2	1	1	PageText_01	2	MenuText_02	1	TabText_01	TabDes_01	5		0			retroactiveicon01	11,20		0			87	0	0	0	0	0	0		0
3	1	1	PageText_01	2	MenuText_02	2	TabText_04	TabDes_04	5	ActivityTime7	0			item_119000000003	11,20		0			6	0	0	0	0	0	0		0
4	1	1	PageText_01	2	MenuText_02	3	TabText_49	TabDes_49	4		0			money_honour	11,20		0			13	0	0	0	0	0	0		0
5	1	1	PageText_01	2	MenuText_02	4	TabText_51	TabDes_51	3		0			item_160030400995	11,20		0			145	0	0	0	0	0	0		0
6	1	1	PageText_01	3	MenuText_03	1	TabText_04	TabDes_04	5	ActivityTime7	0			item_119000000003	21,30		0			6	0	0	0	0	0	0		0
7	1	1	PageText_01	3	MenuText_03	2	TabText_07	TabDes_07	5	ActivityTime5	0			item_101050101004	21,30		0			30	0	0	0	0	0	0		0
8	1	1	PageText_01	3	MenuText_03	3	TabText_09	TabDes_09	5	ActivityTime51	0			guildtask1	21,30		0			51	0	0	0	0	0	0		0
9	1	1	PageText_01	3	MenuText_03	4	TabText_03	TabDes_03	4	ActivityTime57	0			item_103010311001	21,30		0			208	0	0	0	0	0	0		0
10	1	1	PageText_01	3	MenuText_03	5	TabText_47	TabDes_47	3	ActivityTime111	0			equip_130000002108	21,30		0			111	0	0	0	0	0	0		0
11	1	1	PageText_01	3	MenuText_03	6	TabText_49	TabDes_49	3		0			money_honour	21,30		0			13	0	0	0	0	0	0		0
12	1	1	PageText_01	3	MenuText_03	7	TabText_51	TabDes_51	3		0			item_160030400995	21,30		0			145	0	0	0	0	0	0		0
13	1	1	PageText_01	3	MenuText_03	8	TabText_01	TabDes_01	4		0			retroactiveicon01	21,30		0			87	0	0	0	0	0	0		0
14	1	1	PageText_01	3	MenuText_03	9	TabText_02	TabDes_02	4		0			item_119000000001	21,30		0			87	0	0	0	0	0	0		0
15	1	1	PageText_01	4	MenuText_04	1	TabText_04	TabDes_04	5	ActivityTime7	0			item_119000000003	31,40		0			6	0	0	0	0	0	0		0
16	1	1	PageText_01	4	MenuText_04	2	TabText_07	TabDes_07	5	ActivityTime5	0			item_101050101004	31,40		0			30	0	0	0	0	0	0		0
17	1	1	PageText_01	4	MenuText_04	3	TabText_09	TabDes_09	5	ActivityTime51	0			guildtask1	31,40		0			51	0	0	0	0	0	0		0
18	1	1	PageText_01	4	MenuText_04	4	TabText_03	TabDes_03	4	ActivityTime57	0			item_103010311001	31,40		0			208	0	0	0	0	0	0		0
19	1	1	PageText_01	4	MenuText_04	5	TabText_10	TabDes_10	3	ActivityTime67	0			guildtask2	31,40		0			67	0	0	0	0	0	0		0
20	1	1	PageText_01	4	MenuText_04	7	TabText_47	TabDes_47	3	ActivityTime111	0			equip_130000002108	31,40		0			111	0	0	0	0	0	0		0
