层数	怪物id	层数名字	层数	推荐属性	等级	单人进入解锁条件	通关展示奖励	UI界面模型倍数	UI界面模型位置	UI界面模型角度	特效角度	推荐评分	概要	背景图	按钮底图框	按钮底图装饰
int	string	string	int	int	int	int	string	float	string	float	string	int	string	string	string	string
Id	MonsterId	LevelName	Level	ElementalType	OpenLevel	SingleCondition	RewardDisplay	AvatarZoom	AvatarLocation	AvatarAngle	EffectAngle	RecommendGrade	OutlineDesc	BackgroundPicture	ButtonFrame	ButtonFrameDecorate
1	monster37300000	ElementalLevelName1	1	2	85	0	item128000032001,1;item128000032003,1;item128000021001,1;item127000065203,1;item127000065100,1	1.600000	0;0.05;0	0.000000	-188.2,-95.62,407.3	3500	ElementalOutlineCubeDesc1	cubebeijingtu8	cubeyuansu1	
2	monster37300001	ElementalLevelName2	2	3	85	1	item128000032001,1;item127000065200,1;item128000021001,1;item127000065203,1;item127000065100,1	0.850000	0;0.1;0	0.000000	-205.6,-13.18,338.9	4500	ElementalOutlineCubeDesc2	cubebeijingtu7	cubeyuansu2	
3	monster37300002	ElementalLevelName3	3	5	85	2	item128000032001,1;item127000065200,1;item128000021001,1;item127000065203,1;item127000065100,1	0.500000	0;0;0	0.000000	-334.8,9.25,565	5500	ElementalOutlineCubeDesc3	cubebeijingtu2	cubeyuansu4	
4	monster37300003	ElementalLevelName4	4	1	85	3	item128000032001,1;item127000065200,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1	0.900000	0;0;0	0.000000	-33.381,-13.609,178.141	7000	ElementalOutlineCubeDesc4	cubebeijingtu1	cubeyuansu3	
5	monster37300004	ElementalLevelName5	5	4	85	4	item128000032001,1;item128000032002,1;item127000065200,1;item127000065201,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1	0.900000	0;0;0	0.000000	-409,89.9,470.7	13000	ElementalOutlineCubeDesc5	cubebeijingtu4	cubeyuansu5	
6	monster37300005	ElementalLevelName1	6	2	90	5	item128000032001,1;item128000032002,1;item127000065200,1;item127000065201,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1	0.450000	0;0;0	0.000000	-188.2,-95.62,407.3	16000	ElementalOutlineCubeDesc1	cubebeijingtu8	cubeyuansu1	
7	monster37300006	ElementalLevelName2	7	3	90	6	item128000032001,1;item128000032002,1;item127000065200,1;item127000065201,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1	0.750000	0;0;0	0.000000	-205.6,-13.18,338.9	14000	ElementalOutlineCubeDesc2	cubebeijingtu7	cubeyuansu2	
8	monster37300007	ElementalLevelName3	8	5	90	7	item128000032001,1;item128000032002,1;item127000065200,1;item127000065201,1;item127000065204,1;item128000021001,1;item127000065203,1;item127000065100,1;item127000065101,1	0.750000	0;-0.3;0	0.000000	-334.8,9.25,565	15000	ElementalOutlineCubeDesc3	cubebeijingtu2	cubeyuansu4	
