等级	需求共鸣值	属性id
int	int	string
Level	ResonanceExp	Props
0	0	
1	150	3,1;4,1;1,10
2	325	3,2;4,2;1,20
3	520	3,3;4,3;1,30
4	730	3,4;4,4;1,40
5	945	3,5;4,5;1,50
6	1165	3,6;4,6;1,60
7	1390	3,7;4,7;1,70
8	1620	3,8;4,8;1,80
9	1855	3,9;4,9;1,90
10	2095	3,10;4,10;1,100
11	2340	3,11;4,11;1,110
12	2590	3,12;4,12;1,120
13	2845	3,13;4,13;1,130
14	3105	3,14;4,14;1,140
15	3370	3,15;4,15;1,150
16	3640	3,16;4,16;1,160
17	3915	3,17;4,17;1,170
18	4195	3,18;4,18;1,180
19	4480	3,19;4,19;1,190
20	4770	3,20;4,20;1,200
21	5065	3,21;4,21;1,210
22	5365	3,22;4,22;1,220
23	5670	3,23;4,23;1,230
24	5980	3,24;4,24;1,240
25	6295	3,25;4,25;1,250
26	6615	3,26;4,26;1,260
27	6940	3,27;4,27;1,270
28	7270	3,28;4,28;1,280
29	7605	3,29;4,29;1,290
30	7945	3,30;4,30;1,300
31	8290	3,31;4,31;1,310
32	8640	3,32;4,32;1,320
33	8995	3,33;4,33;1,330
34	9355	3,34;4,34;1,340
35	9720	3,35;4,35;1,350
36	10090	3,36;4,36;1,360
37	10465	3,37;4,37;1,370
38	10845	3,38;4,38;1,380
39	11230	3,39;4,39;1,390
40	11620	3,40;4,40;1,400
41	12015	3,41;4,41;1,410
42	12415	3,42;4,42;1,420
43	12820	3,43;4,43;1,430
44	13230	3,44;4,44;1,440
45	13645	3,45;4,45;1,450
46	14065	3,46;4,46;1,460
47	14490	3,47;4,47;1,470
48	14920	3,48;4,48;1,480
49	15355	3,49;4,49;1,490
50	15795	3,50;4,50;1,500
51	16240	3,51;4,51;1,510
52	16690	3,52;4,52;1,520
53	17145	3,53;4,53;1,530
54	17605	3,54;4,54;1,540
55	18070	3,55;4,55;1,550
56	18540	3,56;4,56;1,560
57	19015	3,57;4,57;1,570
58	19495	3,58;4,58;1,580
59	19980	3,59;4,59;1,590
60	20470	3,60;4,60;1,600
61	20965	3,61;4,61;1,610
62	21465	3,62;4,62;1,620
63	21970	3,63;4,63;1,630
64	22480	3,64;4,64;1,640
65	22995	3,65;4,65;1,650
66	23515	3,66;4,66;1,660
67	24040	3,67;4,67;1,670
68	24570	3,68;4,68;1,680
69	25105	3,69;4,69;1,690
70	25645	3,70;4,70;1,700
71	26190	3,71;4,71;1,710
72	26740	3,72;4,72;1,720
73	27295	3,73;4,73;1,730
74	27855	3,74;4,74;1,740
75	28420	3,75;4,75;1,750
76	28990	3,76;4,76;1,760
77	29565	3,77;4,77;1,770
78	30145	3,78;4,78;1,780
79	30730	3,79;4,79;1,790
80	31320	3,80;4,80;1,800
81	31915	3,81;4,81;1,810
82	32515	3,82;4,82;1,820
83	33120	3,83;4,83;1,830
84	33730	3,84;4,84;1,840
85	34345	3,85;4,85;1,850
86	34965	3,86;4,86;1,860
87	35590	3,87;4,87;1,870
88	36220	3,88;4,88;1,880
89	36855	3,89;4,89;1,890
90	37495	3,90;4,90;1,900
91	38140	3,91;4,91;1,910
92	38790	3,92;4,92;1,920
93	39445	3,93;4,93;1,930
94	40105	3,94;4,94;1,940
95	40770	3,95;4,95;1,950
96	41440	3,96;4,96;1,960
97	42115	3,97;4,97;1,970
98	42795	3,98;4,98;1,980
99	43480	3,99;4,99;1,990
100	44170	3,100;4,100;1,1000
101	44865	3,101;4,101;1,1010
102	45565	3,102;4,102;1,1020
103	46270	3,103;4,103;1,1030
104	46980	3,104;4,104;1,1040
105	47695	3,105;4,105;1,1050
106	48415	3,106;4,106;1,1060
107	49140	3,107;4,107;1,1070
108	49870	3,108;4,108;1,1080
109	50605	3,109;4,109;1,1090
110	51345	3,110;4,110;1,1100
111	52090	3,111;4,111;1,1110
112	52840	3,112;4,112;1,1120
113	53595	3,113;4,113;1,1130
114	54355	3,114;4,114;1,1140
115	55120	3,115;4,115;1,1150
116	55890	3,116;4,116;1,1160
117	56665	3,117;4,117;1,1170
118	57445	3,118;4,118;1,1180
119	58230	3,119;4,119;1,1190
120	59020	3,120;4,120;1,1200
121	59815	3,121;4,121;1,1210
122	60615	3,122;4,122;1,1220
123	61420	3,123;4,123;1,1230
124	62230	3,124;4,124;1,1240
125	63045	3,125;4,125;1,1250
126	63865	3,126;4,126;1,1260
127	64690	3,127;4,127;1,1270
128	65520	3,128;4,128;1,1280
129	66355	3,129;4,129;1,1290
130	67195	3,130;4,130;1,1300
131	68040	3,131;4,131;1,1310
132	68890	3,132;4,132;1,1320
133	69745	3,133;4,133;1,1330
134	70605	3,134;4,134;1,1340
135	71470	3,135;4,135;1,1350
136	72340	3,136;4,136;1,1360
137	73215	3,137;4,137;1,1370
138	74095	3,138;4,138;1,1380
139	74980	3,139;4,139;1,1390
140	75870	3,140;4,140;1,1400
141	76765	3,141;4,141;1,1410
142	77665	3,142;4,142;1,1420
143	78570	3,143;4,143;1,1430
144	79480	3,144;4,144;1,1440
145	80395	3,145;4,145;1,1450
146	81315	3,146;4,146;1,1460
147	82240	3,147;4,147;1,1470
148	83170	3,148;4,148;1,1480
149	84105	3,149;4,149;1,1490
150	85045	3,150;4,150;1,1500
151	85990	3,151;4,151;1,1510
152	86940	3,152;4,152;1,1520
153	87895	3,153;4,153;1,1530
154	88855	3,154;4,154;1,1540
155	89820	3,155;4,155;1,1550
156	90790	3,156;4,156;1,1560
157	91765	3,157;4,157;1,1570
158	92745	3,158;4,158;1,1580
159	93730	3,159;4,159;1,1590
160	94720	3,160;4,160;1,1600
161	95715	3,161;4,161;1,1610
162	96715	3,162;4,162;1,1620
163	97720	3,163;4,163;1,1630
164	98730	3,164;4,164;1,1640
165	99745	3,165;4,165;1,1650
166	100765	3,166;4,166;1,1660
167	101790	3,167;4,167;1,1670
168	102820	3,168;4,168;1,1680
169	103855	3,169;4,169;1,1690
170	104895	3,170;4,170;1,1700
171	105940	3,171;4,171;1,1710
172	106990	3,172;4,172;1,1720
173	108045	3,173;4,173;1,1730
174	109105	3,174;4,174;1,1740
175	110170	3,175;4,175;1,1750
176	111240	3,176;4,176;1,1760
177	112315	3,177;4,177;1,1770
178	113395	3,178;4,178;1,1780
179	114480	3,179;4,179;1,1790
180	115570	3,180;4,180;1,1800
181	116665	3,181;4,181;1,1810
182	117765	3,182;4,182;1,1820
183	118870	3,183;4,183;1,1830
184	119980	3,184;4,184;1,1840
185	121095	3,185;4,185;1,1850
186	122215	3,186;4,186;1,1860
187	123340	3,187;4,187;1,1870
188	124470	3,188;4,188;1,1880
189	125605	3,189;4,189;1,1890
190	126745	3,190;4,190;1,1900
191	127890	3,191;4,191;1,1910
192	129040	3,192;4,192;1,1920
193	130195	3,193;4,193;1,1930
194	131355	3,194;4,194;1,1940
195	132520	3,195;4,195;1,1950
196	133690	3,196;4,196;1,1960
