战纹id	战纹阶数	战纹类型	升星上限	升阶后id
string	int	int	int	string
ItemId	Step	Type	StarNum	HighItemId
item127000060101	1	1	3	
item127000060102	1	1	5	
item127000060103	1	1	7	item127000060201
item127000060111	1	2	3	
item127000060112	1	2	5	
item127000060113	1	2	7	item127000060201
item127000060121	1	3	3	
item127000060122	1	3	5	
item127000060123	1	3	7	item127000060201
item127000060131	1	4	3	
item127000060132	1	4	5	
item127000060133	1	4	7	item127000060201
item127000060141	1	5	3	
item127000060142	1	5	5	
item127000060143	1	5	7	item127000060201
item127000060201	2	6	8	item127000060301
item127000060301	3	7	9	
