流水	商店编号	商店分组	商店标签1	商品编号	道具排序	物品名	购买所需货币	购买价格	消耗兑换ID	消耗兑换道具数量	限购类型	限购数量	出售获得货币	出售价格	获得道具ID	获得道具数量	限售类型	限售数量	角色可见的等级	购买次数保留上限	需求公会圣器等级	需求英雄塔罗历史积分	需求活动军衔	兑换规则角标	需求家园等级	显示家园等级	地区渠道号
int	int	int	int	int	int	string	int	int	string	int	int	int	int	int	string	int	int	int	string	int	int	int	int	string	int	int	string
Id	ShopId	GroupId	LabelId	GoodsId	ItemSort	ItemId	BuyCurrenyType	BuyCurrenyNum	ExchangeItem	ExchangeItemNum	BuyLimitType	BuyLimitNum	SellCurrenyType	SellCurrenyNum	GotItem	GotItemNum	SellLimitType	SellLimitNum	Level	MaxNumKeep	NeedGuildHallowLevel	NeedHeroKillStarScore	NeedContractTitle	ExchangeRuleIcon	NeedHlLevel	ShowHlLevel	SDKAreaTypes
1	1	0	0	1	1	item101010211001	1	2000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
2	1	0	0	2	2	item101010311001	1	5000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
3	1	0	0	3	3	item101010411001	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
4	1	0	0	4	4	item101010511001	1	20000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
5	2	0	0	1	1	equip301010111001	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
6	2	0	0	2	2	equip301010111002	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
7	2	0	0	3	3	equip301010111003	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
8	2	0	0	4	4	equip301010111004	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
9	2	0	0	5	5	equip301010111005	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
10	2	0	0	6	6	equip301010111006	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
11	3	0	0	1	1	equip302010111001	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
12	3	0	0	2	2	equip302010111002	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
13	3	0	0	3	3	equip302010111003	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
14	3	0	0	4	4	equip302010111004	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
15	3	0	0	5	5	equip302010111005	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
16	3	0	0	6	6	equip302010111006	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
17	3	0	0	7	7	equip303010111001	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
18	3	0	0	8	8	equip303010111002	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
19	3	0	0	9	9	equip303010111003	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
20	3	0	0	10	10	equip303010111004	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
21	3	0	0	11	11	equip303010111005	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
22	3	0	0	12	12	equip303010111006	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
23	3	0	0	13	13	equip304010111001	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
24	3	0	0	14	14	equip304010111002	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
25	3	0	0	15	15	equip304010111003	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
26	3	0	0	16	16	equip304010111004	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
27	3	0	0	17	17	equip304010111005	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
28	3	0	0	18	18	equip304010111006	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
29	3	0	0	19	19	equip305010111001	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
30	3	0	0	20	20	equip305010111002	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
31	3	0	0	21	21	equip305010111003	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
32	3	0	0	22	22	equip305010111004	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
33	3	0	0	23	23	equip305010111005	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
34	3	0	0	24	24	equip305010111006	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
35	3	0	0	25	25	equip306010111001	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
36	3	0	0	26	26	equip306010111002	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
37	3	0	0	27	27	equip306010111003	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
38	3	0	0	28	28	equip306010111004	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
39	3	0	0	29	29	equip306010111005	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
40	3	0	0	30	30	equip306010111006	1	10000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
41	4	0	0	1	1	item102010111001	1	200		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
42	4	0	0	2	2	item102010211001	1	500		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
43	4	0	0	3	3	item102010311001	1	2000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
44	4	0	0	4	4	item102010411001	1	4000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
45	4	0	0	5	5	item102010411002	1	8000		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
46	4	0	0	5	5	item103010111000	1	200		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
47	4	0	0	6	6	item103010211001	1	500		0	0	0	0	0		0	0	0		0	0	0	0		0	0	
