家园等级	订单同时最大存在数量	每日双倍订单奖励次数	每日单倍订单奖励次数
int	int	int	int
Level	OrderMaxCount	DoubleRewardCount	SingleRewardCount
1	5	6	12
2	5	6	12
3	5	6	12
4	5	6	12
5	5	6	12
6	5	6	12
7	5	6	12
8	5	6	12
9	5	6	12
10	5	6	12
11	5	6	12
12	5	6	12
13	5	6	12
14	5	6	12
15	5	6	12
16	5	6	12
17	5	6	12
18	5	6	12
19	5	6	12
20	5	6	12
21	5	6	12
22	5	6	12
23	5	6	12
24	5	6	12
25	5	6	12
26	5	6	12
27	5	6	12
28	5	6	12
29	5	6	12
30	5	6	12
31	5	6	12
32	5	6	12
33	5	6	12
34	5	6	12
35	5	6	12
36	5	6	12
37	5	6	12
38	5	6	12
39	5	6	12
40	5	6	12
41	5	6	12
42	5	6	12
43	5	6	12
44	5	6	12
45	5	6	12
46	5	6	12
47	5	6	12
48	5	6	12
49	5	6	12
50	5	6	12
