装备ID	类型	品阶	基础属性	附加属性	装备可镶嵌等级	进阶后装备ID	进阶所需经验	装备经验
string	int	int	string	string	int	string	int	int
EquipId	Type	Grade	BasicProp	AdditionalProp	InlayLevel	AdvancedEquipId	AdvancedExp	EquipExp
elementalequip100102	1	1	279,400000;281,30000;285,24000	283,440;284,880	85	elementalequip100103	100	5
elementalequip100103	1	1	279,600000;281,45000;285,36000	283,660;284,1320	85	elementalequip100104	200	10
elementalequip100104	1	1	279,800000;281,60000;285,48000	283,880;284,1760	85	elementalequip100105	300	15
elementalequip100105	1	1	279,1000000;281,75000;285,60000	283,1100;284,2200	85	elementalequip110102	400	20
elementalequip110102	1	2	279,1240000;281,93000;285,74400	283,1364;284,2728	87	elementalequip110103	300	10
elementalequip110103	1	2	279,1480000;281,111000;285,88800	283,1628;284,3256	87	elementalequip110104	450	15
elementalequip110104	1	2	279,1720000;281,129000;285,103200	283,1892;284,3784	87	elementalequip110105	600	20
elementalequip110105	1	2	279,1960000;281,147000;285,117600	283,2156;284,4312	87	elementalequip120102	750	25
elementalequip120102	1	3	279,2260000;281,169500;285,135600	283,2486;284,4972	92	elementalequip120103	750	15
elementalequip120103	1	3	279,2560000;281,192000;285,153600	283,2816;284,5632	92	elementalequip120104	1000	20
elementalequip120104	1	3	279,2860000;281,214500;285,171600	283,3146;284,6292	92	elementalequip120105	1250	25
elementalequip120105	1	3	279,3160000;281,237000;285,189600	283,3476;284,6952	92	elementalequip130102	1500	30
elementalequip130102	1	4	279,3520000;281,264000;285,211200	283,3872;284,7744	97	elementalequip130103	1500	20
elementalequip130103	1	4	279,3880000;281,291000;285,232800	283,4268;284,8536	97	elementalequip130104	1875	25
elementalequip130104	1	4	279,4240000;281,318000;285,254400	283,4664;284,9328	97	elementalequip130105	2250	30
elementalequip130105	1	4	279,4600000;281,345000;285,276000	283,5060;284,10120	97	elementalequip140102	2625	35
elementalequip140102	1	5	279,5040000;281,378000;285,302400	283,5544;284,11088	102	elementalequip140103	2500	25
elementalequip140103	1	5	279,5480000;281,411000;285,328800	283,6028;284,12056	102	elementalequip140104	3000	30
elementalequip140104	1	5	279,5920000;281,444000;285,355200	283,6512;284,13024	102	elementalequip140105	3500	35
elementalequip140105	1	5	279,6360000;281,477000;285,381600	283,6996;284,13992	102	elementalequip150102	4000	40
elementalequip150102	1	6	279,6880000;281,516000;285,412800	283,7568;284,15136	107	elementalequip150103	4500	30
elementalequip150103	1	6	279,7400000;281,555000;285,444000	283,8140;284,16280	107	elementalequip150104	5250	35
elementalequip150104	1	6	279,7920000;281,594000;285,475200	283,8712;284,17424	107	elementalequip150105	6000	40
elementalequip150105	1	6	279,8440000;281,633000;285,506400	283,9284;284,18568	107		0	45
elementalequip100202	2	1	279,380000;281,28500;285,22800	283,418;287,836	85	elementalequip100203	100	5
elementalequip100203	2	1	279,570000;281,42750;285,34200	283,627;287,1254	85	elementalequip100204	200	10
elementalequip100204	2	1	279,760000;281,57000;285,45600	283,836;287,1672	85	elementalequip100205	300	15
elementalequip100205	2	1	279,950000;281,71250;285,57000	283,1045;287,2090	85	elementalequip110202	400	20
elementalequip110202	2	2	279,1178000;281,88350;285,70680	283,1295;287,2590	88	elementalequip110203	300	10
elementalequip110203	2	2	279,1406000;281,105450;285,84360	283,1546;287,3092	88	elementalequip110204	450	15
elementalequip110204	2	2	279,1634000;281,122550;285,98040	283,1797;287,3594	88	elementalequip110205	600	20
elementalequip110205	2	2	279,1862000;281,139650;285,111720	283,2048;287,4096	88	elementalequip120202	750	25
elementalequip120202	2	3	279,2147000;281,161025;285,128820	283,2361;287,4722	93	elementalequip120203	750	15
elementalequip120203	2	3	279,2432000;281,182400;285,145920	283,2675;287,5350	93	elementalequip120204	1000	20
elementalequip120204	2	3	279,2717000;281,203775;285,163020	283,2988;287,5976	93	elementalequip120205	1250	25
elementalequip120205	2	3	279,3002000;281,225150;285,180120	283,3302;287,6604	93	elementalequip130202	1500	30
elementalequip130202	2	4	279,3344000;281,250800;285,200640	283,3678;287,7356	98	elementalequip130203	1500	20
elementalequip130203	2	4	279,3686000;281,276450;285,221160	283,4054;287,8108	98	elementalequip130204	1875	25
elementalequip130204	2	4	279,4028000;281,302100;285,241680	283,4430;287,8860	98	elementalequip130205	2250	30
elementalequip130205	2	4	279,4370000;281,327750;285,262200	283,4807;287,9614	98	elementalequip140202	2625	35
elementalequip140202	2	5	279,4788000;281,359100;285,287280	283,5266;287,10532	103	elementalequip140203	2500	25
elementalequip140203	2	5	279,5206000;281,390450;285,312360	283,5726;287,11452	103	elementalequip140204	3000	30
elementalequip140204	2	5	279,5624000;281,421800;285,337440	283,6186;287,12372	103	elementalequip140205	3500	35
elementalequip140205	2	5	279,6042000;281,453150;285,362520	283,6646;287,13292	103	elementalequip150202	4000	40
elementalequip150202	2	6	279,6536000;281,490200;285,392160	283,7189;287,14378	108	elementalequip150203	4500	30
elementalequip150203	2	6	279,7030000;281,527250;285,421800	283,7733;287,15466	108	elementalequip150204	5250	35
elementalequip150204	2	6	279,7524000;281,564300;285,451440	283,8276;287,16552	108	elementalequip150205	6000	40
elementalequip150205	2	6	279,8018000;281,601350;285,481080	283,8819;287,17638	108		0	45
elementalequip100302	3	1	279,408000;281,30600;285,24480	283,448;288,896	85	elementalequip100303	100	5
elementalequip100303	3	1	279,612000;281,45900;285,36720	283,673;288,1346	85	elementalequip100304	200	10
elementalequip100304	3	1	279,816000;281,61200;285,48960	283,897;288,1794	85	elementalequip100305	300	15
elementalequip100305	3	1	279,1020000;281,76500;285,61200	283,1122;288,2244	85	elementalequip110302	400	20
elementalequip110302	3	2	279,1264800;281,94860;285,75888	283,1391;288,2782	88	elementalequip110303	300	10
elementalequip110303	3	2	279,1509600;281,113220;285,90576	283,1660;288,3320	88	elementalequip110304	450	15
elementalequip110304	3	2	279,1754400;281,131580;285,105264	283,1929;288,3858	88	elementalequip110305	600	20
elementalequip110305	3	2	279,1999200;281,149940;285,119952	283,2199;288,4398	88	elementalequip120302	750	25
elementalequip120302	3	3	279,2305200;281,172890;285,138312	283,2535;288,5070	93	elementalequip120303	750	15
elementalequip120303	3	3	279,2611200;281,195840;285,156672	283,2872;288,5744	93	elementalequip120304	1000	20
elementalequip120304	3	3	279,2917200;281,218790;285,175032	283,3208;288,6416	93	elementalequip120305	1250	25
elementalequip120305	3	3	279,3223200;281,241740;285,193392	283,3545;288,7090	93	elementalequip130302	1500	30
elementalequip130302	3	4	279,3590400;281,269280;285,215424	283,3949;288,7898	98	elementalequip130303	1500	20
elementalequip130303	3	4	279,3957600;281,296820;285,237456	283,4353;288,8706	98	elementalequip130304	1875	25
elementalequip130304	3	4	279,4324800;281,324360;285,259488	283,4757;288,9514	98	elementalequip130305	2250	30
elementalequip130305	3	4	279,4692000;281,351900;285,281520	283,5161;288,10322	98	elementalequip140302	2625	35
elementalequip140302	3	5	279,5140800;281,385560;285,308448	283,5654;288,11308	103	elementalequip140303	2500	25
elementalequip140303	3	5	279,5589600;281,419220;285,335376	283,6148;288,12296	103	elementalequip140304	3000	30
elementalequip140304	3	5	279,6038400;281,452880;285,362304	283,6642;288,13284	103	elementalequip140305	3500	35
elementalequip140305	3	5	279,6487200;281,486540;285,389232	283,7135;288,14270	103	elementalequip150302	4000	40
elementalequip150302	3	6	279,7017600;281,526320;285,421056	283,7719;288,15438	108	elementalequip150303	4500	30
elementalequip150303	3	6	279,7548000;281,566100;285,452880	283,8302;288,16604	108	elementalequip150304	5250	35
elementalequip150304	3	6	279,8078400;281,605880;285,484704	283,8886;288,17772	108	elementalequip150305	6000	40
elementalequip150305	3	6	279,8608800;281,645660;285,516528	283,9469;288,18938	108		0	45
elementalequip100402	4	1	279,392000;281,29400;285,23520	284,431;287,862	85	elementalequip100403	100	5
elementalequip100403	4	1	279,588000;281,44100;285,35280	284,646;287,1292	85	elementalequip100404	200	10
elementalequip100404	4	1	279,784000;281,58800;285,47040	284,862;287,1724	85	elementalequip100405	300	15
elementalequip100405	4	1	279,980000;281,73500;285,58800	284,1078;287,2156	85	elementalequip110402	400	20
elementalequip110402	4	2	279,1215200;281,91140;285,72912	284,1336;287,2672	89	elementalequip110403	300	10
elementalequip110403	4	2	279,1450400;281,108780;285,87024	284,1595;287,3190	89	elementalequip110404	450	15
