流水id	活动id	成就组	奖励id	下一档奖励id	npc头像	未完成对话	已完成对话	当前奖励	下档奖励	领取需要值(客户端显示)	终极奖励	跳转链接	任务全部领取
int	int	int	int	int	string	string	string	string	string	int	string	int	string
Id	ActiveId	Group	RewardId	nextrewardid	NpcPic	StartDialogue	FinishDialogue	StartReward	FinishReward	NeedValue	FinalReward	LinkFunc	GetRewardShow
1	7803	1	1	2	n001_portrait01	UI_AnniversaryHonor_StartDialogue01	UI_AnniversaryHonor_FinishDialogue01	item91000000257,1	item91000000257,1	10	item91000000314,1	1	
2	7803	1	2	3	n001_portrait01	UI_AnniversaryHonor_StartDialogue01	UI_AnniversaryHonor_FinishDialogue01	item91000000257,1	item8103010131003,5	40	item91000000314,1	1	
3	7803	1	3	4	n001_portrait01	UI_AnniversaryHonor_StartDialogue01	UI_AnniversaryHonor_FinishDialogue01	item8103010131003,5	item8103010131003,20	100	item91000000314,1	1	
4	7803	1	4	5	n001_portrait01	UI_AnniversaryHonor_StartDialogue01	UI_AnniversaryHonor_FinishDialogue01	item8103010131003,20	item100000000001,5	400	item91000000314,1	1	
5	7803	1	5	-1	n001_portrait01	UI_AnniversaryHonor_StartDialogue01	UI_AnniversaryHonor_FinishDialogue01	item100000000001,5	-1	1000	item91000000314,1	1	UI_AnniversaryHonor_GetRewardShow01
6	7803	4	6	7	n900_portrait01	UI_AnniversaryHonor_StartDialogue02	UI_AnniversaryHonor_FinishDialogue02	item101040101017,20	item101040101016,10	2	item91000000315,1	37	
7	7803	4	7	8	n900_portrait01	UI_AnniversaryHonor_StartDialogue02	UI_AnniversaryHonor_FinishDialogue02	item101040101016,10	item91000000042,1	4	item91000000315,1	37	
8	7803	4	8	9	n900_portrait01	UI_AnniversaryHonor_StartDialogue02	UI_AnniversaryHonor_FinishDialogue02	item91000000042,1	item91000000043,1	6	item91000000315,1	37	
9	7803	4	9	10	n900_portrait01	UI_AnniversaryHonor_StartDialogue03	UI_AnniversaryHonor_FinishDialogue03	item91000000043,1	item100000000001,5	1	item91000000315,1	37	
10	7803	4	10	-1	n900_portrait01	UI_AnniversaryHonor_StartDialogue03	UI_AnniversaryHonor_FinishDialogue03	item100000000001,5	-1	2	item91000000315,1	37	UI_AnniversaryHonor_GetRewardShow02
11	7803	3	11	12	n901_portrait01	UI_AnniversaryHonor_StartDialogue04	UI_AnniversaryHonor_FinishDialogue04	item8106210200001,10	item8106210200001,10	5	item91000000316,1	41	
12	7803	3	12	13	n901_portrait01	UI_AnniversaryHonor_StartDialogue05	UI_AnniversaryHonor_FinishDialogue05	item8106210200001,10	item8106210200001,20	5	item91000000316,1	41	
13	7803	3	13	14	n901_portrait01	UI_AnniversaryHonor_StartDialogue06	UI_AnniversaryHonor_FinishDialogue06	item8106210200001,20	item8106210200001,30	5	item91000000316,1	41	
14	7803	3	14	15	n901_portrait01	UI_AnniversaryHonor_StartDialogue07	UI_AnniversaryHonor_FinishDialogue07	item8106210200001,30	item100000000000,2	5	item91000000316,1	41	
15	7803	3	15	-1	n901_portrait01	UI_AnniversaryHonor_StartDialogue08	UI_AnniversaryHonor_FinishDialogue08	item100000000000,2	-1	1	item91000000316,1	41	UI_AnniversaryHonor_GetRewardShow03
