文件编号	文件路径
int	string
Id	Path
1	func_npc/npc.txt
2	monster_npc/monster_npc.txt
3	special_npc/door_npc.txt
4	special_npc/trigger_npc.txt
5	pub_ride_npc/pub_ride_npc.txt
6	special_npc/landscape_npc.txt
7	special_npc/crack_npc.txt
8	player_npc/player_npc.txt
9	special_npc/cannon_npc.txt
10	special_npc/collect_npc.txt
11	fairy_npc/fairy_npc.txt
12	soldier_npc/soldier_npc.txt
13	robot_npc/robot_npc.txt
14	special_npc/keypoint_npc.txt
15	envoy_npc/envoy_npc.txt
16	apprentice_npc/apprentice_npc.txt
17	elemental_npc/elemental_npc.txt
