流水	itemid	成功升星数	基础属性
int	string	int	string
Id	ItemId	TotalStarNum	BasicProp
1	item127000060101	0	3,20;301,1000
2	item127000060101	1	3,20;301,2000
3	item127000060101	2	3,20;301,3000
4	item127000060101	3	3,20;301,4000
5	item127000060111	0	4,20;301,1000
6	item127000060111	1	4,20;301,2000
7	item127000060111	2	4,20;301,3000
8	item127000060111	3	4,20;301,4000
9	item127000060121	0	1,200;301,1000
10	item127000060121	1	1,200;301,2000
11	item127000060121	2	1,200;301,3000
12	item127000060121	3	1,200;301,4000
13	item127000060131	0	331,100;301,1000
14	item127000060131	1	331,100;301,2000
15	item127000060131	2	331,100;301,3000
16	item127000060131	3	331,100;301,4000
17	item127000060141	0	302,125;301,1000
18	item127000060141	1	302,125;301,2000
19	item127000060141	2	302,125;301,3000
20	item127000060141	3	302,125;301,4000
21	item127000060102	0	3,40;301,1500
22	item127000060102	1	3,40;301,3000
23	item127000060102	2	3,40;301,4500
24	item127000060102	3	3,40;301,6000
25	item127000060102	4	3,40;301,9000
26	item127000060102	5	3,40;301,12000
27	item127000060112	0	4,40;301,1500
28	item127000060112	1	4,40;301,3000
29	item127000060112	2	4,40;301,4500
30	item127000060112	3	4,40;301,6000
31	item127000060112	4	4,40;301,9000
32	item127000060112	5	4,40;301,12000
33	item127000060122	0	1,400;301,1500
34	item127000060122	1	1,400;301,3000
35	item127000060122	2	1,400;301,4500
36	item127000060122	3	1,400;301,6000
37	item127000060122	4	1,400;301,9000
38	item127000060122	5	1,400;301,12000
39	item127000060132	0	331,200;301,1500
40	item127000060132	1	331,200;301,3000
41	item127000060132	2	331,200;301,4500
42	item127000060132	3	331,200;301,6000
43	item127000060132	4	331,200;301,9000
44	item127000060132	5	331,200;301,12000
45	item127000060142	0	302,250;301,1500
46	item127000060142	1	302,250;301,3000
47	item127000060142	2	302,250;301,4500
48	item127000060142	3	302,250;301,6000
49	item127000060142	4	302,250;301,9000
50	item127000060142	5	302,250;301,12000
51	item127000060103	0	3,80;301,2500
52	item127000060103	1	3,80;301,5000
53	item127000060103	2	3,80;301,7500
54	item127000060103	3	3,80;301,10000
55	item127000060103	4	3,80;301,12500
56	item127000060103	5	3,80;301,15000
57	item127000060103	6	3,80;301,17500
58	item127000060103	7	3,80;301,20000
59	item127000060113	0	4,80;301,2500
60	item127000060113	1	4,80;301,5000
61	item127000060113	2	4,80;301,7500
62	item127000060113	3	4,80;301,10000
63	item127000060113	4	4,80;301,12500
64	item127000060113	5	4,80;301,15000
65	item127000060113	6	4,80;301,17500
66	item127000060113	7	4,80;301,20000
67	item127000060123	0	1,800;301,2500
68	item127000060123	1	1,800;301,5000
69	item127000060123	2	1,800;301,7500
70	item127000060123	3	1,800;301,10000
71	item127000060123	4	1,800;301,12500
72	item127000060123	5	1,800;301,15000
73	item127000060123	6	1,800;301,17500
74	item127000060123	7	1,800;301,20000
75	item127000060133	0	331,400;301,2500
76	item127000060133	1	331,400;301,5000
77	item127000060133	2	331,400;301,7500
78	item127000060133	3	331,400;301,10000
79	item127000060133	4	331,400;301,12500
80	item127000060133	5	331,400;301,15000
81	item127000060133	6	331,400;301,17500
82	item127000060133	7	331,400;301,20000
83	item127000060143	0	302,500;301,2500
84	item127000060143	1	302,500;301,5000
85	item127000060143	2	302,500;301,7500
86	item127000060143	3	302,500;301,10000
87	item127000060143	4	302,500;301,12500
88	item127000060143	5	302,500;301,15000
89	item127000060143	6	302,500;301,17500
90	item127000060143	7	302,500;301,20000
91	item127000060201	0	3,100;301,3500
92	item127000060201	1	3,100;301,7000
93	item127000060201	2	3,100;301,10500
94	item127000060201	3	3,100;301,14000
95	item127000060201	4	3,100;301,17500
96	item127000060201	5	3,100;301,21000
97	item127000060201	6	3,100;301,24500
98	item127000060201	7	3,100;301,28000
99	item127000060201	8	3,100;301,32000
100	item127000060301	0	3,120;301,3500
101	item127000060301	1	3,120;301,7000
102	item127000060301	2	3,120;301,10500
103	item127000060301	3	3,120;301,14000
104	item127000060301	4	3,120;301,17500
105	item127000060301	5	3,120;301,21000
106	item127000060301	6	3,120;301,24500
107	item127000060301	7	3,120;301,28000
108	item127000060301	8	3,120;301,32000
109	item127000060301	9	3,120;301,36000
