流水	专精ID	等级	升级所需角色等级	升级消耗	属性	评分类型	值/公式	参数1	参数2	参数3	参数4	参数5
int	int	int	string	string	string	int	int	string	string	string	string	string
Id	TalentId	Level	NeedLevel	LevelupConsume	PropList	CPType	CPValue	TalentParam0	TalentParam1	TalentParam2	TalentParam3	TalentParam4
1	101101	1	20			2	50					
2	101101	2	22			2	100					
3	101101	3	26			2	150					
4	101101	4	30			2	200					
5	101101	5	35			2	250					
6	101102	1	20			2	50					
7	101102	2	22			2	100					
8	101102	3	26			2	150					
9	101102	4	30			2	200					
10	101102	5	35			2	250					
11	101103	1	41			2	50					
12	101103	2	43			2	100					
13	101103	3	45			2	150					
14	101103	4	47			2	200					
15	101103	5	49			2	250					
16	101104	1	20			2	50					
17	101104	2	22			2	100					
18	101104	3	26			2	150					
19	101104	4	30			2	200					
20	101104	5	35			2	250					
21	101105	1	41			2	50					
22	101105	2	43			2	100					
23	101105	3	45			2	150					
24	101105	4	47			2	200					
25	101105	5	49			2	250					
26	101106	1	20			2	50					
27	101106	2	22			2	100					
28	101106	3	26			2	150					
29	101106	4	30			2	200					
30	101106	5	35			2	250					
31	101107	1	51			2	50					
32	101107	2	53			2	100					
33	101107	3	55			2	150					
34	101107	4	57			2	200					
35	101107	5	59			2	250					
36	101108	1	41			2	50					
37	101108	2	43			2	100					
38	101108	3	45			2	150					
39	101108	4	47			2	200					
40	101108	5	49			2	250					
41	101109	1	51			2	50					
42	101109	2	53			2	100					
43	101109	3	55			2	150					
44	101109	4	57			2	200					
45	101109	5	59			2	250					
46	101110	1	51			2	50					
47	101110	2	53			2	100					
48	101110	3	55			2	150					
49	101110	4	57			2	200					
50	101110	5	59			2	250					
51	101111	1	61			2	50					
52	101111	2	63			2	100					
53	101111	3	65			2	150					
54	101111	4	67			2	200					
55	101111	5	69			2	250					
56	101201	1	51			2	50					
57	101201	2	53			2	100					
58	101201	3	55			2	150					
59	101201	4	57			2	200					
60	101201	5	59			2	250					
61	101202	1	20			2	50					
62	101202	2	22			2	100					
63	101202	3	26			2	150					
64	101202	4	30			2	200					
65	101202	5	35			2	250					
66	101203	1	51			2	50					
67	101203	2	53			2	100					
68	101203	3	55			2	150					
69	101203	4	57			2	200					
70	101203	5	59			2	250					
71	101204	1	20			2	50					
72	101204	2	22			2	100					
73	101204	3	26			2	150					
74	101204	4	30			2	200					
75	101204	5	35			2	250					
76	101205	1	41			2	50					
77	101205	2	43			2	100					
78	101205	3	45			2	150					
79	101205	4	47			2	200					
80	101205	5	49			2	250					
81	101206	1	20			2	50					
82	101206	2	22			2	100					
83	101206	3	26			2	150					
84	101206	4	30			2	200					
85	101206	5	35			2	250					
86	101207	1	41			2	50					
87	101207	2	43			2	100					
88	101207	3	45			2	150					
89	101207	4	47			2	200					
90	101207	5	49			2	250					
91	101208	1	20			2	50					
92	101208	2	22			2	100					
93	101208	3	26			2	150					
94	101208	4	30			2	200					
95	101208	5	35			2	250					
96	101209	1	41			2	50					
97	101209	2	43			2	100					
98	101209	3	45			2	150					
99	101209	4	47			2	200					
100	101209	5	49			2	250					
101	101210	1	51			2	50					
102	101210	2	53			2	100					
103	101210	3	55			2	150					
104	101210	4	57			2	200					
105	101210	5	59			2	250					
106	101211	1	61			2	50					
107	101211	2	63			2	100					
108	101211	3	65			2	150					
109	101211	4	67			2	200					
110	101211	5	69			2	250					
111	102101	1	51			2	50					
112	102101	2	53			2	100					
113	102101	3	55			2	150					
114	102101	4	57			2	200					
115	102101	5	59			2	250					
116	102102	1	20			2	50					
117	102102	2	22			2	100					
118	102102	3	26			2	150					
119	102102	4	30			2	200					
120	102102	5	35			2	250					
121	102103	1	20			2	50					
122	102103	2	22			2	100					
123	102103	3	26			2	150					
124	102103	4	30			2	200					
125	102103	5	35			2	250					
126	102104	1	20			2	50					
127	102104	2	22			2	100					
128	102104	3	26			2	150					
129	102104	4	30			2	200					
130	102104	5	35			2	250					
131	102105	1	51			2	50					
132	102105	2	53			2	100					
133	102105	3	55			2	150					
134	102105	4	57			2	200					
135	102105	5	59			2	250					
136	102106	1	41			2	50					
137	102106	2	43			2	100					
138	102106	3	45			2	150					
139	102106	4	47			2	200					
140	102106	5	49			2	250					
141	102107	1	41			2	50					
142	102107	2	43			2	100					
143	102107	3	45			2	150					
144	102107	4	47			2	200					
145	102107	5	49			2	250					
146	102108	1	51			2	50					
147	102108	2	53			2	100					
148	102108	3	55			2	150					
149	102108	4	57			2	200					
150	102108	5	59			2	250					
151	102109	1	20			2	50					
152	102109	2	22			2	100					
153	102109	3	26			2	150					
154	102109	4	30			2	200					
155	102109	5	35			2	250					
156	102110	1	41			2	50					
157	102110	2	43			2	100					
158	102110	3	45			2	150					
159	102110	4	47			2	200					
160	102110	5	49			2	250					
161	102111	1	61			2	50					
162	102111	2	63			2	100					
163	102111	3	65			2	150					
164	102111	4	67			2	200					
165	102111	5	69			2	250					
166	102201	1	20			2	50					
167	102201	2	22			2	100					
168	102201	3	26			2	150					
169	102201	4	30			2	200					
170	102201	5	35			2	250					
171	102202	1	41			2	50					
172	102202	2	43			2	100					
173	102202	3	45			2	150					
174	102202	4	47			2	200					
175	102202	5	49			2	250					
176	102203	1	41			2	50					
177	102203	2	43			2	100					
178	102203	3	45			2	150					
179	102203	4	47			2	200					
