流水ID	编号	步骤	内容类型	提示内容	提示内容位置	提示内容弹出方式	提示内容字体大小	文字居中	方向	引导框大小	引导框位置偏移	引导出现延迟	目标是否旋转	旋转速度和半径	关键步	是否依赖上一个引导	开启条件类型	开启条件内容	是否反复触发	相对层级	是否强制	是否遮罩	是否全屏触发	重新引导版本	步骤名字	前置对象路径	不添加触发对象	触发对象路径	触发NPC	移动位置	移动提示特效半径	人声语音	适用渠道
int	int	int	int	string	string	int	int	bool	int	string	string	float	int	string	bool	bool	int	string	bool	int	bool	bool	bool	int	string	string	bool	string	int	int	int	int	string
Id	GuideId	Step	ContentType	Text	TextPos	TextWay	TextFontSize	TextMiddle	TextPoint	FrameSize	FramePos	Delay	RotateType	RotateParams	KeyStep	NeedLast	ConditionType	ConditionValue	IsRepeat	SortIndex	IsForce	IsBlack	IsFullTouch	ReGuideVersion	StepName	FrontItem	IsNoTriggerItem	TriggerItem	TriggerNpc	MovePos	radius	Audio	SdkTypes
1	33	0	0	GuideText330	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				2	10000030		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/NoSpreadRoot/FuncBtn_7	0	0	0	0	
2	33	1	0	GuideText331	-40;0	0	20	1	3	0.7;0.7		0.000000	0				0			0				0				BagPanel/MyRoot/BagItemListPageCanvas/ItemListRoot/BagItemListPage(Clone)/Scroll View/Viewport/Content/item107000020102/ItemIconRoot/ItemIcon(Clone)	0	0	0	100002	
3	33	2	0	GuideText332	-20;0	0	20	1	3	1;1		0.000000	0				0			0				0				ItemTipsPanel/Root/ButtonArea/Common/RightButtonGreen	0	0	0	100003	
4	33	3	0	GuideText333	0;0	1	20	1	1	1.2;1		0.000000	0		1		0			0				0				BagPanel/MyRoot/SoulStonePageRoot/StrengthenSoulStonePage(Clone)/FunctionPageRoot/SoulStoneInlayPageRoot/StrengthenSoulStoneInlayPage(Clone)/MyRoot/GemOperateRoot/Confirm	0	0	0	100004	
5	33	4	0	GuideText334	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0		NavigationPanel/Root/CloseButton		NavigationPanel/Root/CloseButton	0	0	0	0	
6	33	5	0	GuideText335	10;0	0	20	1	3	0.89;0.64	-6;0	0.000000	0			1	0			0				0				MainPanel/LeftSafeArea/TaskTeamPage(Clone)/Root/ContainerPageRoot/ContainerPage(Clone)/Viewport/Content/10000040	0	0	0	100007	
7	34	0	0	GuideText340	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				1	100		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/NoSpreadRoot/FuncBtn_7	0	0	0	100001	
8	34	1	0	GuideText341	-40;0	1	20	1	3	0.7;0.7		0.300000	0		1		0			0				0				BagPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100008	
9	34	2	0	GuideText343	0;0	1	20	1	1	1.2;1		0.000000	0				0			0				0				BagPanel/MyRoot/SoulStonePageRoot/StrengthenSoulStonePage(Clone)/FunctionPageRoot/SoulStoneInlayPageRoot/StrengthenSoulStoneInlayPage(Clone)/MyRoot/GemOperateRoot/Confirm	0	0	0	100004	
10	34	3	0	GuideText344	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0		NavigationPanel/Root/CloseButton		NavigationPanel/Root/CloseButton	0	0	0	0	
11	35	0	0	GuideText350	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				2	11100120		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/NoSpreadRoot/FuncBtn_7	0	0	0	100001	
12	35	1	0	GuideText351	-40;0	1	20	1	3	0.7;0.7		0.300000	0		1		0			0				0				BagPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100008	
13	35	2	0	GuideText353	0;0	1	20	1	1	1.2;1		0.000000	0				0			0				0				BagPanel/MyRoot/SoulStonePageRoot/StrengthenSoulStonePage(Clone)/FunctionPageRoot/SoulStoneInlayPageRoot/StrengthenSoulStoneInlayPage(Clone)/MyRoot/GemOperateRoot/Confirm	0	0	0	100004	
14	35	3	0	GuideText354	40;0	1	20	1	1	1;1		0.000000	0				0			0				0				BagPanel/MyRoot/SoulStonePageRoot/StrengthenSoulStonePage(Clone)/FunctionPageRoot/SoulStoneInfoPageRoot/StrengthenSoulStoneInfoPage(Clone)/MyRoot/SoulStoneAreaRoot/LevelUpBtn	0	0	0	100010	
15	35	4	0	GuideText355	0;0	0	20	1	2	1;1		0.000000	0				0			0				0				StrengthenSoulStoneLevelUpPanel/Window/MyRoot/OperateRoot/AutoSelectBtn	0	0	0	100011	
16	35	5	0	GuideText356	0;0	0	20	1	2	1;1		0.000000	0			1	0			0				0				StrengthenSoulStoneLevelUpPanel/Window/MyRoot/OperateRoot/LevelUpBtn	0	0	0	100012	
17	35	6	0	GuideText357	40;0	1	20	1	1	0.8;0.8		0.000000	0			1	0			0				0				StrengthenSoulStoneLevelUpPanel/Window/System/ExitBtn	0	0	0	0	
18	35	7	0	GuideText358	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0		NavigationPanel/Root/CloseButton		NavigationPanel/Root/CloseButton	0	0	0	0	
19	2002	0	0	GuideText20020	40;-10	1	20	1	1	1;0.9	0;-10	0.000000	0				3	EggTimeUp		0				0				MainPanel/MainPage/Root/ShowPetEggBtnRoot/ShowPetEggBtnPage(Clone)/Root/SelfBtn	0	0	0	100013	
20	2005	0	0	GuideText20050	10;0	0	20	1	3	0;0	-10000;0	0.000000	0		1		4	11100010,1,3		0				0				MainPanel/LeftSafeArea/TaskTeamPage(Clone)/Root/ContainerPageRoot/ContainerPage(Clone)/Viewport/Content/11100010	0	0	0	0	
21	2003	0	0	GuideText20030	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				4	11100060,1,3		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	0	
22	2003	1	0	GuideText20031	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_5	0	0	0	100016	
23	2003	2	0	GuideText20032	-40;0	0	20	1	3	0.8;0.8		0.000000	0				0			0				0				SkillPanel/MyRoot/SkillPageRoot/SkillPage(Clone)/PanelSkillInfo/ScrollRect/Viewport/Content/FightSkill/SkillRoot/0	0	0	0	100017	
24	2003	3	0	GuideText20033	10;0	1	20	1	1	1.2;1		0.000000	0				0			0				0				SkillTipsPanel/PanelRoot/ButtonArea/ButtonUpgrade	0	0	0	100018	
25	2003	4	0	GuideText20034	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0				NavigationPanel/Root/CloseButton	0	0	0	0	
26	2009	0	0	GuideText20090	0;20	1	24	1	2	0.6;0.6		0.000000	0		1		4	11100190,0,3		0				0				MainPanel/MainPage/PotionButton/IconRoot/ItemIcon(Clone)	0	0	0	0	
27	2009	1	0	GuideText20091	-60;0	1	20	1	1	0.9;0.9		0.000000	0			1	0			0				0				MainPanel/MainPage/PotionSelectPageRoot/PotionSelectPage(Clone)/Root/FixedScrollView/Viewport/Content/0	0	0	0	100020	
28	2011	0	0	GuideText20111	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				5	90		0	1	1		0		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	0	
29	2011	1	0	GuideText20112	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0	1	1		0		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_37		MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_37	0	0	0	100022	
30	2011	2	0	GuideText20113	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0	1	1		0		PetPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)		PetPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (1)	0	0	0	100023	
31	2011	3	0	GuideText20114	0;0	1	20	1	1	1;1		0.000000	0			1	0			0	1	1		0		PetPanel/MyRoot/PetPageRoot/PetInfoPage(Clone)/PetInfomationPage(Clone)/PlayedBtn		PetPanel/MyRoot/PetPageRoot/PetInfoPage(Clone)/PetInfomationPage(Clone)/PlayedBtn	0	0	0	100024	
32	2011	4	0	GuideText20115	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0	1	1		0		NavigationPanel/Root/CloseButton		NavigationPanel/Root/CloseButton	0	0	0	0	
33	2001	0	0	GuideText20010	70;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0		1		4	10100180,1,3		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/TopRectMask/TopAreaRoot/FuncBtn_112	0	0	0	0	
34	2001	1	0	GuideText20012	0;0	0	20	1	1	1;1		0.000000	0			1	0			0				0				HeroRoadPanel/Window/MyRoot/TargetPage/TargetInfoPage/RewardTitleBg/GetBtn	0	0	0	100027	
35	2001	2	0	GuideText20013	20;0	1	20	1	3	1;1		0.000000	0			1	0			0				0				HeroRoadPanel/Window/MyRoot/Left/MenuScrollView/Viewport/Content/0/ParentCell	0	0	0	100028	
36	2001	3	0	GuideText20014	0;0	0	20	1	2	1;1		0.000000	0			1	0			0				0				HeroRoadPanel/Window/MyRoot/LevelPage/ButtomRoot/ProgressBarBg/ProgressBar/UpgradeBtn	0	0	0	100029	
37	2001	4	0	GuideText20015	0;20	0	20	1	2	0.8;0.8		0.000000	0			1	0			0				0				HeroRoadPanel/Window/MyRoot/LevelPage/ButtomRoot/BoxRoot/BoxButton	0	0	0	0	
38	2001	5	0	GuideText20016	50;-5	0	20	1	1	0.5;0.5		0.000000	0			1	0			0				0				HeroRoadPanel/System/ExitBtn	0	0	0	0	
39	2004	0	0	GuideText20040	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				2	10200030		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	0	
40	2004	1	0	GuideText20041	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_12	0	0	0	100036	
41	2004	2	0	GuideText20042	0;0	0	20	1	1	1.1;1		0.000000	0				0			0				0				StrengthenPanel/MyRoot/BlessPageRoot/StrengthenBlessPage(Clone)/OperateRegion/AutoAddBtn	0	0	0	100037	
42	2007	0	0	GuideText20070	-50;0	0	20	1	3	0.8;0.8		0.000000	0				4	10200088,1,3		0				0				FairyBallBtnPanel/Root/ItemRoot/ItemButton	0	0	0	100038	
43	2008	0	0	GuideText20080	60;-2	0	20	1	1	0.8;0.8	0;-2	0.000000	0				2	10200088		0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/MoreBtn	0	0	0	100015	
44	2008	1	0	GuideText20081	60;-2	0	20	1	1	0.9;0.9	0;-2	0.000000	0		1		0			0				0				MainPanel/FuncMenuRoot/FuncMenuPage(Clone)/Root/MenuAreaRoot/SpreadRoot/FuncBtn_37	0	0	0	100022	
45	2008	2	0	GuideText20082	-40;0	1	20	1	3	0.7;0.7		0.300000	0				0			0				0				PetPanel/MyRoot/PanelTabPageRoot/PanelTabPage(Clone)/ToggleGroup/TabsRoot/EquipToggle (3)	0	0	0	100039	
46	2008	3	0	GuideText20083	-40;0	0	20	1	3	1;1		0.000000	0				0			0				0				PetPanel/MyRoot/EggPageRoot/PetEggPage(Clone)/ShowRoot1/AddBtn	0	0	0	100040	
47	2008	4	0	GuideText20084	0;-30	0	20	1	0	0.7;0.7		0.000000	0				0			0				0				PetPanel/MyRoot/EggPageRoot/PetEggPage(Clone)/EggList/ListRoot/ItemIconScrollView/Viewport/Content/0/ItemIconRoot/ItemIcon	0	0	0	100041	
48	2008	5	0	GuideText20085	50;-9	0	20	1	1	0.5;0.5	-4;-5	0.000000	0			1	0			0				0				NavigationPanel/Root/CloseButton	0	0	0	0	
49	2012	0	0	GuideText20120	10;0	0	20	1	3	0.89;0.64	-6;0	0.000000	0		1		4	11100160,3,3		0				0				MainPanel/LeftSafeArea/TaskTeamPage(Clone)/Root/ContainerPageRoot/ContainerPage(Clone)/Viewport/Content/11100160	0	0	0	100042	
