流水	排名	奖励展示
int	int	string
Id	Rank	RewardShow
1	1	item141000000224,1;item100800000002,8;item1028,600;item101200000016,20
2	2	item141000000225,1;item100800000002,7;item1028,550;item101200000016,20
3	3	item141000000226,1;item100800000002,6;item1028,500;item101200000016,20
4	4	item100800000002,5;item1028,400;item101200000016,20
5	5	item100800000002,5;item1028,400;item101200000016,20
6	6	item100800000002,4;item1028,350;item101200000016,20
7	7	item100800000002,4;item1028,350;item101200000016,20
8	8	item100800000002,4;item1028,350;item101200000016,20
9	9	item100800000002,4;item1028,350;item101200000016,20
10	10	item100800000002,4;item1028,350;item101200000016,20
11	11	item100800000002,3;item1028,300;item101200000016,20
12	12	item100800000002,3;item1028,300;item101200000016,20
13	13	item100800000002,3;item1028,300;item101200000016,20
14	14	item100800000002,3;item1028,300;item101200000016,20
15	15	item100800000002,3;item1028,300;item101200000016,20
16	16	item100800000002,3;item1028,300;item101200000016,20
17	17	item100800000002,3;item1028,300;item101200000016,20
18	18	item100800000002,3;item1028,300;item101200000016,20
19	19	item100800000002,3;item1028,300;item101200000016,20
20	20	item100800000002,3;item1028,300;item101200000016,20
21	21	item100800000002,2;item1028,200;item101200000016,20
22	22	item100800000002,2;item1028,200;item101200000016,20
23	23	item100800000002,2;item1028,200;item101200000016,20
24	24	item100800000002,2;item1028,200;item101200000016,20
25	25	item100800000002,2;item1028,200;item101200000016,20
26	26	item100800000002,2;item1028,200;item101200000016,20
27	27	item100800000002,2;item1028,200;item101200000016,20
28	28	item100800000002,2;item1028,200;item101200000016,20
29	29	item100800000002,2;item1028,200;item101200000016,20
30	30	item100800000002,2;item1028,200;item101200000016,20
31	31	item8100800000002,1;item1028,100;item101200000016,20
