格子ID	地图ID	格子ID	行列坐标	事件ID	特拉然掉落库库ID	能选择前往的坐标点	UI界面中的坐标
int	int	int	string	int	int	string	string
Id	MapId	GridID	Pos	EventId	DropId	ArrivePos	Position
1	1101	1	1,1	910	0	2,3,4	0,0
2	1101	2	2,1	0	102	5,6	150,120
3	1101	3	2,2	0	102	7,8	190,10
4	1101	4	2,3	0	102	9	160,-130
5	1101	5	3,1	0	103	10	370,220
6	1101	6	3,2	0	103	10,11	330,115
7	1101	7	3,3	0	1502	11,12	380,20
8	1101	8	3,4	0	103	12	350,-105
9	1101	9	3,5	0	103	12	375,-220
10	1101	10	4,1	0	104	13	535,150
11	1101	11	4,2	410	0	13,14	560,-30
12	1101	12	4,3	0	104	14,15,16	545,-160
13	1101	13	5,1	0	105	17	690,210
14	1101	14	5,2	210	0	17	740,50
15	1101	15	5,3	0	105	17,18	725,-110
16	1101	16	5,4	0	105	18	780,-215
17	1101	17	6,1	410	0	19,20,21	910,90
18	1101	18	6,2	0	106	22,23	880,-60
19	1101	19	7,1	0	107	24,25	1050,210
20	1101	20	7,2	0	107	25,26	1100,75
21	1101	21	7,3	510	0	26,27	1070,-20
22	1101	22	7,4	0	107	27	1040,-130
23	1101	23	7,5	0	107	27	1090,-217
24	1101	24	8,1	0	108	28	1280,160
25	1101	25	8,2	0	108	28,29	1260,30
26	1101	26	8,3	310	0	29,30	1270,-80
27	1101	27	8,4	0	108	30	1290,-170
28	1101	28	9,1	0	109	31	1455,100
29	1101	29	9,2	210	0	31	1480,0
30	1101	30	9,3	0	109	31	1445,-100
31	1101	31	10,1	0	1605	32	1620,0
32	1101	32	11,1	1000	0		1800,0
33	1102	1	1,1	910	0	2,3,4	0,0
34	1102	2	2,1	0	102	5,6,7	150,120
35	1102	3	2,2	0	102	7,8	190,10
36	1102	4	2,3	0	102	9	160,-130
37	1102	5	3,1	0	103	10	370,220
38	1102	6	3,2	0	103	10	330,115
39	1102	7	3,3	0	1502	11	380,20
40	1102	8	3,4	0	103	11	350,-105
41	1102	9	3,5	0	103	12	375,-220
42	1102	10	4,1	0	104	13	535,150
43	1102	11	4,2	410	0	14	560,-30
44	1102	12	4,3	0	104	15,16	545,-160
45	1102	13	5,1	0	105	17	690,210
46	1102	14	5,2	210	0	17	740,50
47	1102	15	5,3	0	105	17	725,-110
48	1102	16	5,4	0	105	18	780,-215
49	1102	17	6,1	410	0	19,20	910,90
50	1102	18	6,2	0	106	21,22,23	880,-60
51	1102	19	7,1	0	107	24	1050,210
52	1102	20	7,2	510	0	25	1100,75
53	1102	21	7,3	0	107	25	1070,-20
54	1102	22	7,4	0	107	26	1040,-130
55	1102	23	7,5	0	107	27	1090,-217
56	1102	24	8,1	0	108	28	1280,160
57	1102	25	8,2	310	0	29	1260,30
58	1102	26	8,3	0	108	29	1270,-80
59	1102	27	8,4	0	108	29,30	1290,-170
60	1102	28	9,1	0	109	31	1455,100
61	1102	29	9,2	110	0	31	1480,0
62	1102	30	9,3	0	109	31	1445,-100
63	1102	31	10,1	0	1605	32	1620,0
64	1102	32	11,1	1000	0		1800,0
65	1103	1	1,1	910	0	2,3,4	0,0
66	1103	2	2,1	0	102	5,6	150,120
67	1103	3	2,2	0	102	7	190,10
68	1103	4	2,3	0	102	7,8,9	160,-130
69	1103	5	3,1	0	103	10	370,220
70	1103	6	3,2	0	103	10	330,115
71	1103	7	3,3	0	1502	10,11,12	380,20
72	1103	8	3,4	0	103	12	350,-105
73	1103	9	3,5	0	103	12	375,-220
74	1103	10	4,1	0	104	13,14	535,150
75	1103	11	4,2	410	0	14,15	560,-30
76	1103	12	4,3	0	104	15,16	545,-160
77	1103	13	5,1	0	105	17	690,210
78	1103	14	5,2	0	105	17	740,50
79	1103	15	5,3	210	0	18	725,-110
80	1103	16	5,4	0	105	18	780,-215
81	1103	17	6,1	0	106	19,20,21	910,90
82	1103	18	6,2	410	0	21,22,23	880,-60
83	1103	19	7,1	0	107	24,25	1050,210
84	1103	20	7,2	0	107	25	1100,75
85	1103	21	7,3	510	0	25	1070,-20
86	1103	22	7,4	0	107	25	1040,-130
87	1103	23	7,5	0	107	25,26,27	1090,-217
88	1103	24	8,1	0	108	28,29	1280,160
89	1103	25	8,2	310	0	29	1260,30
90	1103	26	8,3	0	108	30	1270,-80
91	1103	27	8,4	0	108	30	1290,-170
92	1103	28	9,1	0	109	31	1455,100
93	1103	29	9,2	210	0	31	1480,0
94	1103	30	9,3	0	109	31	1445,-100
95	1103	31	10,1	0	1605	32	1620,0
96	1103	32	11,1	1000	0		1800,0
97	2101	1	1,1	910	0	2,3,4	0,0
98	2101	2	2,1	0	102	5	200,190
99	2101	3	2,2	0	102	6	160,0
100	2101	4	2,3	0	102	7,8	140,-160
101	2101	5	3,1	0	103	9	380,160
102	2101	6	3,2	0	1502	9	400,15
103	2101	7	3,3	0	103	10	320,-80
104	2101	8	3,4	0	103	10	410,-150
105	2101	9	4,1	410	0	11,12,13	520,90
106	2101	10	4,2	0	104	13,14,15	560,-95
107	2101	11	5,1	0	105	16	690,225
108	2101	12	5,2	0	105	16	740,130
109	2101	13	5,3	210	0	17,18	760,30
110	2101	14	5,4	0	105	18	750,-100
111	2101	15	5,5	0	105	18	700,-225
112	2101	16	6,1	0	106	19	910,112
113	2101	17	6,2	410	0	19,20	940,0
114	2101	18	6,3	0	106	20	900,-150
115	2101	19	7,1	0	107	21,22	1100,65
116	2101	20	7,2	510	0	23,24	1060,-56
117	2101	21	8,1	0	108	25	1240,200
118	2101	22	8,2	0	108	25,26	1280,80
119	2101	23	8,3	310	0	26,27	1250,-60
120	2101	24	8,4	0	108	27	1290,-180
121	2101	25	9,1	0	109	28	1460,160
122	2101	26	9,2	210	0	28	1420,-20
123	2101	27	9,3	0	109	28	1500,-140
124	2101	28	10,1	0	1605	29	1620,0
125	2101	29	11,1	1000	0		1800,0
126	2102	1	1,1	910	0	2,3,4	0,0
127	2102	2	2,1	0	102	5	200,190
128	2102	3	2,2	0	102	5,6	160,0
129	2102	4	2,3	0	102	7,8	140,-160
130	2102	5	3,1	0	103	9,10	380,160
131	2102	6	3,2	0	1502	10	400,15
132	2102	7	3,3	0	103	10	320,-80
133	2102	8	3,4	0	103	10	410,-150
134	2102	9	4,1	0	104	11,12,13,14	520,90
135	2102	10	4,2	410	0	14,15	560,-95
136	2102	11	5,1	0	105	16	690,225
137	2102	12	5,2	0	105	17	740,130
138	2102	13	5,3	0	105	17	760,30
139	2102	14	5,4	210	0	17,18	750,-100
140	2102	15	5,5	0	105	18	700,-225
141	2102	16	6,1	0	106	19	910,112
142	2102	17	6,2	410	0	19,20	940,0
143	2102	18	6,3	0	106	20	900,-150
144	2102	19	7,1	0	107	21	1100,65
145	2102	20	7,2	510	0	22,23,24	1060,-56
146	2102	21	8,1	0	108	25,26	1240,200
147	2102	22	8,2	0	108	26	1280,80
148	2102	23	8,3	310	0	26	1250,-60
149	2102	24	8,4	0	108	26,27	1290,-180
150	2102	25	9,1	0	109	28	1460,160
151	2102	26	9,2	210	0	28	1420,-20
152	2102	27	9,3	0	109	28	1500,-140
153	2102	28	10,1	0	1605	29	1620,0
154	2102	29	11,1	1000	0		1800,0
155	2103	1	1,1	910	0	2,3,4	0,0
156	2103	2	2,1	0	102	5	200,190
157	2103	3	2,2	0	102	5,6,7	160,0
158	2103	4	2,3	0	102	7,8	140,-160
159	2103	5	3,1	0	103	9,10	380,160
160	2103	6	3,2	0	1502	10	400,15
161	2103	7	3,3	0	103	10	320,-80
162	2103	8	3,4	0	103	10	410,-150
163	2103	9	4,1	0	104	11,12,13,14	520,90
164	2103	10	4,2	410	0	15	560,-95
165	2103	11	5,1	0	105	16	690,225
166	2103	12	5,2	0	105	16	740,130
167	2103	13	5,3	0	105	17	760,30
168	2103	14	5,4	0	105	17	750,-100
169	2103	15	5,5	210	0	18	700,-225
170	2103	16	6,1	0	106	19,20	910,112
171	2103	17	6,2	0	106	20	940,0
172	2103	18	6,3	410	0	20	900,-150
173	2103	19	7,1	0	107	21,22,23	1100,65
174	2103	20	7,2	510	0	23,24	1060,-56
175	2103	21	8,1	0	108	25,26	1240,200
176	2103	22	8,2	0	108	26	1280,80
177	2103	23	8,3	310	0	26	1250,-60
178	2103	24	8,4	0	108	26,27	1290,-180
179	2103	25	9,1	0	109	28	1460,160
180	2103	26	9,2	210	0	28	1420,-20
181	2103	27	9,3	0	109	28	1500,-140
182	2103	28	10,1	0	1605	29	1620,0
183	2103	29	11,1	1000	0		1800,0
184	1201	1	1,1	910	0	2,3,4	0,0
185	1201	2	2,1	0	202	5,6	150,120
186	1201	3	2,2	0	202	7,8	190,10
187	1201	4	2,3	0	202	9	160,-130
188	1201	5	3,1	0	203	10	370,220
189	1201	6	3,2	0	203	10,11	330,115
190	1201	7	3,3	0	203	11,12	380,20
191	1201	8	3,4	0	203	12	350,-105
192	1201	9	3,5	0	203	12	375,-220
193	1201	10	4,1	0	204	13	535,150
194	1201	11	4,2	0	204	13,14	560,-30
195	1201	12	4,3	0	204	14,15,16	545,-160
196	1201	13	5,1	210	0	17	690,210
197	1201	14	5,2	0	205	17	740,50
198	1201	15	5,3	0	1603	17,18	725,-110
199	1201	16	5,4	0	205	18	780,-215
200	1201	17	6,1	0	206	19,20,21	910,90
201	1201	18	6,2	0	206	22,23	880,-60
202	1201	19	7,1	0	207	24,25	1050,210
203	1201	20	7,2	0	207	25,26	1100,75
204	1201	21	7,3	0	207	26,27	1070,-20
205	1201	22	7,4	0	207	27	1040,-130
206	1201	23	7,5	0	207	27	1090,-217
207	1201	24	8,1	0	208	28	1280,160
208	1201	25	8,2	0	208	28,29	1260,30
209	1201	26	8,3	0	208	29,30	1270,-80
210	1201	27	8,4	0	208	30	1290,-170
211	1201	28	9,1	0	209	31	1455,100
212	1201	29	9,2	0	209	31	1480,0
213	1201	30	9,3	0	209	31	1445,-100
214	1201	31	10,1	0	1606	32	1620,0
215	1201	32	11,1	1000	0		1800,0
216	1202	1	1,1	910	0	2,3,4	0,0
217	1202	2	2,1	0	202	5,6,7	150,120
218	1202	3	2,2	0	202	7,8	190,10
219	1202	4	2,3	0	202	9	160,-130
220	1202	5	3,1	0	203	10	370,220
221	1202	6	3,2	0	203	10	330,115
