徽记ID	未鉴定徽记ID	吞食经验
string	string	int
Id	ItemId	exp
item171000103101	item171000113101	5
item171000103102	item171000113102	5
item171000103103	item171000113103	5
item171000103104	item171000113104	5
item171000103105	item171000113105	5
item171000103201	item171000113201	10
item171000103202	item171000113202	10
item171000103203	item171000113203	10
item171000103204	item171000113204	10
item171000103205	item171000113205	10
item171000103206	item171000113206	10
item171000103207	item171000113207	10
item171000103208	item171000113208	10
item171000103209	item171000113209	10
item171000103301	item171000113301	30
item171000103302	item171000113302	30
item171000103303	item171000113303	30
item171000103304	item171000113304	30
item171000103305	item171000113305	30
item171000103306	item171000113306	30
item171000103307	item171000113307	30
item171000103308	item171000113308	30
item171000103309	item171000113309	30
item171000103401	item171000113401	80
item171000103402	item171000113402	80
item171000103403	item171000113403	80
item171000103404	item171000113404	80
item171000103405	item171000113405	80
item171000103406	item171000113406	80
item171000103407	item171000113407	80
item171000103408	item171000113408	80
item171000103409	item171000113409	80
item171000103410	item171000113410	80
item171000103411	item171000113411	80
item171000103412	item171000113412	80
item171000103413	item171000113413	80
item171000103414	item171000113414	80
item171000103415	item171000113415	80
item171000103416	item171000113416	80
item171000103417	item171000113417	80
item171000103501	item171000113501	200
item171000103502	item171000113502	200
item171000103503	item171000113503	200
item171000103504	item171000113504	200
item171000103505	item171000113505	200
item171000103506	item171000113506	200
item171000103507	item171000113507	200
item171000103508	item171000113508	200
item171000103509	item171000113509	200
item171000103510	item171000113510	200
item171000103511	item171000113511	200
item171000103512	item171000113512	200
item171000103513	item171000113513	200
item171000103514	item171000113514	200
item171000103515	item171000113515	200
item171000103516	item171000113516	200
item171000103517	item171000113517	200
item171000103518	item171000113518	200
item171000103519	item171000113519	200
item171000103520	item171000113520	200
item171000103521	item171000113521	200
item171000103522	item171000113522	200
item171000103523	item171000113523	200
item171000103524	item171000113524	200
item171000103525	item171000113525	200
item171000103526	item171000113526	200
item171000103527	item171000113527	200
item171000103528	item171000113528	200
item171000103529	item171000113529	200
item171000103530	item171000113530	200
item171000103531	item171000113531	200
item171000103532	item171000113532	200
item171000103533	item171000113533	200
item171000103534	item171000113534	200
item171000103535	item171000113535	200
item171000103536	item171000113536	200
item171000103537	item171000113537	200
item171000103538	item171000113538	200
item171000103539	item171000113539	200
