序列号	Npc编号	交互类型	优先级	参数	触发半径	自动弹出	交互框	交互框1图标	交互框2图标	交互框3图标	交互命名	交互框1定制化特效	交互框2定制化特效	交互框3定制化特效	交互框缩放比例	是否隐藏主界面其他显示
int	string	string	int	string	float	int	int	string	string	string	string	int	int	int	float	int
Id	NpcId	InteractiveType	Priority	InteractiveParam	TriggerRadius	AutoPop	InteractiveBox	InteractiveIcon1	InteractiveIcon2	InteractiveIcon3	InteractiveName	InteractiveIconEffect1	InteractiveIconEffect2	InteractiveIconEffect3	InteractiveScale	NeedHideOther
201	npc_10001	talk	1		3.000000	1	1	icon_caiji			InteractiveTalk	0	0	0	0.000000	0
202	npc_collect_001	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
203	npc_10012	item	1	item106030101007,1	3.000000	1	2	item_106030101007	item_106030101007	item_106030101007	InteractiveUseItem	0	0	0	0.000000	0
204	npc_10029	item	1	item106030101018,1	3.000000	1	2	item_106030101018	item_106030101018	item_106030101018	InteractiveUseItem	0	0	0	0.000000	0
205	ride_pub_300011_01	ride	2		3.000000	1	1	icon_shangma			InteractiveRide	0	0	0	0.000000	0
206	ride_pub_300012_01	ride	2		3.000000	1	1	icon_shangma			InteractiveRide	0	0	0	0.000000	0
402	ride_pub_300121_01	ride	2		3.000000	1	1	icon_shangma			InteractiveRide	0	0	0	0.000000	0
207	npc_300021_001	collection	2		3.000000	1	1	icon_caiji			InteractivePush	0	0	0	0.000000	0
208	npc_300021_002	collection	2		3.000000	1	1	icon_caiji			InteractivePush	0	0	0	0.000000	0
209	npc_300021_003	collection	2		3.000000	1	1	icon_caiji			InteractivePush	0	0	0	0.000000	0
210	npc_300021_004	collection	2		3.000000	1	1	icon_caiji			InteractivePush	0	0	0	0.000000	0
100	lalilo_001	destination	2		0.000000	0	1	icon_caiji			InteractiveUseItem	0	0	0	0.000000	0
211	npc_collect_002	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
213	npc_collect_004	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
214	npc_collect_003	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
215	npc_collect_005	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
216	npc_collect_006	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
217	npc_collect_007	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
218	npc_collect_008	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
219	npc_10012	item	1	item106030101025,1	3.000000	1	2	item_106030101025	item_106030101025	item_106030101025	InteractiveUseItem	0	0	0	0.000000	0
220	cannon_npc_001	cannon	1		5.000000	1	1	icon_dapao			InteractiveFire	0	0	0	0.000000	0
221	cannon_npc_002	cannon	2		5.000000	1	1	icon_dapao			InteractiveFire	0	0	0	0.000000	0
222	cannon_npc_003	cannon	2		5.000000	1	1	icon_dapao			InteractiveFire	0	0	0	0.000000	0
223	cannon_npc_004	cannon	2		5.000000	1	1	icon_dapao			InteractiveFire	0	0	0	0.000000	0
224	cannon_npc_005	cannon	2		5.000000	1	1	icon_dapao			InteractiveFire	0	0	0	0.000000	0
225	cannon_npc_006	cannon	2		5.000000	1	1	icon_dapao			InteractiveFire	0	0	0	0.000000	0
226	cannon_npc_007	cannon	2		5.000000	1	1	icon_dapao			InteractiveFire	0	0	0	0.000000	0
227	npc_collect_009	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
228	npc_collect_010	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
229	npc_collect_011	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
230	npc_collect_012	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
231	npc_collect_013	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
232	npc_collect_014	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
233	npc_collect_015	collection	1		3.000000	1	1	icon_caiji			InteractiveGather	0	0	0	0.000000	0
234	npc_300022_001	collection	2		3.000000	1	1	icon_caiji			InteractivePush	0	0	0	0.000000	0
235	npc_300022_002	collection	2		3.000000	1	1	icon_caiji			InteractivePush	0	0	0	0.000000	0
