流水	活动ID	格子编号	格子等级	格子类型	格子名称	基础格子的代金币收益	专属格子的代金币产出下限	专属格子的代金币产出上限	幸运物类型	有效挂机时长	镶嵌幸运物是加成类型	镶嵌幸运物的类型	加成参数
int	int	int	int	int	string	int	int	int	int	int	int	string	int
Id	Activity	Box	BoxLevel	BoxParam	BoxName	BaseMoney	BaseQualityMin	BaseQualityMax	LuckyType	BuffTime	InlayCondType	InlayCondParam	BuffHeroValue
1	7612	1101	1	1	BoxName_1101	1	0	0	1	14400	1	hero101;hero102;hero103	300
2	7612	1101	2	1	BoxName_1101	4	0	0	1	28800	1	hero101;hero102;hero103	300
3	7612	1101	3	1	BoxName_1101	7	0	0	1	28800	1	hero101;hero102;hero103	300
4	7612	1101	4	1	BoxName_1101	10	0	0	1	28800	1	hero101;hero102;hero103	300
5	7612	1101	5	1	BoxName_1101	13	0	0	1	28800	1	hero101;hero102;hero103	300
6	7612	1101	6	1	BoxName_1101	16	0	0	1	28800	1	hero101;hero102;hero103	300
7	7612	2101	1	1	BoxName_2101	2	0	0	2	14400	0		0
8	7612	2101	2	1	BoxName_2101	5	0	0	2	28800	0		0
9	7612	2101	3	1	BoxName_2101	8	0	0	2	28800	0		0
10	7612	2101	4	1	BoxName_2101	11	0	0	2	28800	0		0
11	7612	2101	5	1	BoxName_2101	14	0	0	2	28800	0		0
12	7612	2101	6	1	BoxName_2101	17	0	0	2	28800	0		0
13	7612	2201	1	2	BoxName_2201	0	200	400	1	14400	1	hero104;hero105;hero106	100
14	7612	2201	2	2	BoxName_2201	0	300	500	1	28800	1	hero104;hero105;hero106	100
15	7612	2201	3	2	BoxName_2201	0	400	600	1	28800	1	hero104;hero105;hero106	100
16	7612	2201	4	2	BoxName_2201	0	500	700	1	28800	1	hero104;hero105;hero106	100
17	7612	2201	5	2	BoxName_2201	0	600	800	1	28800	1	hero104;hero105;hero106	100
18	7612	2201	6	2	BoxName_2201	0	700	900	1	28800	1	hero104;hero105;hero106	100
19	7612	3101	1	1	BoxName_3101	3	0	0	3	14400	0		0
20	7612	3101	2	1	BoxName_3101	6	0	0	3	28800	0		0
21	7612	3101	3	1	BoxName_3101	9	0	0	3	28800	0		0
22	7612	3101	4	1	BoxName_3101	12	0	0	3	28800	0		0
23	7612	3101	5	1	BoxName_3101	15	0	0	3	28800	0		0
24	7612	3101	6	1	BoxName_3101	18	0	0	3	28800	0		0
25	7612	4101	1	1	BoxName_4101	4	0	0	1	14400	2	3	100
26	7612	4101	2	1	BoxName_4101	7	0	0	1	28800	2	3	100
27	7612	4101	3	1	BoxName_4101	10	0	0	1	28800	2	3	100
28	7612	4101	4	1	BoxName_4101	13	0	0	1	28800	2	3	100
29	7612	4101	5	1	BoxName_4101	16	0	0	1	28800	2	3	100
30	7612	4101	6	1	BoxName_4101	19	0	0	1	28800	2	3	100
31	7612	5101	1	1	BoxName_5101	5	0	0	2	14400	0		0
32	7612	5101	2	1	BoxName_5101	8	0	0	2	28800	0		0
33	7612	5101	3	1	BoxName_5101	11	0	0	2	28800	0		0
34	7612	5101	4	1	BoxName_5101	14	0	0	2	28800	0		0
35	7612	5101	5	1	BoxName_5101	17	0	0	2	28800	0		0
36	7612	5101	6	1	BoxName_5101	20	0	0	2	28800	0		0
37	7612	5201	1	2	BoxName_5201	0	200	400	3	14400	0		0
38	7612	5201	2	2	BoxName_5201	0	300	500	3	28800	0		0
39	7612	5201	3	2	BoxName_5201	0	400	600	3	28800	0		0
40	7612	5201	4	2	BoxName_5201	0	500	700	3	28800	0		0
41	7612	5201	5	2	BoxName_5201	0	600	800	3	28800	0		0
42	7612	5201	6	2	BoxName_5201	0	700	900	3	28800	0		0
43	7612	6101	1	1	BoxName_6101	6	0	0	1	14400	0		0
44	7612	6101	2	1	BoxName_6101	9	0	0	1	28800	0		0
45	7612	6101	3	1	BoxName_6101	12	0	0	1	28800	0		0
46	7612	6101	4	1	BoxName_6101	15	0	0	1	28800	0		0
47	7612	6101	5	1	BoxName_6101	18	0	0	1	28800	0		0
48	7612	6101	6	1	BoxName_6101	21	0	0	1	28800	0		0
49	7612	6201	1	2	BoxName_6201	0	200	400	2	14400	0		0
50	7612	6201	2	2	BoxName_6201	0	300	500	2	28800	0		0
51	7612	6201	3	2	BoxName_6201	0	400	600	2	28800	0		0
52	7612	6201	4	2	BoxName_6201	0	500	700	2	28800	0		0
53	7612	6201	5	2	BoxName_6201	0	600	800	2	28800	0		0
54	7612	6201	6	2	BoxName_6201	0	700	900	2	28800	0		0
55	7612	7101	1	1	BoxName_7101	7	0	0	1	14400	0		0
56	7612	7101	2	1	BoxName_7101	10	0	0	1	28800	0		0
57	7612	7101	3	1	BoxName_7101	13	0	0	1	28800	0		0
58	7612	7101	4	1	BoxName_7101	16	0	0	1	28800	0		0
59	7612	7101	5	1	BoxName_7101	19	0	0	1	28800	0		0
60	7612	7101	6	1	BoxName_7101	22	0	0	1	28800	0		0
