流水	个人排行奖励
int	string
Id	Reward
1	item250000000000,10;item1001,1000
2	item250000000000,8;item1001,800
3	item250000000000,6;item1001,500
4	item250000000000,5;item1001,400
5	item250000000000,5;item1001,400
6	item250000000000,5;item1001,400
7	item250000000000,5;item1001,400
8	item250000000000,5;item1001,400
9	item250000000000,5;item1001,400
10	item250000000000,5;item1001,400
11	item250000000000,4;item1001,300
12	item250000000000,4;item1001,300
13	item250000000000,4;item1001,300
14	item250000000000,4;item1001,300
15	item250000000000,4;item1001,300
16	item250000000000,4;item1001,300
17	item250000000000,4;item1001,300
18	item250000000000,4;item1001,300
19	item250000000000,4;item1001,300
20	item250000000000,4;item1001,300
21	item250000000000,3;item1001,100
22	item250000000000,3;item1001,100
23	item250000000000,3;item1001,100
24	item250000000000,3;item1001,100
25	item250000000000,3;item1001,100
26	item250000000000,3;item1001,100
27	item250000000000,3;item1001,100
28	item250000000000,3;item1001,100
29	item250000000000,3;item1001,100
30	item250000000000,3;item1001,100
31	item250000000000,3;item1001,100
32	item250000000000,3;item1001,100
33	item250000000000,3;item1001,100
34	item250000000000,3;item1001,100
35	item250000000000,3;item1001,100
36	item250000000000,3;item1001,100
37	item250000000000,3;item1001,100
38	item250000000000,3;item1001,100
39	item250000000000,3;item1001,100
40	item250000000000,3;item1001,100
41	item250000000000,3;item1001,100
42	item250000000000,3;item1001,100
43	item250000000000,3;item1001,100
44	item250000000000,3;item1001,100
45	item250000000000,3;item1001,100
46	item250000000000,3;item1001,100
47	item250000000000,3;item1001,100
48	item250000000000,3;item1001,100
49	item250000000000,3;item1001,100
50	item250000000000,3;item1001,100
51	item250000000000,2;item100000000005,8
52	item250000000000,2;item100000000005,8
53	item250000000000,2;item100000000005,8
54	item250000000000,2;item100000000005,8
55	item250000000000,2;item100000000005,8
56	item250000000000,2;item100000000005,8
57	item250000000000,2;item100000000005,8
58	item250000000000,2;item100000000005,8
59	item250000000000,2;item100000000005,8
60	item250000000000,2;item100000000005,8
61	item250000000000,2;item100000000005,8
62	item250000000000,2;item100000000005,8
63	item250000000000,2;item100000000005,8
64	item250000000000,2;item100000000005,8
65	item250000000000,2;item100000000005,8
66	item250000000000,2;item100000000005,8
67	item250000000000,2;item100000000005,8
68	item250000000000,2;item100000000005,8
69	item250000000000,2;item100000000005,8
70	item250000000000,2;item100000000005,8
71	item250000000000,2;item100000000005,8
72	item250000000000,2;item100000000005,8
73	item250000000000,2;item100000000005,8
74	item250000000000,2;item100000000005,8
75	item250000000000,2;item100000000005,8
76	item250000000000,2;item100000000005,8
77	item250000000000,2;item100000000005,8
78	item250000000000,2;item100000000005,8
79	item250000000000,2;item100000000005,8
80	item250000000000,2;item100000000005,8
81	item250000000000,2;item100000000005,8
82	item250000000000,2;item100000000005,8
83	item250000000000,2;item100000000005,8
84	item250000000000,2;item100000000005,8
85	item250000000000,2;item100000000005,8
86	item250000000000,2;item100000000005,8
87	item250000000000,2;item100000000005,8
88	item250000000000,2;item100000000005,8
89	item250000000000,2;item100000000005,8
90	item250000000000,2;item100000000005,8
91	item250000000000,2;item100000000005,8
92	item250000000000,2;item100000000005,8
93	item250000000000,2;item100000000005,8
94	item250000000000,2;item100000000005,8
95	item250000000000,2;item100000000005,8
96	item250000000000,2;item100000000005,8
97	item250000000000,2;item100000000005,8
98	item250000000000,2;item100000000005,8
99	item250000000000,2;item100000000005,8
100	item250000000000,2;item100000000005,8
101	item250000000000,1;item100000000005,5
102	item250000000000,1;item100000000005,5
103	item250000000000,1;item100000000005,5
104	item250000000000,1;item100000000005,5
105	item250000000000,1;item100000000005,5
106	item250000000000,1;item100000000005,5
107	item250000000000,1;item100000000005,5
108	item250000000000,1;item100000000005,5
109	item250000000000,1;item100000000005,5
110	item250000000000,1;item100000000005,5
111	item250000000000,1;item100000000005,5
112	item250000000000,1;item100000000005,5
113	item250000000000,1;item100000000005,5
114	item250000000000,1;item100000000005,5
115	item250000000000,1;item100000000005,5
116	item250000000000,1;item100000000005,5
117	item250000000000,1;item100000000005,5
118	item250000000000,1;item100000000005,5
119	item250000000000,1;item100000000005,5
120	item250000000000,1;item100000000005,5
121	item250000000000,1;item100000000005,5
122	item250000000000,1;item100000000005,5
123	item250000000000,1;item100000000005,5
124	item250000000000,1;item100000000005,5
125	item250000000000,1;item100000000005,5
126	item250000000000,1;item100000000005,5
127	item250000000000,1;item100000000005,5
128	item250000000000,1;item100000000005,5
129	item250000000000,1;item100000000005,5
130	item250000000000,1;item100000000005,5
131	item250000000000,1;item100000000005,5
132	item250000000000,1;item100000000005,5
133	item250000000000,1;item100000000005,5
134	item250000000000,1;item100000000005,5
135	item250000000000,1;item100000000005,5
136	item250000000000,1;item100000000005,5
137	item250000000000,1;item100000000005,5
138	item250000000000,1;item100000000005,5
139	item250000000000,1;item100000000005,5
140	item250000000000,1;item100000000005,5
141	item250000000000,1;item100000000005,5
142	item250000000000,1;item100000000005,5
143	item250000000000,1;item100000000005,5
144	item250000000000,1;item100000000005,5
145	item250000000000,1;item100000000005,5
146	item250000000000,1;item100000000005,5
147	item250000000000,1;item100000000005,5
148	item250000000000,1;item100000000005,5
149	item250000000000,1;item100000000005,5
150	item250000000000,1;item100000000005,5
151	item250000000000,1;item100000000005,5
152	item250000000000,1;item100000000005,5
153	item250000000000,1;item100000000005,5
154	item250000000000,1;item100000000005,5
155	item250000000000,1;item100000000005,5
156	item250000000000,1;item100000000005,5
157	item250000000000,1;item100000000005,5
158	item250000000000,1;item100000000005,5
159	item250000000000,1;item100000000005,5
160	item250000000000,1;item100000000005,5
