强化等级和	属性加成	buff加成	buff加成评分加成	获得特效	特效名字	激活颜色	未激活颜色	额外获得特效	额外特效名字	获得特效消耗2	获得特效消耗货币	地区渠道号（废弃）
int	string	string	string	int	string	string	string	string	string	string	string	string
LevelSum	PropList	BuffList	BuffScore	Effect	EffectName	ActivationColor	NotActivationColor	ExtraEffect	ExtraEffectName	ExtraEffectCost	ExtraEffectCostCurrency	SDKAreaTypes
80	1,500			0								
220	1,500			0								
320	3,50			0								
420	1,1000;3,50;4,200			32000001	UI_Strengthen_EffectName32000001	65,105,225	176,196,222	32000009;32000017;32000021;32000025;32000029;32000037;32000041;32000045;32000049;32000053;32000057;32000061;32000065;32000069;32000073;32000077;32000081;32000085;32000089;32000093;32000097;32000101;32000109;32000117;32000113;32000121;32000125;32000129	UI_Strengthen_EffectName32000005;UI_Strengthen_EffectName32000017;UI_Strengthen_EffectName32000021;UI_Strengthen_EffectName32000025;UI_Strengthen_EffectName32000029;UI_Strengthen_EffectName32000037;UI_Strengthen_EffectName32000041;UI_Strengthen_EffectName32000045;UI_Strengthen_EffectName32000049;UI_Strengthen_EffectName32000053;UI_Strengthen_EffectName32000057;UI_Strengthen_EffectName32000061;UI_Strengthen_EffectName32000065;UI_Strengthen_EffectName32000069;UI_Strengthen_EffectName32000073;UI_Strengthen_EffectName32000077;UI_Strengthen_EffectName32000081;UI_Strengthen_EffectName32000085;UI_Strengthen_EffectName32000089;UI_Strengthen_EffectName32000093;UI_Strengthen_EffectName32000097;UI_Strengthen_EffectName32000101;UI_Strengthen_EffectName32000109;UI_Strengthen_EffectName32000117;UI_Strengthen_EffectName32000113;UI_Strengthen_EffectName32000121;UI_Strengthen_EffectName32000125;UI_Strengthen_EffectName32000129	item102020060007,1;item102020061010,1;item102020061011,1;item102020061012,1;item102020061013,1;item102020061017,1;item102020061018,1;item102020061019,1;item102020061020,1;item102020061021,1;item102020061022,1;item102020061023,1;item102020061024,1;item102020061025,1;item102020061026,1;item102020061027,1;item102020061028,1;item102020061029,1;item102020061030,1;item102020061031,1;item102020061032,1;item102020061033,1;item102020061035,1;item102020061037,1;item102020061036,1;item102020061038,1;item102020061039,1;item102020061040,1	1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000	
520	1,1000;3,100;4,100			0								
600	1,2000;4,200;52,200			32000002	UI_Strengthen_EffectName32000002	65,105,225	176,196,222	32000010;32000018;32000022;32000026;32000030;32000038;32000042;32000046;32000050;32000054;32000058;32000062;32000066;32000070;32000074;32000078;32000082;32000086;32000090;32000094;32000098;32000102;32000110;32000118;32000114;32000122;32000126;32000130	UI_Strengthen_EffectName32000006;UI_Strengthen_EffectName32000018;UI_Strengthen_EffectName32000022;UI_Strengthen_EffectName32000026;UI_Strengthen_EffectName32000030;UI_Strengthen_EffectName32000038;UI_Strengthen_EffectName32000042;UI_Strengthen_EffectName32000046;UI_Strengthen_EffectName32000050;UI_Strengthen_EffectName32000054;UI_Strengthen_EffectName32000058;UI_Strengthen_EffectName32000062;UI_Strengthen_EffectName32000066;UI_Strengthen_EffectName32000070;UI_Strengthen_EffectName32000074;UI_Strengthen_EffectName32000078;UI_Strengthen_EffectName32000082;UI_Strengthen_EffectName32000086;UI_Strengthen_EffectName32000090;UI_Strengthen_EffectName32000094;UI_Strengthen_EffectName32000098;UI_Strengthen_EffectName32000102;UI_Strengthen_EffectName32000110;UI_Strengthen_EffectName32000118;UI_Strengthen_EffectName32000114;UI_Strengthen_EffectName32000122;UI_Strengthen_EffectName32000126;UI_Strengthen_EffectName32000130	item102020060007,1;item102020061010,1;item102020061011,1;item102020061012,1;item102020061013,1;item102020061017,1;item102020061018,1;item102020061019,1;item102020061020,1;item102020061021,1;item102020061022,1;item102020061023,1;item102020061024,1;item102020061025,1;item102020061026,1;item102020061027,1;item102020061028,1;item102020061029,1;item102020061030,1;item102020061031,1;item102020061032,1;item102020061033,1;item102020061035,1;item102020061037,1;item102020061036,1;item102020061038,1;item102020061039,1;item102020061040,1	1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000	
800	1,3000;4,300;52,500	buff6_refine01::buff_HealRes01	500	32000003	UI_Strengthen_EffectName32000003	65,105,225	176,196,222	32000011;32000019;32000023;32000027;32000031;32000039;32000043;32000047;32000051;32000055;32000059;32000063;32000067;32000071;32000075;32000079;32000083;32000087;32000091;32000095;32000099;32000103;32000111;32000119;32000115;32000123;32000127;32000131	UI_Strengthen_EffectName32000007;UI_Strengthen_EffectName32000019;UI_Strengthen_EffectName32000023;UI_Strengthen_EffectName32000027;UI_Strengthen_EffectName32000031;UI_Strengthen_EffectName32000039;UI_Strengthen_EffectName32000043;UI_Strengthen_EffectName32000047;UI_Strengthen_EffectName32000051;UI_Strengthen_EffectName32000055;UI_Strengthen_EffectName32000059;UI_Strengthen_EffectName32000063;UI_Strengthen_EffectName32000067;UI_Strengthen_EffectName32000071;UI_Strengthen_EffectName32000075;UI_Strengthen_EffectName32000079;UI_Strengthen_EffectName32000083;UI_Strengthen_EffectName32000087;UI_Strengthen_EffectName32000091;UI_Strengthen_EffectName32000095;UI_Strengthen_EffectName32000099;UI_Strengthen_EffectName32000103;UI_Strengthen_EffectName32000111;UI_Strengthen_EffectName32000119;UI_Strengthen_EffectName32000115;UI_Strengthen_EffectName32000123;UI_Strengthen_EffectName32000127;UI_Strengthen_EffectName32000131	item102020060007,1;item102020061010,1;item102020061011,1;item102020061012,1;item102020061013,1;item102020061017,1;item102020061018,1;item102020061019,1;item102020061020,1;item102020061021,1;item102020061022,1;item102020061023,1;item102020061024,1;item102020061025,1;item102020061026,1;item102020061027,1;item102020061028,1;item102020061029,1;item102020061030,1;item102020061031,1;item102020061032,1;item102020061033,1;item102020061035,1;item102020061037,1;item102020061036,1;item102020061038,1;item102020061039,1;item102020061040,1	1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000;1,2000000	
900	15,500;185,500;184,500		500	0								
