答题ID	对话组	选项组	选项数量	额外固定选项
int	string	string	int	int
QueId	Eventalk	Options	OptionNum	ExtraOption
1001	FairyCastleChoose1001	1,2,3	3	0
1002	FairyCastleChoose1002	5,6,7	3	0
1003	FairyCastleChoose1003	9,10,11	3	0
1011	FairyCastleChoose1001	13,14,15	3	0
1012	FairyCastleChoose1002	17,18,19	3	0
1013	FairyCastleChoose1003	21,22,23	3	0
1021	FairyCastleChoose1001	25,26,27,28	4	0
1022	FairyCastleChoose1002	29,30,31,32	4	0
1023	FairyCastleChoose1003	33,34,35,36	4	0
1031	FairyCastleChoose1001	37,38,39,40	4	0
1032	FairyCastleChoose1002	41,42,43,44	4	0
1033	FairyCastleChoose1003	45,46,47,48	4	0
1041	FairyCastleChoose1001	49,50,51,52	4	0
1042	FairyCastleChoose1002	53,54,55,56	4	0
1043	FairyCastleChoose1003	57,58,59,60	4	0
2001	FairyCastleChoose2001	61,62,63,64	3	90
2002	FairyCastleChoose2002	61,62,63,64	3	90
2003	FairyCastleChoose2003	61,62,63,64	3	90
3001	FairyCastleChoose3001	65,66,67,68,69,70,71,72,73,74,75,76	3	90
3002	FairyCastleChoose3002	65,66,67,68,69,70,71,72,73,74,75,76	3	90
3003	FairyCastleChoose3003	65,66,67,68,69,70,71,72,73,74,75,76	3	90
4001	FairyCastleChoose4001	65,66,67,68,69,70,71,72,73,74,75,76	3	90
4002	FairyCastleChoose4002	65,66,67,68,69,70,71,72,73,74,75,76	3	90
4003	FairyCastleChoose4003	65,66,67,68,69,70,71,72,73,74,75,76	3	90
5001	FairyCastleChoose5001	77,78,79,80,81,82,83,84,85,86,87,88	3	90
5002	FairyCastleChoose5002	77,78,79,80,81,82,83,84,85,86,87,88	3	90
5003	FairyCastleChoose5003	77,78,79,80,81,82,83,84,85,86,87,88	3	90
