流水	事件ID
int	int
Id	EventId
1	1100
2	1100
3	1200
4	1100
5	1200
6	1100
7	1200
8	1100
9	1100
10	1200
11	1200
12	1100
13	1200
14	1301
15	1200
16	1100
17	1100
18	1200
19	1100
20	1401
21	1100
22	1200
23	1606
24	1301
25	1200
26	1301
27	1100
28	1301
29	1200
30	1401
31	1301
32	1100
33	1301
34	1605
35	1100
36	1200
37	1200
38	1200
39	1200
40	1200
41	1200
42	1100
43	1100
44	1200
45	1606
46	1200
47	1200
48	1100
49	1100
50	1100
51	1100
52	1100
53	1100
54	1401
55	1100
56	1301
57	1100
58	1301
59	1301
60	1301
61	1100
62	1200
63	1200
64	1401
65	1301
66	1100
67	1301
68	1605
69	1100
70	1200
71	1200
72	1100
73	1200
74	1100
75	1200
76	1200
77	1301
78	1200
79	1200
80	1100
81	1200
82	1100
83	1401
84	1100
85	1100
86	1200
87	1100
88	1200
89	1100
90	1200
91	1606
92	1301
93	1200
94	1301
95	1301
96	1301
97	1200
98	1401
99	1301
100	1401
101	1301
102	1500
103	1101
104	1100
105	1300
106	1300
107	1400
108	1200
109	1603
110	1200
111	1301
112	1200
113	1100
114	1100
115	1400
116	1300
117	1200
118	1301
119	1201
120	1604
121	1301
122	1100
123	1200
124	1300
125	1300
126	1200
127	1300
128	1100
129	1300
130	1400
131	1603
132	1301
133	1100
134	1100
135	1400
136	1605
137	1101
138	1100
139	1301
140	1300
141	1101
142	1300
143	1200
144	1300
145	1301
146	1600
147	1300
148	1101
149	1400
150	1300
151	1400
152	1301
153	1201
154	1100
155	1300
156	1400
157	1200
158	1601
159	1300
160	1200
161	1301
162	1100
163	1300
164	1300
165	1603
166	1400
167	1100
168	1101
169	1200
170	1500
171	1202
172	1202
173	1202
174	1202
175	1202
176	1102
177	1302
178	1202
179	1302
180	1402
181	1202
182	1202
183	1202
184	1302
185	1202
186	1602
187	1102
188	1302
189	1202
190	1402
191	1202
192	1102
193	1102
194	1202
195	1102
196	1302
197	1302
198	1302
199	1302
200	1402
201	1102
202	1102
203	1302
204	1605
205	1202
206	1102
207	1102
208	1102
209	1102
210	1102
211	1102
212	1202
213	1102
214	1402
215	1102
216	1102
217	1102
218	1102
219	1102
220	1102
221	1102
222	1302
223	1202
224	1402
225	1202
226	1302
227	1302
228	1202
229	1202
230	1202
231	1102
232	1302
233	1602
234	1402
235	1202
236	1302
237	1202
238	1605
239	1202
240	1202
241	1102
242	1202
243	1302
244	1102
245	1102
246	1202
247	1102
248	1102
249	1102
250	1202
251	1202
252	1102
253	1102
254	1102
255	1102
256	1102
257	1102
258	1402
259	1202
260	1202
261	1202
262	1302
263	1202
264	1202
265	1202
266	1202
267	1102
268	1402
269	1102
270	1202
271	1602
272	1605
273	1102
274	1202
275	1202
276	1202
277	1202
278	1102
279	1102
280	1202
281	1202
282	1302
283	1202
284	1202
285	1102
286	1202
287	1202
288	1302
289	1202
290	1102
291	1302
292	1402
293	1302
294	1102
295	1602
296	1302
297	1302
298	1302
299	1102
300	1102
301	1302
302	1402
303	1302
304	1202
305	1102
306	1501
307	1202
308	1100
309	1202
310	1100
311	1300
312	1202
313	1202
314	1202
315	1202
316	1202
317	1202
318	1202
319	1202
320	1100
321	1202
322	1202
323	1202
324	1100
325	1202
326	1401
327	1100
328	1100
329	1202
330	1202
331	1100
332	1202
333	1300
334	1202
335	1300
336	1401
337	1300
338	1300
339	1300
340	1501
341	1109
342	1109
343	1209
344	1109
345	1109
346	1109
347	1209
348	1209
349	1209
350	1209
351	1209
352	1209
353	1209
354	1109
355	1109
356	1109
357	1109
358	1209
359	1109
360	1404
361	1109
362	1109
363	1209
364	1109
365	1304
366	1109
367	1109
368	1604
369	1109
370	1404
371	1209
372	1304
373	1109
374	1605
375	1209
376	1304
377	1109
378	1109
379	1109
380	1109
381	1109
382	1109
383	1109
384	1109
385	1109
386	1109
387	1209
388	1209
389	1304
390	1109
391	1209
392	1109
393	1209
394	1404
395	1209
396	1109
397	1209
398	1109
399	1304
400	1603
401	1209
402	1304
403	1304
404	1404
405	1304
406	1304
407	1109
408	1605
409	1109
410	1209
411	1304
412	1109
413	1209
414	1209
415	1109
416	1304
417	1109
418	1209
419	1209
420	1209
421	1109
422	1109
423	1602
424	1109
425	1209
426	1109
427	1209
428	1404
429	1209
430	1109
431	1304
432	1209
433	1209
434	1209
435	1304
436	1209
437	1304
438	1404
439	1209
440	1109
441	1304
442	1605
443	1109
444	1109
445	1109
446	1109
447	1209
448	1209
449	1109
450	1209
451	1109
452	1209
453	1304
454	1209
455	1209
456	1209
457	1209
458	1109
459	1209
460	1109
461	1109
462	1404
463	1109
464	1209
465	1109
466	1602
467	1209
468	1109
469	1304
470	1209
471	1109
472	1404
473	1209
474	1109
475	1209
476	1605
477	1109
478	1109
479	1209
480	1209
481	1109
482	1209
483	1109
