流水ID	动作集ID	动作编号	动作名字	是否循环动作	无法融合切换	立刻切换
int	int	int	string	bool	bool	bool
Id	ActionSet	ActionId	ActionName	IsLoop	CantCrossFade	ChangeAtOnce
1	1	1	idle01			
2	1	2	fidle01			
3	1	3	victoryidle01			
4	1	4	loseidle01			
5	1	5	show01			
6	1	6	victory01			
7	1	7	lose01			
8	1	8	frun01			
9	1	9	fwalk01			
10	1	10	injury01			
11	1	11	die01			
12	1	12	birth01			
13	1	13	showidle01			
14	1	14	jump01			
15	1	15	jump0102	1		
16	1	16	jump0103			
17	1	17	jump02	1		
18	1	18	idle_build01			
19	1	19	idle_build02			
20	1	20	blackout01	1		
21	1	21	translate01			
22	1	22	translate02			
23	1	23	jump01			
24	1	24	jump0202	1		
25	1	25	jump0203			
26	1	26	dig01	1		
27	1	27	convey01			
28	1	28	conveymove01			
29	1	29	climb01	1		
30	1	30	weaponpose01	1	1	
31	1	31	casual01			
32	1	32	reloadshow01			
33	1	33	reloadshow02			
34	1	34	jump0302	1		
35	1	35	jump0303			
36	1	36	pray01	1		
37	1	50	transport01			
38	1	81	skill01			
39	1	82	skill02			
40	1	83	skill03			
41	1	84	skill04			
42	1	85	skill0101			
43	1	86	skill0102			
44	1	87	skill05			
45	1	88	skill06			
46	1	89	skill08			
47	1	90	skill07			
48	1	91	skill09			
49	1	92	skill0201			
50	1	93	skill0202			
51	1	94	skill0203			
52	1	95	skill0601			
53	1	96	skill0602			
54	1	97	skill0603			
55	1	98	skill0801			
56	1	99	skill0802			
57	1	900	skill0803			
58	1	901	skill0901			
59	1	902	skill0902			
60	1	903	skill0903			
61	1	904	skill0401			
62	1	905	skill0402			
63	1	906	skill0403			
64	1	907	skill1001			
65	1	908	skill1002			
66	1	909	skill1003			
67	1	910	skill1101			
68	1	911	skill1102			
69	1	912	skill1103			
70	1	913	skill1201			
71	1	914	skill1202			
72	1	915	skill1203			
73	1	916	skill0701			
74	1	917	skill0702			
75	1	918	skill0703			
76	1	919	skill11			
77	1	920	skill12			
78	1	921	skill13			
79	1	922	skill14			
80	1	923	skill10			
81	1	924	skill15			
82	1	925	skill16			
83	1	926	skill17			
84	1	927	skill18			
85	1	928	skill19			
86	1	929	skill20			
87	1	930	skill21			
88	1	800	comskill02			
89	1	801	comskill01			
90	1	802	comskill01			
91	1	803	jump0203		1	
92	1	804	transport01			
93	1	811	skill0101			
94	1	812	skill0102			
95	1	813	skill0103			
96	1	814	skill0101			
97	1	815	skill0102			
98	1	816	skill0103			
99	1	100	atk01			
100	1	101	atk02			
101	1	102	atk03			
102	1	103	atk04			
103	1	200	exp_angry01			
104	1	201	exp_blink01			
105	1	202	exp_blink02			
106	1	203	exp_leftsee01			
107	1	204	exp_mouth01			
108	1	205	exp_mouth02			
109	1	206	exp_rightsee01			
110	1	207	exp_sadness01			
111	1	208	exp_smile01			
112	1	209	exp_smile02			
113	1	210	exp_nothing01			
114	1	211	exp_eat01			
115	1	212	exp_close01			
116	1	301	collect0101		1	
117	1	302	collect0102	1		
118	1	303	opchest01		1	
119	1	304	iathrow01		1	
120	1	305	iathrow01		1	
121	1	306	fishingpose01	1		
122	1	307	fishingswing01		1	
123	1	308	fishingpose02	1		
124	1	309	fishingdraw01			
125	1	310	fishingpose03	1		
126	1	311	showpose01	1		
127	1	312	showpose02	1		
128	1	313	showpose03	1		
129	1	314	showtalk0101			
130	1	315	showtalk0102	1		
131	1	316	showtalk0201			
132	1	317	showtalk0202	1		
133	1	318	showtalk0301			
134	1	319	showtalk0302	1		
135	1	320	showtrans01			
136	1	321	showtrans02			
137	1	600	sjactor_tiaowu01	1	1	
138	1	601	sjactor_huishou01		1	
139	1	602	sjactor_shengqi01		1	
140	1	603	sjactor_shiai01		1	
141	1	604	sjactor_songhua01		1	
142	1	605	sjactor_tiaowu02		1	
143	1	606	sjactor_zs0201		1	
144	1	607	sjactor_zs0202		1	
145	1	608	dig01		1	
146	1	609	sjactor_sit01		1	
147	1	610	iasweep01		1	
148	1	611	iathrow01			
149	1	612	iaplace01			
150	1	613	iathrow0101			
151	1	614	iathrow0102	1		
152	1	615	iathrow0103		1	
153	1	616	futari_lovearms0102	1		
154	1	617	futari_lovearms0202	1		
155	1	618	princehug01	1		
156	1	619	princehug02	1		
157	1	620	iasalute01	1		
158	1	621	iathrow0101			
159	1	622	iathrow0102	1		
160	1	623	iathrow0103		1	
161	1	624	iaaction01		1	
162	1	700	iasweep01	1		
163	2	1	idle01			
164	2	2	idle01			
165	2	3	idle02			
166	2	4	function01			
167	2	5	atk01			
168	2	8	walk01			
169	2	9	walk01			
170	2	10	injury01			
171	2	11	die01			
172	2	12	birth01			
173	2	13	idle01			
174	2	14	jump01			
175	2	15	jump02			
176	2	16	spec01			
177	2	17	fury01			
178	2	18	spec0201			
179	2	19	spec0202			
180	2	20	spec02			
181	2	21	petshow01			
182	2	42	plot04			
183	2	43	plot05			
184	2	44	idle03			
185	2	51	trans01			
186	2	52	trans02			
187	2	72	plot01			
188	2	81	skill01			
189	2	82	skill02			
190	2	83	skill03			
191	2	84	skill04			
192	2	85	skill05			
193	2	86	skill06			
194	2	87	skill07			
195	2	88	skill0301			
196	2	89	skill0302			
197	2	90	skill0303			
198	2	91	skill0101			
199	2	92	skill0102			
200	2	93	skill0103			
201	2	94	skill0201			
202	2	95	skill0202			
203	2	96	skill0203			
204	2	97	skill0401			
205	2	98	skill0402			
206	2	99	skill0403			
