流水ID	坐骑速度	遗物速度	回补速度
int	int	int	float
Id	fairyspeed	relicspeed	speedforce
1	3000	100	0.080650
2	3000	200	0.162600
3	3000	300	0.245850
4	3000	400	0.330400
5	3000	500	0.416250
6	3000	600	0.503400
7	3000	700	0.591850
8	3000	800	0.681600
9	3000	900	0.772650
10	3000	1000	0.865000
11	3000	1100	0.958650
12	3000	1200	1.053600
13	3000	1300	1.149850
14	3000	1400	1.247400
15	3000	1500	1.346250
16	3000	1600	1.446400
17	3000	1700	1.547850
18	3000	1800	1.650600
19	3000	1900	1.754650
20	3000	2000	1.860000
21	3000	2100	1.966650
22	3000	2200	2.074600
23	3000	2300	2.183850
24	3000	2400	2.294400
25	3000	2500	2.406250
26	3000	2600	2.519400
27	3000	2700	2.633850
28	3000	2800	2.749600
29	3000	2900	2.866650
30	3000	3000	2.985000
31	4000	100	0.090700
32	4000	200	0.182800
33	4000	300	0.276300
34	4000	400	0.371200
35	4000	500	0.467500
36	4000	600	0.565200
37	4000	700	0.664300
38	4000	800	0.764800
39	4000	900	0.866700
40	4000	1000	0.970000
41	4000	1100	1.074700
42	4000	1200	1.180800
43	4000	1300	1.288300
44	4000	1400	1.397200
45	4000	1500	1.507500
46	4000	1600	1.619200
47	4000	1700	1.732300
48	4000	1800	1.846800
49	4000	1900	1.962700
50	4000	2000	2.080000
51	4000	2100	2.198700
52	4000	2200	2.318800
53	4000	2300	2.440300
54	4000	2400	2.563200
55	4000	2500	2.687500
56	4000	2600	2.813200
57	4000	2700	2.940300
58	4000	2800	3.068800
59	4000	2900	3.198700
60	4000	3000	3.330000
61	5000	100	0.100750
62	5000	200	0.203000
63	5000	300	0.306750
64	5000	400	0.412000
65	5000	500	0.518750
66	5000	600	0.627000
67	5000	700	0.736750
68	5000	800	0.848000
69	5000	900	0.960750
70	5000	1000	1.075000
71	5000	1100	1.190750
72	5000	1200	1.308000
73	5000	1300	1.426750
74	5000	1400	1.547000
75	5000	1500	1.668750
76	5000	1600	1.792000
77	5000	1700	1.916750
78	5000	1800	2.043000
79	5000	1900	2.170750
80	5000	2000	2.300000
81	5000	2100	2.430750
82	5000	2200	2.563000
83	5000	2300	2.696750
84	5000	2400	2.832000
85	5000	2500	2.968750
86	5000	2600	3.107000
87	5000	2700	3.246750
88	5000	2800	3.388000
89	5000	2900	3.530750
90	5000	3000	3.675000
91	6000	100	0.110800
92	6000	200	0.223200
93	6000	300	0.337200
94	6000	400	0.452800
95	6000	500	0.570000
96	6000	600	0.688800
97	6000	700	0.809200
98	6000	800	0.931200
99	6000	900	1.054800
100	6000	1000	1.180000
101	6000	1100	1.306800
102	6000	1200	1.435200
103	6000	1300	1.565200
104	6000	1400	1.696800
105	6000	1500	1.830000
106	6000	1600	1.964800
107	6000	1700	2.101200
108	6000	1800	2.239200
109	6000	1900	2.378800
110	6000	2000	2.520000
111	6000	2100	2.662800
112	6000	2200	2.807200
113	6000	2300	2.953200
114	6000	2400	3.100800
115	6000	2500	3.250000
116	6000	2600	3.400800
117	6000	2700	3.553200
118	6000	2800	3.707200
119	6000	2900	3.862800
120	6000	3000	4.020000
