流水	参数	奖励
int	int	string
RewardID	Amount	Reward
1	50	item8200000800001,1;item1014,50;item101031000011,1
2	100	item8200000800001,1;item1014,50;item101031000011,1
3	150	item8200000800001,1;item1014,50;item101031000011,1
4	200	item8200000800002,1;item1014,50;item101031000031,1
5	250	item8200000800001,1;item1014,50;item101031000011,1
6	300	item8200000800001,1;item1014,50;item101031000011,1
7	400	item8200000800001,1;item1014,50;item101031000011,1
8	500	item8200000800002,1;item1014,50;item101031000031,1
9	600	item8200000800001,1;item1014,50;item101031000011,1
10	700	item8200000800002,1;item1014,50;item8102020061003,1
11	800	item8200000800003,1;item1014,50;item8102020061003,1
