药剂道具ID	药剂描述
string	string
ItemId	ItemDes
item101010211001	ItemDes_101010211001
item101010311001	ItemDes_101010311001
item101010411001	ItemDes_101010411001
item101010511001	ItemDes_101010511001
item108100101102	ItemDes_108100103302
item108100101103	ItemDes_108100103303
item108100101104	ItemDes_108100103304
item108100101105	ItemDes_108100103305
item108100101106	ItemDes_108100103306
item108100101107	ItemDes_108100103307
item108100101108	ItemDes_108100103308
item108100101109	ItemDes_108100103309
item108100103351	DrugDes_108100103351
item108100103352	DrugDes_108100103352
item108100103353	DrugDes_108100103353
item108100103354	DrugDes_108100103354
