ID	组ID	需求鱼ID	奖励	语言包
int	int	string	string	string
ID	GroupID	NeedFishID	Reward	CollectionDEC
1	1	1,2,3,4	item1035,5760	FishCollectionDEC001
2	1	5,6,7,8	item1035,3440	FishCollectionDEC002
3	1	9,10,11,12	item1035,1720	FishCollectionDEC003
4	1	13,14,15,16	item1035,480	FishCollectionDEC004
5	1	17,18,19,20	item1035,480	FishCollectionDEC005
6	1	21,22,23,24	item1035,440	FishCollectionDEC006
7	1	25,26,27,28	item1035,320	FishCollectionDEC007
8	1	29,30,31,32	item1035,280	FishCollectionDEC008
9	1	33,34,35,36	item1035,200	FishCollectionDEC009
10	1	37,38,39,40	item1035,160	FishCollectionDEC010
11	1	1,5,9	item1035,17320	FishCollectionDEC011
12	1	13,17,21	item1035,3840	FishCollectionDEC012
13	1	25,29,33,37	item1035,880	FishCollectionDEC013
14	2	41,42,43,44	item1035,4240	FishCollectionDEC014
15	2	45,46,47,48	item1035,2840	FishCollectionDEC015
16	2	49,50,51,52	item1035,1880	FishCollectionDEC016
17	2	53,54,55,56	item1035,520	FishCollectionDEC017
18	2	57,58,59,60	item1035,440	FishCollectionDEC018
19	2	61,62,63,64	item1035,480	FishCollectionDEC019
20	2	65,66,67,68	item1035,320	FishCollectionDEC020
21	2	69,70,71,72	item1035,280	FishCollectionDEC021
22	2	73,74,75,76	item1035,160	FishCollectionDEC022
23	2	77,78,79,80	item1035,160	FishCollectionDEC023
24	2	41,45,49	item1035,14200	FishCollectionDEC024
25	2	53,57,61	item1035,3760	FishCollectionDEC025
26	2	65,69,73,77	item1035,920	FishCollectionDEC026
27	3	81,82,83,84	item1035,4520	FishCollectionDEC027
28	3	85,86,87,88	item1035,3000	FishCollectionDEC028
29	3	89,90,91,92	item1035,2240	FishCollectionDEC029
30	3	93,94,95,96	item1035,480	FishCollectionDEC030
31	3	97,98,99,100	item1035,640	FishCollectionDEC031
32	3	101,102,103,104	item1035,360	FishCollectionDEC032
33	3	105,106,107,108	item1035,280	FishCollectionDEC033
34	3	109,110,111,112	item1035,240	FishCollectionDEC034
35	3	113,114,115,116	item1035,200	FishCollectionDEC035
