引用物品ID	获得亲密度	礼物介绍
string	int	string
ItemId	Group	Describe
item172000001012	10	
item172000001022	10	
item172000001032	10	
item172000001042	10	
item172000001052	10	
item172000001062	10	
item172000001072	10	
item172000005012	10	
item172000005022	10	
item172000005032	10	
item172000005042	10	
item172000005052	10	
item172000005062	10	
item172000005072	10	
item172000005082	10	
item172000005092	10	
item172000005102	10	
item172000010012	10	
item172000010022	10	
item172000010032	10	
item172000010042	10	
item172000010052	10	
item172000010062	10	
item172000010072	10	
item172000010082	10	
item172000010092	10	
item172000010102	10	
item172000010112	10	
item172000010122	10	
item172000010132	10	
item172000010142	10	
item172000010152	10	
item172000010162	10	
item172000010172	10	
item172000015012	10	
item172000015022	10	
item172000015032	10	
item172000015042	10	
item172000015052	10	
item172000015062	10	
item172000015072	10	
item172000015082	10	
item172000015092	10	
item172000015102	10	
item172000015112	10	
item172000015122	10	
item172000015132	10	
item172000015142	10	
item172000015152	10	
item172000015162	10	
item172000020012	10	
item172000020022	10	
item172000020032	10	
item172000020042	10	
item172000020052	10	
item172000020062	10	
item172000020072	10	
item172000020082	10	
item172000020092	10	
item172000020102	10	
item172000020112	10	
item172000020122	10	
item172000020132	10	
item172000020142	10	
item172000020152	10	
item172000020162	10	
item172000020172	10	
item172000020182	10	
item172000020192	10	
item127000063020	10	
item127000063021	20	
item127000063022	20	
