装备ID	类ID	默认装备名	使用职业限制	所属等级段	穿戴等级限制	装备部位	装备品质	物品等级	物品等级描述	装备潜力值	叠加数量	可拥有数量上限	整理权重	绑定道具ID	组ID	道具描述	默认道具Icon	装备预览图	交易锁定时间	分解产物	货币种类	货币公式类型	出售公式ID	背包标签	掉落表现	脚本	流程ID	属性值ID	拾取表现	男角穿戴装备后附加的特效id	女角穿戴装备后附加的特效id	套装ID	男性模型	女性模型	武器高模特效	武器低模特效	获取通知	获取途径	是否衣橱时装转换	转换的道具ID	男性装备道具Icon	女性性装备道具Icon	男性装备道具名字	女性性装备道具名字	稀有道具是否展示	未鉴定装备	判断稀有道具
string	string	string	string	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string	int	string	int	int	int	int	int	string	string	string	int	string	string	int	string	string	int	int	string	string	int	string	string	string	string	string	bool	string	bool
Id	ClassId	ItemName	UseJobRequest	LevelSection	UseLvRequest	EquipPart	Rare	ItemLevel	EquipLevelDes	PotentialValue	StackNum	NumMax	Sort	BindItemId	GroupId	ItemDes	ItemIcon	EquipPicture	TradeLockTime	ResolveItem	SellType	SellFormulaType	SellFormulaValue	Label	LootId	Script	FlowID	PropValueId	PickUpShowType	EquipEffectMale	EquipEffectFemale	SuitID	MaleAvatar	FemaleAvatar	HighEffect	LowEffect	ReceiveNotice	GainWay	Transform	TransformItem	ItemIconMale	ItemIconFemale	ItemNameMale	ItemNameFemale	IsRareShow	UnidentifyEquip	RareClassification
equip0		EquipName_301001011001		1	1	1	5	9999999	3	0	1	9999	7000	0	0		equip_301001100001	equip_301001100001	604800		1	2	100	1	118	EquipItem		301000000000	0			0			0	0	Notice_Receive_Item		0		equip_301001100001	equip_301001100001	EquipName_301001011001	EquipName_301001011001			0
equip1		EquipName_306001011001		1	1	6	5	9999999	3	0	1	9999	7000	0	0		equip_306001100001	equip_306001100001	604800		1	2	100	1	118	EquipItem		301000000001	0			0			0	0	Notice_Receive_Item		0		equip_306001100001	equip_306001100001	EquipName_306001011001	EquipName_306001011001			0
equip2		EquipName_304001011001		1	1	4	5	9999999	3	0	1	9999	7000	0	0		equip_304001100001	equip_304001100001	604800		1	2	100	1	118	EquipItem		301000000002	0			0			0	0	Notice_Receive_Item		0		equip_304001100001	equip_304001100001	EquipName_304001011001	EquipName_304001011001			0
equip3		EquipName_301001012001		1	1	1	5	9999999	3	0	1	9999	7000	0	0		equip_301001100001	equip_301001100001	604800		1	2	100	1	118	EquipItem		301000000003	0			0			0	0	Notice_Receive_Item		0		equip_301001100001	equip_301001100001	EquipName_301001012001	EquipName_301001012001			0
equip4		EquipName_301001013001		1	1	1	5	9999999	3	0	1	9999	7000	0	0		equip_301001100001	equip_301001100001	604800		1	2	100	1	118	EquipItem		301000000004	0			0			0	0	Notice_Receive_Item		0		equip_301001100001	equip_301001100001	EquipName_301001013001	EquipName_301001013001			0
equip5		EquipName_301001013011		1	1	1	5	9999999	3	0	1	9999	7000	0	0	EquipDes_5	equip_301001100001	equip_301001100001	604800		1	2	100	1	118	EquipItem		301000000005	0			0			0	0	Notice_Receive_Item		0		equip_301001100001	equip_301001100001	EquipName_301001013001	EquipName_301001013001			0
equip6		EquipName_6		1	1	10	5	9999999	3	0	1	9999	7000	0	0		equip_310040421999	equip_304001100001	604800		1	2	100	1	118	EquipItem		301000000006	0			0			0	0	Notice_Receive_Item		0		equip_304001100001	equip_304001100001	EquipName_304001011001	EquipName_304001011001			0
equip301001011000	3010010000	EquipName_301001011000		1	1	1	1	18	0	0	1	9999	7000	0	0				604800	item1000,100	1	2	100	1	0	EquipItem			0			0			0	0	Notice_Receive_Item	2003	0				EquipName_301001011000	EquipName_301001011000			0
equip301001011001	3010010001	EquipName_301001011001	1	1	1	1	1	18	1	0	1	9999	7000	0	0		equip_301001100001	equip_301001100001	604800	item1000,100	1	2	100	1	118	EquipItem		301001011001	0			0			0	0	Notice_Receive_Item	2003	0		equip_301001100001	equip_301001100001	EquipName_301001011001	EquipName_301001011001			0
