角色	属性值ID	战力类型	战力计算	职业定位	天赋专精	初始技能	初始发型	初始装备	初始道具
string	string	int	int	string	string	string	int	string	string
HeroId	PropValueId	CPType	CPValue	JobDesigning	JobTalent	InitSkill	InitHair	InitEquip	InitItem
hero101	1	1	7	0;0	1011;1012	skill1200;skill1210;skill1213;skill1201;skill1205;skill1209;skill1206;skill1203;skill1204;skill1214;skill1215	1	equip301001011001;equip302001011001;equip303001011001;equip304001011001;equip305001011001;equip306001011001	
hero102	2	1	7	1;1	1022;1021	skill1100;skill1115;skill1117;skill1104;skill1110;skill1116;skill1109;skill1108;skill1107;skill1111;skill1101	1	equip301001011002;equip302001011002;equip303001011002;equip304001011002;equip305001011002;equip306001011002	
hero103	3	1	7	1;1	1032;1031	skill1000;skill1011;skill1013;skill1006;skill1002;skill1003;skill1005;skill1016;skill1004;skill1008;skill1001	1	equip301001011003;equip302001011003;equip303001011003;equip304001011003;equip305001011003;equip306001011003	
hero107	3	1	7	1;1	1032;1031	skill1000;skill1011;skill1013;skill1006;skill1002;skill1003;skill1005;skill1016;skill1004;skill1008;skill1001	1	equip301001011003;equip302001011003;equip303001011003;equip304001011003;equip305001011003;equip306001011003	
hero104	4	1	7	2;2	1042;1041	skill1300;skill1312;skill1314;skill1301;skill1304;skill1302;skill1303;skill1305;skill1307;skill1308;skill1313	1	equip301001011003;equip302001011003;equip303001011003;equip304001011003;equip305001011003;equip306001011003	
hero108	4	1	7	2;2	1042;1041	skill1300;skill1312;skill1314;skill1301;skill1304;skill1302;skill1303;skill1305;skill1307;skill1308;skill1313	1	equip301001011003;equip302001011003;equip303001011003;equip304001011003;equip305001011003;equip306001011003	
hero105	4	1	7	1;1	1051;1052	skill1400;skill1409;skill1413;skill1401;skill1402;skill1403;skill1405;skill1406;skill1407;skill1404;skill1408	1	equip301001011003;equip302001011003;equip303001011003;equip304001011003;equip305001011003;equip306001011003	
hero106	6	1	7	0;0	1062;1061	skill1500;skill1516;skill1501;skill1502;skill1503;skill1504;skill1505;skill1506;skill1508;skill1509;skill1510	1	equip301001011003;equip302001011003;equip303001011003;equip304001011003;equip305001011003;equip306001011003	
