流水ID	捕捉类型	捕捉道具	怪物编号	宠物蛋编号	捕捉结果掉落库	捕捉怪物品质	魔灵编号	阶段所需球数	加速BUFF	使用道具对话	结果1对话	结果2对话	结果3对话	结果4对话	魔灵链道具结果标题	魔灵链道具结果台词	魔灵链宝箱模型	宝藏UI界面模型倍数	宝藏UI界面模型位置	宝藏UI界面模型角度
int	int	string	string	string	int	int	string	string	string	string	string	string	string	string	string	string	string	float	string	float
Id	CatchType	CatchItemID	MonsterId	EggItemID	EggDropID	Rare	PetID	StageExp	BuffID	Lines1	Lines2	Lines3	Lines4	Lines5	ChainsItemTitle	ChainsItemLines	ChainsChestAvatar	AvatarZoom	AvatarLocation	AvatarAngle
1	1	item101020504006	monster10002003	item101020503006	83213	0	baby_101			CatchFairyLines_100020031	CatchFairyLines_100020032	CatchFairyLines_100020033	CatchFairyLines_100020034					0.000000		0.000000
2	1	item101020504007	monster10004004	item101020503007	83214	0	baby_111			CatchFairyLines_100040041	CatchFairyLines_100040042	CatchFairyLines_100040043	CatchFairyLines_100040044					0.000000		0.000000
3	1	item101020504008	monster10002002	item101020503008	83215	0	baby_121			CatchFairyLines_100020021	CatchFairyLines_100020022	CatchFairyLines_100020023	CatchFairyLines_100020024					0.000000		0.000000
4	1	item101020504009	monster10002006	item101020503009	83216	0	baby_131			CatchFairyLines_100020061	CatchFairyLines_100020062	CatchFairyLines_100020063	CatchFairyLines_100020064					0.000000		0.000000
5	1	item101020504006	monster10003003	item101020503006	83213	0	baby_101			CatchFairyLines_100020031	CatchFairyLines_100020032	CatchFairyLines_100020033	CatchFairyLines_100020034					0.000000		0.000000
6	1	item101020504006	monster10004001	item101020503006	83213	0	baby_101			CatchFairyLines_100020031	CatchFairyLines_100020032	CatchFairyLines_100020033	CatchFairyLines_100020034					0.000000		0.000000
7	2	item101020504800	monster10301001	item101020503001	83217	1	pet_101											0.000000		0.000000
8	2	item101020504800	monster10301002	item101020503021	83218	1	pet_154											0.000000		0.000000
9	2	item101020504800	monster10303001	item101020503002	83221	1	pet_111											0.000000		0.000000
10	2	item101020504800	monster10303002	item101020503022	83222	1	pet_156											0.000000		0.000000
11	2	item101020504800	monster10303003	item101020503003	83223	1	pet_121											0.000000		0.000000
12	2	item101020504800	monster10303004	item101020503023	83224	1	pet_158											0.000000		0.000000
13	2	item101020504800	monster10304001	item101020503024	83227	2	pet_160											0.000000		0.000000
14	2	item101020504800	monster10304002	item101020503027	83228	2	pet_166											0.000000		0.000000
15	2	item101020504800	monster10304003	item101020503029	83229	2	pet_170											0.000000		0.000000
16	2	item101020504800	monster10305001	item101020503025	83232	2	pet_162											0.000000		0.000000
17	2	item101020504800	monster10305002	item101020503026	83233	2	pet_164											0.000000		0.000000
18	2	item101020504800	monster10305003	item101020503028	83234	2	pet_168											0.000000		0.000000
19	2	item101020504800	monster10306001	item101020503030	83236	2	pet_172											0.000000		0.000000
20	2	item101020504800	monster10306002	item101020503031	83237	2	pet_174											0.000000		0.000000
21	4	item101020504800	monster10000127	item101020503011	83238	0	ride_105	5,10,15,20,25										0.000000		0.000000
22	2	item101020504810	monster10102009	item101020503022	83262	0	pet_156											0.000000		0.000000
23	5	item101020504900	monster10301003	item101020503034	83219	3	pet_180		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_180	Pet_ChainsItemLines_180	chest007|body|chest007_body_t1	1.200000	0;-0.4;0	0.000000
24	5	item101020504900	monster10301004	item101020503037	83220	3	pet_186		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_186	Pet_ChainsItemLines_186	chest007|body|chest007_body_t1	0.900000	-0.09;-0.42;0	0.000000
25	5	item101020504900	monster10303005	item101020503032	83225	3	pet_176		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_176	Pet_ChainsItemLines_176	chest007|body|chest007_body_t1	0.830000	-0.09;-0.36;0	0.000000
26	5	item101020504900	monster10303006	item101020503004	83226	3	pet_131		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_131	Pet_ChainsItemLines_131	chest007|body|chest007_body_t1	1.320000	0.05;-0.4;0	0.000000
27	5	item101020504900	monster10304004	item101020503005	83230	3	pet_141		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_141	Pet_ChainsItemLines_141	chest007|body|chest007_body_t1	0.000000	0;-0.31;0	0.000000
28	5	item101020504900	monster10304005	item101020503036	83231	3	pet_184		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_184	Pet_ChainsItemLines_184	chest007|body|chest007_body_t1	0.000000	0;-0.34;0	0.000000
29	5	item101020504900	monster10305004	item101020503035	83235	3	pet_182		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_182	Pet_ChainsItemLines_182	chest007|body|chest007_body_t1	0.700000	0;-0.36;0	0.000000
30	5	item101020504900	monster10306003	item101020503062	83239	3	pet_201		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_201	Pet_ChainsItemLines_201	chest007|body|chest007_body_t1	1.320000	0;-0.34;0	0.000000
31	5	item101020504900	monster10307001	item101020503079	83240	3	pet_203		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_203	Pet_ChainsItemLines_203	chest007|body|chest007_body_t1	1.200000	0;-0.35;0	150.000000
32	2	item8101020504800	monster10301001	item101020503001	83257	1	pet_101											0.000000		0.000000
33	2	item8101020504800	monster10301002	item101020503021	83258	1	pet_154											0.000000		0.000000
34	2	item8101020504800	monster10303001	item101020503002	83261	1	pet_111											0.000000		0.000000
35	2	item8101020504800	monster10303002	item101020503022	83262	1	pet_156											0.000000		0.000000
36	2	item8101020504800	monster10303003	item101020503003	83263	1	pet_121											0.000000		0.000000
37	2	item8101020504800	monster10303004	item101020503023	83264	1	pet_158											0.000000		0.000000
38	2	item8101020504800	monster10304001	item101020503024	83267	2	pet_160											0.000000		0.000000
39	2	item8101020504800	monster10304002	item101020503027	83268	2	pet_166											0.000000		0.000000
40	2	item8101020504800	monster10304003	item101020503029	83269	2	pet_170											0.000000		0.000000
41	2	item8101020504800	monster10305001	item101020503025	83272	2	pet_162											0.000000		0.000000
42	2	item8101020504800	monster10305002	item101020503026	83273	2	pet_164											0.000000		0.000000
43	2	item8101020504800	monster10305003	item101020503028	83274	2	pet_168											0.000000		0.000000
44	2	item8101020504800	monster10306001	item101020503030	83276	2	pet_172											0.000000		0.000000
45	2	item8101020504800	monster10306002	item101020503031	83277	2	pet_174											0.000000		0.000000
46	5	item8101020504900	monster10301003	item101020503034	83259	3	pet_180		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_180	Pet_ChainsItemLines_180	chest007|body|chest007_body_t1	1.200000	0;-0.4;0	0.000000
47	5	item8101020504900	monster10301004	item101020503037	83260	3	pet_186		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_186	Pet_ChainsItemLines_186	chest007|body|chest007_body_t1	0.900000	-0.09;-0.42;0	0.000000
48	5	item8101020504900	monster10303005	item101020503032	83265	3	pet_176		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_176	Pet_ChainsItemLines_176	chest007|body|chest007_body_t1	0.830000	-0.09;-0.36;0	0.000000
49	5	item8101020504900	monster10303006	item101020503004	83266	3	pet_131		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_131	Pet_ChainsItemLines_131	chest007|body|chest007_body_t1	1.320000	0.05;-0.4;0	0.000000
50	5	item8101020504900	monster10304004	item101020503005	83270	3	pet_141		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_141	Pet_ChainsItemLines_141	chest007|body|chest007_body_t1	0.000000	0;-0.31;0	0.000000
51	5	item8101020504900	monster10304005	item101020503036	83271	3	pet_184		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_184	Pet_ChainsItemLines_184	chest007|body|chest007_body_t1	0.000000	0;-0.34;0	0.000000
52	5	item8101020504900	monster10305004	item101020503035	83275	3	pet_182		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_182	Pet_ChainsItemLines_182	chest007|body|chest007_body_t1	0.700000	0;-0.36;0	0.000000
53	5	item8101020504900	monster10306003	item101020503062	83278	3	pet_201		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_201	Pet_ChainsItemLines_201	chest007|body|chest007_body_t1	1.320000	0;-0.34;0	0.000000
54	5	item8101020504900	monster10307001	item101020503079	83281	3	pet_203		commonbuff::buff_Common_SpdUp_Fariy						Pet_ChainsItemTitle_203	Pet_ChainsItemLines_203	chest007|body|chest007_body_t1	1.200000	0;-0.35;0	150.000000
