流水	所属纪元	星座	星座名称	星座介绍	星座经验(int64位)	星座奖励
int	int	int	string	string	string	string
Id	State	Constelation	Name	Des	Exp	Reward
1	0	0	Constellation_Name_01	Constellation_Des_01		
2	0	1	Constellation_Name_02	Constellation_Des_02		
3	0	2	Constellation_Name_03	Constellation_Des_03		
4	0	3	Constellation_Name_04	Constellation_Des_04		
5	0	4	Constellation_Name_05	Constellation_Des_05		
6	0	5	Constellation_Name_06	Constellation_Des_06		
7	0	6	Constellation_Name_07	Constellation_Des_07		
8	0	7	Constellation_Name_08	Constellation_Des_08		
9	0	8	Constellation_Name_09	Constellation_Des_09		
10	0	9	Constellation_Name_10	Constellation_Des_10		
11	0	10	Constellation_Name_11	Constellation_Des_11		
12	0	11	Constellation_Name_12	Constellation_Des_12		
13	1	0	Constellation_Name_01	Constellation_Des_01	125000	item100100100101,1;item1014,5;item100000000005,2
14	1	1	Constellation_Name_02	Constellation_Des_02	125000	item100100100102,1;item1014,5;item100000000005,2
15	1	2	Constellation_Name_03	Constellation_Des_03	125000	item100100100103,1;item1014,5;item100000000005,2
16	1	3	Constellation_Name_04	Constellation_Des_04	125000	item100100100104,1;item1014,5;item100000000005,2
17	1	4	Constellation_Name_05	Constellation_Des_05	125000	item100100100105,1;item1014,5;item100000000005,2
18	1	5	Constellation_Name_06	Constellation_Des_06	125000	item100100100106,1;item1014,5;item100000000005,2
19	1	6	Constellation_Name_07	Constellation_Des_07	125000	item100100100107,1;item1014,5;item100000000005,2
20	1	7	Constellation_Name_08	Constellation_Des_08	125000	item100100100108,1;item1014,5;item100000000005,2
21	1	8	Constellation_Name_09	Constellation_Des_09	125000	item100100100109,1;item1014,5;item100000000005,2
22	1	9	Constellation_Name_10	Constellation_Des_10	125000	item100100100110,1;item1014,5;item100000000005,2
23	1	10	Constellation_Name_11	Constellation_Des_11	125000	item100100100111,1;item1014,5;item100000000005,2
24	1	11	Constellation_Name_12	Constellation_Des_12	125000	item100100100112,1;item1014,5;item100000000005,2
25	2	0	Constellation_Name_13	Constellation_Des_13	375000	item100100100201,1;item1014,5;item100000000005,4;item8103010121003,2
26	2	1	Constellation_Name_14	Constellation_Des_14	375000	item100100100202,1;item1014,5;item100000000005,4;item103010131001,3
27	2	2	Constellation_Name_15	Constellation_Des_15	375000	item100100100203,1;item1014,5;item100000000005,4;item8103010111016,10
28	2	3	Constellation_Name_16	Constellation_Des_16	375000	item100100100204,1;item1014,5;item100000000005,4;item101040101015,2
29	2	4	Constellation_Name_17	Constellation_Des_17	375000	item100100100205,1;item1014,5;item100000000005,4;item107999900001,2
30	2	5	Constellation_Name_18	Constellation_Des_18	375000	item100100100206,1;item1014,5;item100000000005,4;item8119100000000,1
31	2	6	Constellation_Name_19	Constellation_Des_19	375000	item100100100207,1;item1014,5;item100000000005,4;item8103010121003,2
32	2	7	Constellation_Name_20	Constellation_Des_20	375000	item100100100208,1;item1014,5;item100000000005,4;item103010131001,3
33	2	8	Constellation_Name_21	Constellation_Des_21	375000	item100100100209,1;item1014,5;item100000000005,4;item8103010111016,10
34	2	9	Constellation_Name_22	Constellation_Des_22	375000	item100100100210,1;item1014,5;item100000000005,4;item101040101015,2
35	2	10	Constellation_Name_23	Constellation_Des_23	375000	item100100100211,1;item1014,5;item100000000005,4;item107999900001,2
36	2	11	Constellation_Name_24	Constellation_Des_24	375000	item100100100212,1;item1014,5;item100000000005,4;item8119100000000,1
37	3	0	Constellation_Name_25	Constellation_Des_25	1125000	item100100100301,1;item1014,5;item100000000005,6;item107999900001,2
38	3	1	Constellation_Name_26	Constellation_Des_26	1125000	item100100100302,1;item1014,5;item100000000005,6;item8119100000000,1
39	3	2	Constellation_Name_27	Constellation_Des_27	1125000	item100100100303,1;item1014,5;item100000000005,6;item8103010111016,10
40	3	3	Constellation_Name_28	Constellation_Des_28	1125000	item100100100304,1;item1014,5;item100000000005,6;item101040101015,2
41	3	4	Constellation_Name_29	Constellation_Des_29	1125000	item100100100305,1;item1014,5;item100000000005,6;item107999900001,2
42	3	5	Constellation_Name_30	Constellation_Des_30	1125000	item100100100306,1;item1014,5;item100000000005,6;item8119100000000,1
43	3	6	Constellation_Name_31	Constellation_Des_31	1125000	item100100100307,1;item1014,5;item100000000005,6;item8103010121003,2
44	3	7	Constellation_Name_32	Constellation_Des_32	1125000	item100100100308,1;item1014,5;item100000000005,6;item103010131001,3
45	3	8	Constellation_Name_33	Constellation_Des_33	1125000	item100100100309,1;item1014,5;item100000000005,6;item8103010121003,2
46	3	9	Constellation_Name_34	Constellation_Des_34	1125000	item100100100310,1;item1014,5;item100000000005,6;item103010131001,3
47	3	10	Constellation_Name_35	Constellation_Des_35	1125000	item100100100311,1;item1014,5;item100000000005,6;item101040101015,2
48	3	11	Constellation_Name_36	Constellation_Des_36	1125000	item100100100312,1;item1014,5;item100000000005,6;item8103010111016,10
49	4	0	Constellation_Name_37	Constellation_Des_37	2000000	item100100100401,1;item1014,5;item100000000005,8;item101040101015,2
50	4	1	Constellation_Name_38	Constellation_Des_38	2000000	item100100100402,1;item1014,5;item100000000005,8;item8103010121003,2
51	4	2	Constellation_Name_39	Constellation_Des_39	2000000	item100100100403,1;item1014,5;item100000000005,8;item103010131001,3
52	4	3	Constellation_Name_40	Constellation_Des_40	2000000	item100100100404,1;item1014,5;item100000000005,8;item101040101015,2
53	4	4	Constellation_Name_41	Constellation_Des_41	2000000	item100100100405,1;item1014,5;item100000000005,8;item8119100000000,1
54	4	5	Constellation_Name_42	Constellation_Des_42	2000000	item100100100406,1;item1014,5;item100000000005,8;item8103010121003,2
55	4	6	Constellation_Name_43	Constellation_Des_43	2000000	item100100100407,1;item1014,5;item100000000005,8;item107999900001,2
56	4	7	Constellation_Name_44	Constellation_Des_44	2000000	item100100100408,1;item1014,5;item100000000005,8;item8103010111016,10
57	4	8	Constellation_Name_45	Constellation_Des_45	2000000	item100100100409,1;item1014,5;item100000000005,8;item107999900001,2
