合成出ID	背包内合成材料ID	粮仓内合成材料ID
int	string	string
CombineId	BagItemId	HomelandObjectId
97001	item144310000001,1;item144320000001,5;item144320000002,5	
97002	item144310000002,1;item144320000001,3;item144320000002,3	
97003	item144310000003,1;item144320000001,5;item144320000002,5	
97006	item144310000009,1;item144320000011,2;item144320000012,2	
97008	item144310000011,1;item144320000001,20;item144320000002,20	
97012	item144310000015,1;item144320000001,5;item144320000002,5	
97013	item144310000016,1;item144320000011,4;item144320000012,4	
97014	item144310000017,1;item144320000011,1;item144320000012,1	
97019	item144310000022,1;item144320000011,4;item144320000012,4	
97020	item144310000024,1;item144320000001,15;item144320000002,15	
97021	item144310000025,1;item144320000001,20;item144320000002,20	
97022	item144310000030,1;item144320000011,3;item144320000012,3	
7012	item144310007012,1;item144320000001,2;item144320000002,1	
7014	item144310007014,1;item144320000001,1;item144320000002,2	
7004	item144310007004,1;item144320000001,2;item144320000002,1	
7009	item144310007009,1;item144320000001,2;item144320000002,2	
7006	item144310007006,1;item144320000001,1;item144320000002,1	
7013	item144310007013,1;item144320000001,2;item144320000002,2	
7010	item144310007010,1;item144320000001,8;item144320000002,8	
7008	item144310007008,1;item144320000001,20;item144320000002,20	
7005	item144310007005,1;item144320000001,5;item144320000002,5	
7015	item144310007015,1;item144320000001,2;item144320000002,2	
7029	item144310007029,1;item144320000001,5;item144320000002,10	
7027	item144310007027,1;item144320000001,3;item144320000002,5	
7038	item144310007038,1;item144320000001,3;item144320000002,3	
7033	item144310007033,1;item144320000001,10;item144320000002,5	
7037	item144310007037,1;item144320000001,20;item144320000002,15	
7031	item144310007031,1;item144320000011,1;item144320000012,1	
7032	item144310007032,1;item144320000001,15;item144320000002,15	
7024	item144310007024,1;item144320000011,1;item144320000012,1	
7046	item144310007046,1;item144320000001,30;item144320000002,30	
7047	item144310007047,1;item144320000011,2;item144320000012,2	
7054	item144310007054,1;item144320000011,2;item144320000012,2	
7057	item144310007057,1;item144320000011,2;item144320000012,2	
7055	item144310007055,1;item144320000011,2;item144320000012,3	
7048	item144310007048,1;item144320000011,3;item144320000012,3	
7051	item144310007051,1;item144320000011,2;item144320000012,2	
7053	item144310007053,1;item144320000011,3;item144320000012,3	
7052	item144310007052,1;item144320000011,3;item144320000012,3	
7001	item144310007001,1;item144320000011,1;item144320000012,1	
7044	item144310007044,1;item144320000011,1;item144320000012,1	
7049	item144310007049,1;item144320000011,3;item144320000012,2	
7050	item144310007050,1;item144320000011,2;item144320000012,2	
7062	item144310007062,1;item144320000011,1;item144320000012,1	
7063	item144310007063,1;item144320000011,1;item144320000012,1	
7070	item144310007070,1;item144320000011,2;item144320000012,2	
7073	item144310007073,1;item144320000011,5;item144320000012,5	
7074	item144310007074,1;item144320000011,2;item144320000012,2	
7079	item144310007079,1;item144320000011,1;item144320000012,1	
7092	item144310007092,1;item144320000001,5;item144320000002,5	
7094	item144310007094,1;item144320000001,5;item144320000002,5	
7097	item144310007097,1;item144320000001,1;item144320000002,1	
7099	item144310007099,1;item144320000001,5;item144320000002,5	
7100	item144310007100,1;item144320000011,1;item144320000012,1	
7105	item144310007105,1;item144320000011,2;item144320000012,2	
7119	item144310007119,1;item144320000001,5;item144320000002,5	
7120	item144310007120,1;item144320000001,2;item144320000002,2	
7126	item144310007126,1;item144320000011,5;item144320000012,5	
7128	item144310007128,1;item144320000011,8;item144320000012,8	
