流水	购买所需货币	购买价格
int	int	int
Id	BuyCurrenyType	BuyCurrenyNum
1	1	50000
2	1	50000
3	1	100000
4	1	100000
5	1	200000
6	1	200000
7	1	400000
8	1	400000
9	1	800000
10	1	800000
11	1	1200000
12	1	1200000
13	1	1600000
14	1	1600000
15	1	2000000
16	1	2000000
17	1	2000000
18	1	2000000
19	1	2000000
20	1	2000000
21	1	2000000
22	1	2000000
23	1	2000000
24	1	2000000
25	1	2000000
26	1	2000000
27	1	2000000
28	1	2000000
29	1	2000000
30	1	2000000
31	1	2000000
32	1	2000000
33	1	2000000
34	1	2000000
35	1	2000000
36	1	2000000
37	1	2000000
38	1	2000000
39	1	2000000
40	1	2000000
41	1	2000000
42	1	2000000
43	1	2000000
44	1	2000000
45	1	2000000
46	1	2000000
47	1	2000000
48	1	2000000
49	1	2000000
50	1	2000000
51	1	2000000
52	1	2000000
53	1	2000000
54	1	2000000
55	1	2000000
56	1	2000000
57	1	2000000
58	1	2000000
59	1	2000000
60	1	2000000
