流水号	活动ID	宝图物品ID	宝图触发几率	线索掉落库
int	int	string	int	int
Id	ActivityId	ItemId	Probability	DropId
1	1963	item119000000000	80	28101
2	1963	item119000000001	120	28102
3	1963	item119000000050	500	28103
4	1963	item119000000002	250	28103
5	1963	item119000000003	250	28103
6	1963	item119000000004	250	28103
7	1963	item119000000005	250	28103
8	1963	item119000000006	250	28103
9	1963	item119000000007	250	28103
10	1963	item119000000008	250	28103
11	1963	item119000000009	250	28103
12	1963	item119000000010	250	28103
13	1963	item119000000060	800	28101
14	1963	item119000000061	1200	28102
15	1963	item119000000062	2500	28103
16	1963	item119000000063	2500	28103
17	1963	item119000000064	2500	28103
18	1963	item119000000065	2500	28103
19	1963	item119000000066	2500	28103
