装饰物ID	大类型ID	大类型语言包	布置类型	排序	布置位置限定	显示场景	所属主题	环境度	影子大小
int	int	string	int	int	int	int	int	int	float
Id	BigType	BigTypeTxt	DecorateId	Sort	DecorateLimit	ShowType	SeriesId	DecorateDegree	ShadowRadius
9001	2	Homeland_BigTypeTxt_2	1	1	2	2	0	10	0.000000
9002	2	Homeland_BigTypeTxt_2	1	1	2	2	0	100	0.000000
9003	2	Homeland_BigTypeTxt_2	1	1	2	2	0	300	0.000000
8001	2	Homeland_BigTypeTxt_2	2	1	4	1	0	0	0.000000
8002	2	Homeland_BigTypeTxt_2	2	1	4	1	0	0	0.000000
8003	2	Homeland_BigTypeTxt_2	2	1	4	1	0	0	0.000000
12001	2	Homeland_BigTypeTxt_2	4	1	4	1	1001	0	0.000000
12002	2	Homeland_BigTypeTxt_2	4	1	4	1	1001	0	0.000000
12003	2	Homeland_BigTypeTxt_2	4	1	4	1	1001	0	0.000000
12004	2	Homeland_BigTypeTxt_2	4	1	4	1	2004	400	0.000000
12005	2	Homeland_BigTypeTxt_2	4	1	4	1	2004	400	0.000000
12006	2	Homeland_BigTypeTxt_2	4	1	4	1	2004	400	0.000000
12007	2	Homeland_BigTypeTxt_2	4	4	4	1	2005	400	0.000000
12008	2	Homeland_BigTypeTxt_2	4	8	4	1	2005	400	0.000000
12009	2	Homeland_BigTypeTxt_2	4	11	4	1	2005	400	0.000000
12010	2	Homeland_BigTypeTxt_2	4	18	4	1	2006	500	0.000000
12011	2	Homeland_BigTypeTxt_2	4	18	4	1	2007	300	0.000000
12012	2	Homeland_BigTypeTxt_2	4	20	4	1	2007	350	0.000000
12013	2	Homeland_BigTypeTxt_2	4	22	4	1	2007	400	0.000000
13001	2	Homeland_BigTypeTxt_2	5	1	4	1	1002	0	0.000000
13002	2	Homeland_BigTypeTxt_2	5	1	4	1	1002	0	0.000000
13003	2	Homeland_BigTypeTxt_2	5	1	4	1	1002	0	0.000000
13004	2	Homeland_BigTypeTxt_2	5	1	4	1	2004	500	0.000000
13005	2	Homeland_BigTypeTxt_2	5	1	4	1	2004	500	0.000000
13006	2	Homeland_BigTypeTxt_2	5	1	4	1	2004	500	0.000000
13007	2	Homeland_BigTypeTxt_2	5	4	4	1	2005	400	0.000000
13008	2	Homeland_BigTypeTxt_2	5	18	4	1	2005	500	0.000000
13009	2	Homeland_BigTypeTxt_2	5	14	4	1	2005	500	0.000000
13010	2	Homeland_BigTypeTxt_2	5	14	4	1	2006	500	0.000000
13011	2	Homeland_BigTypeTxt_2	5	18	4	1	2007	300	0.000000
13012	2	Homeland_BigTypeTxt_2	5	20	4	1	2007	350	0.000000
13013	2	Homeland_BigTypeTxt_2	5	22	4	1	2007	400	0.000000
11000	2	Homeland_BigTypeTxt_2	6	1	0	0	0	0	0.000000
11001	2	Homeland_BigTypeTxt_2	6	1	0	0	1003	200	0.000000
11002	2	Homeland_BigTypeTxt_2	6	1	0	0	1003	200	0.000000
7010	1	Homeland_BigTypeTxt_1	7	1	4	1	2001	52	1.500000
7012	1	Homeland_BigTypeTxt_1	7	4	0	0	2001	9	0.375000
7009	1	Homeland_BigTypeTxt_1	7	4	0	0	2001	13	0.375000
7011	1	Homeland_BigTypeTxt_1	7	4	4	1	2001	15	0.375000
97008	1	Homeland_BigTypeTxt_1	7	1	3	2	1004	10	1.500000
97014	1	Homeland_BigTypeTxt_1	7	1	3	2	1004	8	1.500000
7004	1	Homeland_BigTypeTxt_1	7	5	0	0	2001	21	0.750000
7006	1	Homeland_BigTypeTxt_1	7	5	0	0	2001	10	0.375000
7008	1	Homeland_BigTypeTxt_1	7	5	4	1	2001	100	1.500000
7013	1	Homeland_BigTypeTxt_1	7	5	0	0	2001	28	0.750000
