流水	副本	合约	解锁条件类型	解锁条件参数	解锁条件描述	分组
int	int	int	int	string	string	int
ID	DungeonId	ContactId	UnlockType	UnlockParam	UnclockDes	Group
1	1550	101	1	0	contract_unlockdes_1	1
2	1550	104	1	0	contract_unlockdes_1	1
3	1550	107	1	0	contract_unlockdes_1	1
4	1550	108	1	0	contract_unlockdes_1	2
5	1550	110	1	0	contract_unlockdes_1	2
6	1550	111	1	0	contract_unlockdes_1	3
7	1550	112	1	0	contract_unlockdes_1	3
8	1550	120	1	0	contract_unlockdes_1	3
9	1550	105	1	1	contract_unlockdes_1	4
10	1550	173	1	1	contract_unlockdes_1	4
11	1550	102	1	2	contract_unlockdes_1	5
12	1550	172	1	2	contract_unlockdes_1	5
13	1550	174	1	2	contract_unlockdes_1	5
14	1550	109	1	3	contract_unlockdes_1	6
15	1550	114	1	3	contract_unlockdes_1	6
16	1550	175	1	3	contract_unlockdes_1	7
17	1550	177	1	3	contract_unlockdes_1	7
18	1550	106	1	4	contract_unlockdes_1	8
19	1550	113	1	4	contract_unlockdes_1	8
20	1550	116	1	4	contract_unlockdes_1	9
21	1550	126	1	4	contract_unlockdes_1	9
22	1550	103	1	5	contract_unlockdes_1	10
23	1550	115	1	5	contract_unlockdes_1	10
24	1550	117	1	5	contract_unlockdes_1	11
25	1550	141	1	5	contract_unlockdes_1	11
26	1550	176	1	6	contract_unlockdes_1	12
27	1550	179	1	6	contract_unlockdes_1	12
28	1550	180	1	7	contract_unlockdes_1	13
29	1550	167	1	7	contract_unlockdes_1	13
30	1550	169	1	7	contract_unlockdes_1	13
31	1550	181	1	8	contract_unlockdes_1	14
32	1550	168	1	8	contract_unlockdes_1	14
33	1550	170	1	8	contract_unlockdes_1	14
34	1550	178	1	9	contract_unlockdes_1	15
35	1550	182	1	9	contract_unlockdes_1	15
36	1550	171	1	9	contract_unlockdes_1	15
37	1550	127	1	11	contract_unlockdes_1	16
38	1551	101	1	0	contract_unlockdes_1	1
39	1551	104	1	0	contract_unlockdes_1	1
40	1551	107	1	0	contract_unlockdes_1	1
41	1551	108	1	0	contract_unlockdes_1	2
42	1551	110	1	0	contract_unlockdes_1	2
43	1551	111	1	0	contract_unlockdes_1	3
44	1551	112	1	0	contract_unlockdes_1	3
45	1551	120	1	0	contract_unlockdes_1	3
46	1551	105	1	1	contract_unlockdes_1	4
47	1551	173	1	1	contract_unlockdes_1	4
48	1551	102	1	2	contract_unlockdes_1	5
49	1551	172	1	2	contract_unlockdes_1	5
50	1551	174	1	2	contract_unlockdes_1	5
51	1551	109	1	3	contract_unlockdes_1	6
52	1551	114	1	3	contract_unlockdes_1	6
53	1551	175	1	3	contract_unlockdes_1	7
54	1551	177	1	3	contract_unlockdes_1	7
55	1551	106	1	4	contract_unlockdes_1	8
56	1551	113	1	4	contract_unlockdes_1	8
57	1551	116	1	4	contract_unlockdes_1	9
58	1551	126	1	4	contract_unlockdes_1	9
59	1551	103	1	5	contract_unlockdes_1	10
60	1551	115	1	5	contract_unlockdes_1	10
61	1551	117	1	5	contract_unlockdes_1	11
62	1551	141	1	5	contract_unlockdes_1	11
63	1551	176	1	6	contract_unlockdes_1	12
64	1551	179	1	6	contract_unlockdes_1	12
65	1551	180	1	7	contract_unlockdes_1	13
66	1551	167	1	7	contract_unlockdes_1	13
67	1551	169	1	7	contract_unlockdes_1	13
68	1551	181	1	8	contract_unlockdes_1	14
69	1551	168	1	8	contract_unlockdes_1	14
70	1551	170	1	8	contract_unlockdes_1	14
71	1551	178	1	9	contract_unlockdes_1	15
72	1551	182	1	9	contract_unlockdes_1	15
73	1551	171	1	9	contract_unlockdes_1	15
74	1551	127	1	11	contract_unlockdes_1	16
75	1552	101	1	0	contract_unlockdes_1	1
76	1552	104	1	0	contract_unlockdes_1	1
77	1552	107	1	0	contract_unlockdes_1	1
78	1552	108	1	0	contract_unlockdes_1	2
79	1552	110	1	0	contract_unlockdes_1	2
80	1552	111	1	0	contract_unlockdes_1	3
81	1552	112	1	0	contract_unlockdes_1	3
82	1552	120	1	0	contract_unlockdes_1	3
83	1552	105	1	1	contract_unlockdes_1	4
84	1552	173	1	1	contract_unlockdes_1	4
85	1552	102	1	2	contract_unlockdes_1	5
86	1552	172	1	2	contract_unlockdes_1	5
87	1552	174	1	2	contract_unlockdes_1	5
88	1552	109	1	3	contract_unlockdes_1	6
89	1552	114	1	3	contract_unlockdes_1	6
90	1552	175	1	3	contract_unlockdes_1	7
91	1552	177	1	3	contract_unlockdes_1	7
92	1552	106	1	4	contract_unlockdes_1	8
93	1552	113	1	4	contract_unlockdes_1	8
94	1552	116	1	4	contract_unlockdes_1	9
95	1552	126	1	4	contract_unlockdes_1	9
96	1552	103	1	5	contract_unlockdes_1	10
97	1552	115	1	5	contract_unlockdes_1	10
98	1552	117	1	5	contract_unlockdes_1	11
99	1552	141	1	5	contract_unlockdes_1	11
100	1552	176	1	6	contract_unlockdes_1	12
101	1552	179	1	6	contract_unlockdes_1	12
102	1552	180	1	7	contract_unlockdes_1	13
103	1552	167	1	7	contract_unlockdes_1	13
104	1552	169	1	7	contract_unlockdes_1	13
105	1552	181	1	8	contract_unlockdes_1	14
106	1552	168	1	8	contract_unlockdes_1	14
107	1552	170	1	8	contract_unlockdes_1	14
108	1552	178	1	9	contract_unlockdes_1	15
109	1552	182	1	9	contract_unlockdes_1	15
110	1552	171	1	9	contract_unlockdes_1	15
111	1552	127	1	11	contract_unlockdes_1	16
