流水ID	提示ID	显示类型	对话内容	说话者的对象类	说话者的对象ID	语音ID	显示时间	提示等级
int	string	int	string	string	string	int	float	int
Id	TipsID	ShowType	Content	TalkerScript	TalkerConfigID	AudioID	ShowTime	Level
1	Tips1000	0	Forging_Op_MagicLib	npc	npc_10001	2001	3.500000	0
2	Tips1001	1	Forging_Op_PreviewHint	npc	npc_10002	2001	5.000000	0
3	Tips1002	2	Forging_Op_LevelHint1	npc	npc_10003	2001	3.500000	0
4	Tips1003	1	Forging_Op_LevelHint2	npc	npc_10004	2001	3.500000	1
5	Tips2001	0	MSG_CallBossActivateProgress	npc		0	3.500000	0
6	Tips2002	0	MSG_CallBossRevive	npc		0	3.500000	0
7	Tips2003	0	MSG_CallBossAppear	npc		0	3.500000	0
8	Tips2004	0	MSG_CallBossDieTalk1	npc		0	3.500000	0
9	Tips2005	1	MSG_CallBossDieTalk2	npc	callboss001	0	3.500000	0
10	Tips2006	1	MSG_CallBossTalk1	npc	callboss001	0	3.500000	0
11	Tips2007	1	MSG_CallBossTalk2	npc	callboss001	0	3.500000	0
12	Tips2008	1	MSG_CallBossTalk3	npc	callboss001	0	3.500000	0
13	Tips2009	1	MSG_CallBossTalk4	npc	callboss001	0	3.500000	0
14	Tips2010	1	MSG_CallBossTalk5	npc	callboss001	0	3.500000	0
15	Tips3001	0	Msg_Secret_StopBomTips	npc		0	3.500000	0
16	Tips3002	0	Secret_Warning1	npc		0	3.500000	0
17	Tips3003	0	Secret_Warning2	npc		0	3.500000	0
18	Tips3004	0	Secret_Warning4	npc		0	3.500000	0
19	Tips3005	0	Secret_Warning5	npc		0	3.500000	0
20	Tips3006	0	Secret_Warning1	npc		0	3.500000	0
21	Tips3007	0	Secret_Warning2	npc		0	3.500000	0
22	Tips3008	0	Secret_Warning3	npc		0	3.500000	0
23	Tips3009	0	Secret_Warning4	npc		0	3.500000	0
24	Tips3010	0	Secret_Warning5	npc		0	3.500000	0
25	Tips3101	2	Secret_Maze_Cue1	npc	npc_99999	0	5.000000	0
26	Tips3102	2	Secret_Maze_Cue2	npc	npc_99999	0	5.000000	0
27	Tips3103	2	Secret_Maze_Cue3	npc	npc_99999	0	3.500000	0
28	Tips3104	0	Secret_Maze_Cue4	npc		0	3.500000	0
29	Tips3105	0	Secret_Maze_Cue5	npc		0	3.500000	0
30	Tips3106	0	Secret_Maze_Cue6	npc		0	5.000000	0
31	Tips3201	2	BossAppearCue	npc	npc_99999	0	3.500000	0
32	Tips3202	2	BossAppearCue	npc	npc_99999	0	3.500000	0
33	Tips3203	2	BossAppearCue	npc	npc_99999	0	3.500000	0
34	Tips10001	0	Scene300031_Warning02	npc		0	3.500000	0
35	Tips10002	0	Scene300031_Warning03	npc		0	3.500000	0
36	Tips10003	0	Scene300031_Warning04	npc		0	3.500000	0
37	Tips10004	0	Scene300031_Warning05	npc		0	3.500000	0
38	Tips10005	1	Scene300031_Warning06	npc	monster30000361	0	3.500000	0
39	Tips10006	1	Scene300031_Warning07	npc	monster30000360	0	3.500000	0
40	Tips10007	0	Scene300031_Warning08	npc		0	4.000000	0
41	Tips10008	0	Scene300031_Warning09	npc		0	4.000000	0
42	Tips10009	1	Scene300031_Warning10	npc	monster30000380	0	3.500000	0
