流水	功能ID	功能介绍	功能描述	奖励
int	int	string	string	string
Id	FuncID	FuncIntroduction	FuncDes	Reward
1	10	FuncIntroduction_10	UIFuncDes_10	item1000,20000
2	404	FuncIntroduction_404	UIFuncDes_404	item1000,20000
3	43	FuncIntroduction_43	UIFuncDes_43	item102010111001,50
4	405	FuncIntroduction_405	UIFuncDes_405	item103010111000,50
5	8	FuncIntroduction_8	UIFuncDes_8	item1000,20000
6	201	FuncIntroduction_201	UIFuncDes_201	item1000,20000
7	226	FuncIntroduction_226	UIFuncDes_226	item1000,20000
8	145	FuncIntroduction_145	UIFuncDes_145	item107200041001,2
9	1150	FuncIntroduction_1150	UIFuncDes_1150	item1000,100000
10	61	FuncIntroduction_61	UIFuncDes_61	item1000,50000
11	407	FuncIntroduction_407	UIFuncDes_407	item10000000001,5000
12	17	FuncIntroduction_17	UIFuncDes_17	item1000,50000
13	51	FuncIntroduction_51	UIFuncDes_51	item1003,50
14	120	FuncIntroduction_120	UIFuncDes_120	item91000000911,1
15	152	FuncIntroduction_152	UIFuncDes_152	item1000,50000
16	1151	FuncIntroduction_1151	UIFuncDes_1151	item1000,100000
17	111	FuncIntroduction_111	UIFuncDes_111	item10000000001,5000
18	138	FuncIntroduction_138	UIFuncDes_138	item144000000001,1
19	418	FuncIntroduction_418	UIFuncDes_418	item1000,200000
20	1	FuncIntroduction_001	UIFuncDes_1	item103010111102,2
21	67	FuncIntroduction_67	UIFuncDes_67	item1000,50000
22	33	FuncIntroduction_33	UIFuncDes_33	item1006,200
23	2	FuncIntroduction_002	UIFuncDes_2	item103010111102,2
24	124	FuncIntroduction_124	UIFuncDes_124	item1000,50000
25	162	FuncIntroduction_162	UIFuncDes_162	item1000,50000
26	1152	FuncIntroduction_1152	UIFuncDes_1152	item1000,100000
27	122	FuncIntroduction_122	UIFuncDes_122	item1000,50000
28	155	FuncIntroduction_155	UIFuncDes_155	item100500000001,2
29	105	FuncIntroduction_105	UIFuncDes_105	item1000,50000
30	1100	FuncIntroduction_1100	UIFuncDes_1100	item100000000056,2
31	160	FuncIntroduction_160	UIFuncDes_160	item8200000800001,1
32	161	FuncIntroduction_161	UIFuncDes_161	item200000102018,1
33	158	FuncIntroduction_158	UIFuncDes_158	item1003,50
34	297	FuncIntroduction_297	UIFuncDes_297	item144400000004,5
35	520	FuncIntroduction_520	UIFuncDes_520	item128000032001,10
36	80	FuncIntroduction_80	UIFuncDes_80	item1000,50000
37	231	FuncIntroduction_231	UIFuncDes_231	item1003,50
38	1153	FuncIntroduction_1153	UIFuncDes_1153	item1000,100000
39	27	FuncIntroduction_27	UIFuncDes_27	item1000,50000
40	166	FuncIntroduction_166	UIFuncDes_166	item100600000004,1
41	1101	FuncIntroduction_1101	UIFuncDes_1101	item100000000057,2
42	334	FuncIntroduction_335	UIFuncDes_335	item1000,100000
43	1154	FuncIntroduction_1154	UIFuncDes_1154	item1000,100000
44	432	FuncIntroduction_432	UIFuncDes_432	item171002000001,5
45	1102	FuncIntroduction_1102	UIFuncDes_1102	item100000000057,2
46	278	FuncIntroduction_278	UIFuncDes_278	item1000,50000
47	188	FuncIntroduction_188	UIFuncDes_188	item1000,50000
48	493	FuncIntroduction_493	UIFuncDes_493	item1000,100000
49	499	FuncIntroduction_499	UIFuncDes_499	item1000,100000
50	445	FuncIntroduction_445	UIFuncDes_445	item1000,100000
51	1155	FuncIntroduction_1155	UIFuncDes_1155	item1000,100000
52	466	FuncIntroduction_466	UIFuncDes_466	item1000,100000
53	325	FuncIntroduction_325	UIFuncDes_325	item1000,100000
54	194	FuncIntroduction_194	UIFuncDes_194	item10000000001,10000
55	1103	FuncIntroduction_1103	UIFuncDes_1103	item90000000122,1
56	437	FuncIntroduction_437	UIFuncDes_437	item1038,1
57	446	FuncIntroduction_446	UIFuncDes_446	item8230000000002,2
58	1104	FuncIntroduction_1104	UIFuncDes_1104	item90000000122,1
59	427	FuncIntroduction_427	UIFuncDes_427	item1000,100000
60	476	FuncIntroduction_476	UIFuncDes_476	item19100000300001,1
61	436	FuncIntroduction_436	UIFuncDes_436	item1036,10
62	444	FuncIntroduction_444	UIFuncDes_444	item1000,100000
63	522	FuncIntroduction_522	UIFuncDes_522	item128000032001,10
64	526	FuncIntroduction_526	UIFuncDes_526	item1000,100000
