合约id	系列	难度等级	合约名称	合约描述	合约效果描述	合约图标	效果类型	效果参数	是否战甲合约	开放等级(闭区间)
int	int	int	string	string	string	string	string	string	int	int
ID	Group	Level	Name	TipsDes	EffectDes	Icon	EffectType	EffectParam	IsEnvoy	OpenLevel
101	100	1	contract_name_101	contract_tipsdes_101	contract_effectdes_101	contract_101	1|1	dg_bf440_1_contract::buff_0_lv1|dg_bf440_2_contract::buff_16_lv1	0	0
102	100	2	contract_name_102	contract_tipsdes_102	contract_effectdes_102	contract_101	1|1	dg_bf440_1_contract::buff_0_lv2|dg_bf440_2_contract::buff_16_lv2	0	0
103	100	3	contract_name_103	contract_tipsdes_103	contract_effectdes_103	contract_101	1|1	dg_bf440_1_contract::buff_0_lv3|dg_bf440_2_contract::buff_16_lv3	0	0
104	110	1	contract_name_104	contract_tipsdes_104	contract_effectdes_104	contract_102	1|1	dg_bf440_1_contract::buff_1_lv1|dg_bf440_2_contract::buff_16_lv1	0	0
105	110	2	contract_name_105	contract_tipsdes_105	contract_effectdes_105	contract_102	1|1	dg_bf440_1_contract::buff_1_lv2|dg_bf440_2_contract::buff_16_lv2	0	0
106	110	3	contract_name_106	contract_tipsdes_106	contract_effectdes_106	contract_102	1|1	dg_bf440_1_contract::buff_1_lv3|dg_bf440_2_contract::buff_16_lv3	0	0
107	120	1	contract_name_107	contract_tipsdes_107	contract_effectdes_107	contract_103	1|1	dg_bf440_1_contract::buff_2_lv1|dg_bf440_2_contract::buff_16_lv1	0	0
108	120	2	contract_name_108	contract_tipsdes_108	contract_effectdes_108	contract_103	1|1	dg_bf440_1_contract::buff_2_lv2|dg_bf440_2_contract::buff_16_lv2	0	0
109	120	3	contract_name_109	contract_tipsdes_109	contract_effectdes_109	contract_103	1|1	dg_bf440_1_contract::buff_2_lv3|dg_bf440_2_contract::buff_16_lv3	0	0
110	130	1	contract_name_110	contract_tipsdes_110	contract_effectdes_110	contract_104	2|1	dg_bf440_1_contract::buff_3_lv1|dg_bf440_2_contract::buff_16_lv1	0	0
111	140	1	contract_name_111	contract_tipsdes_111	contract_effectdes_111	contract_105	2|1	dg_bf440_1_contract::buff_4_lv1|dg_bf440_2_contract::buff_16_lv1	0	0
112	150	1	contract_name_112	contract_tipsdes_112	contract_effectdes_112	contract_106	2|1	dg_bf440_1_contract::buff_5_lv1|dg_bf440_2_contract::buff_16_lv1	0	0
