编号	动作编号	普攻标识	播放倍率	是否循环动作	动作编号	动作名字	前摇时间	后摇时间	结束判定帧
int	int	bool	float	bool	int	string	float	float	float
Id	ActionSet	IsNormalAtk	PlayRate	IsLoop	ActionId	ActionName	PreHitTime	HittedTime	FinishTime
1	1000001	1	1.000000		100	atk01	0.270000	0.670000	0.000000
2	1000001	1	1.000000		101	atk02	0.270000	0.600000	0.000000
3	1000001	1	1.000000		102	atk03	0.530000	0.600000	0.000000
4	1000001		1.000000		81	skill01	0.450000	0.500000	0.000000
5	1000001		1.600000		82	skill02	0.500000	0.331250	0.000000
6	1000001		1.600000		83	skill03	0.387500	0.500000	0.025000
7	1000001		1.000000		84	skill04	0.270000	0.500000	0.000000
8	1000001		1.000000		87	skill05	0.300000	0.600000	0.200000
9	1000001		2.000000		88	skill06	0.270000	0.500000	0.000000
10	1000001		0.800000	1	89	skill08	0.000000	0.875000	0.000000
11	1000001		1.000000		91	skill09	0.000000	0.800000	0.000000
12	1000001		1.000000		907	skill1001	0.000000	1.000000	0.000000
13	1000001		1.000000	1	908	skill1002	0.000000	1.000000	0.000000
14	1000001		1.000000		909	skill1003	0.000000	0.000000	0.000000
15	1000001		1.000000		919	skill11	0.470000	1.430000	0.000000
16	1000001		1.000000		920	skill12	0.500000	0.970000	0.200000
17	1000001		1.000000		921	skill13	0.670000	1.170000	0.430000
18	1000001		1.000000		800	comskill02	0.450000	0.500000	0.000000
19	1000001		1.000000		801	comskill01	0.000000	1.600000	0.600000
20	1000001		1.000000		803	jump0203	0.000000	1.430000	1.430000
21	1000001		3.000000		804	transport01	0.000000	0.000000	0.000000
22	1000001		1.000000		600	sjactor_tiaowu01	0.000000	17.400000	0.000000
23	1000001		1.000000		605	sjactor_tiaowu02	0.000000	13.700000	0.000000
24	1000001		1.000000		303	opchest01	0.000000	0.400000	0.000000
25	1000001		1.000000		613	iathrow0101	0.400000	0.000000	0.000000
26	1000001		1.000000	1	614	iathrow0102	1.500000	0.000000	0.000000
27	1000001		1.000000		615	iathrow0103	0.100000	0.800000	0.600000
28	1000001		4.000000		621	iathrow0101	0.100000	0.000000	0.000000
29	1000001		1.000000	1	622	iathrow0102	1.500000	0.000000	0.000000
30	1000001		2.000000		623	iathrow0103	0.050000	0.400000	0.300000
31	1000001		1.000000		811	skill0101	1.333000	0.000000	0.000000
32	1000001		1.000000	1	812	skill0102	1.333000	0.000000	0.000000
33	1000001		1.000000		813	skill0103	0.000000	1.000000	1.000000
34	1000001		1.000000		814	skill0101	1.333000	0.000000	0.000000
35	1000001		1.000000	1	815	skill0102	0.000000	0.000000	0.000000
36	1000001		1.000000		816	skill0103	0.000000	1.000000	1.000000
37	1001001	1	1.000000		100	atk01	0.230000	0.900000	0.000000
38	1001001	1	1.000000		101	atk02	0.200000	0.730000	0.000000
39	1001001	1	1.000000		102	atk03	0.300000	0.700000	0.000000
40	1001001		1.000000		85	skill0101	0.400000	0.000000	0.000000
