宝库等级	掉落库ID	解锁经验值	佣兵展示用品阶	预览展示
int	int	int	string	string
Id	DropBox	Exp	ShowAdvance	ShowItem
1	2101	0	70;1;2	item19300000000015;item20000000000008;item20000000000005;item20000000000003;item20000000000004;item20000000000001;item20000000000002
2	2102	30	70;1;3	item19300000000016;item20000000000006;item20000000000008;item20000000000005;item20000000000003;item20000000000004;item20000000000001;item20000000000002
3	2103	60	70;1;5	item19300000000017;item20000000000007;item20000000000006;item20000000000008;item20000000000005;item20000000000003;item20000000000004;item20000000000001;item20000000000002
4	2104	90	70;2;1	item19300000000018;item20000000000007;item20000000000006;item20000000000008;item20000000000005;item20000000000003;item20000000000004;item20000000000001;item20000000000002
5	2105	120	70;2;3	item19300000000019;item20000000000007;item20000000000006;item20000000000008;item20000000000005;item20000000000003;item20000000000004;item20000000000001;item20000000000002
6	2106	160	70;2;5	item19300000000020;item20000000000007;item20000000000006;item20000000000008;item20000000000005;item20000000000003;item20000000000004;item20000000000001;item20000000000002
7	2107	200	70;3;1	item19300000000021;item20000000000007;item20000000000006;item20000000000008;item20000000000005;item20000000000003;item20000000000004;item20000000000001;item20000000000002
8	2108	250	70;3;3	item19300000000022;item20000000000007;item20000000000006;item20000000000008;item20000000000005;item20000000000003;item20000000000004;item20000000000001;item20000000000002
9	2109	300	70;3;5	item19300000000023;item20000000000007;item20000000000006;item20000000000008;item20000000000005;item20000000000003;item20000000000004;item20000000000001
10	2110	400	70;4;1	item19300000000024;item20000000000007;item20000000000006;item20000000000008;item20000000000005;item20000000000003;item20000000000004
