流水	玩家等级	单次获得经验	单次获得天赋经验	获得次数上限
int	int	int	int	int
Id	Level	Exp	Talent	Hit
1	1	60	0	60
2	2	120	0	60
3	3	180	0	60
4	4	240	0	60
5	5	300	0	60
6	6	360	0	60
7	7	420	0	60
8	8	480	0	60
9	9	540	0	60
10	10	600	0	60
11	11	660	0	60
12	12	720	0	60
13	13	780	0	60
14	14	840	0	60
15	15	900	90	60
16	16	960	96	60
17	17	1020	102	60
18	18	1080	108	60
19	19	1140	114	60
20	20	1200	120	60
21	21	1260	126	60
22	22	1320	132	60
23	23	1380	138	60
24	24	1440	144	60
25	25	1500	150	60
26	26	1560	156	60
27	27	1620	162	60
28	28	1680	168	60
29	29	1740	174	60
30	30	1800	180	60
31	31	1860	186	60
32	32	1920	192	60
33	33	1980	198	60
34	34	2040	204	60
35	35	2100	210	60
36	36	2160	216	60
37	37	2220	222	60
38	38	2280	228	60
39	39	2340	234	60
40	40	2400	240	60
41	41	2460	246	60
42	42	2520	252	60
43	43	2580	258	60
44	44	2640	264	60
45	45	2700	270	60
46	46	2760	276	60
47	47	2820	282	60
48	48	2880	288	60
49	49	2940	294	60
50	50	3000	300	60
51	51	3060	306	60
52	52	3120	312	60
53	53	3180	318	60
54	54	3240	324	60
55	55	3300	330	60
56	56	3360	336	60
57	57	3420	342	60
58	58	3480	348	60
59	59	3540	354	60
60	60	3600	360	60
61	61	3660	366	60
62	62	3720	372	60
63	63	3780	378	60
64	64	3840	384	60
65	65	3900	390	60
66	66	3960	396	60
67	67	4020	402	60
68	68	4080	408	60
69	69	4140	414	60
70	70	4200	420	60
71	71	4260	426	60
72	72	4320	432	60
73	73	4380	438	60
74	74	4440	444	60
75	75	4500	450	60
76	76	4560	456	60
77	77	4620	462	60
78	78	4680	468	60
79	79	4740	474	60
80	80	4800	480	60
81	81	4860	486	60
82	82	4920	492	60
83	83	4980	498	60
84	84	5040	504	60
85	85	5100	510	60
86	86	5160	516	60
87	87	5220	522	60
88	88	5280	528	60
89	89	5340	534	60
90	90	5400	540	60
91	91	5460	546	60
92	92	5520	552	60
93	93	5580	558	60
94	94	5640	564	60
95	95	5700	570	60
96	96	5760	576	60
97	97	5820	582	60
98	98	5880	588	60
99	99	5940	594	60
100	100	6000	600	60
101	101	6060	606	60
102	102	6120	612	60
103	103	6180	618	60
104	104	6240	624	60
105	105	6300	630	60
106	106	6360	636	60
107	107	6420	642	60
108	108	6480	648	60
109	109	6540	654	60
110	110	6600	660	60
111	111	6660	666	60
112	112	6720	672	60
113	113	6780	678	60
114	114	6840	684	60
115	115	6900	690	60
116	116	6960	696	60
117	117	7020	702	60
118	118	7080	708	60
119	119	7140	714	60
120	120	7200	720	60
121	121	7260	726	60
122	122	7320	732	60
123	123	7380	738	60
124	124	7440	744	60
125	125	7500	750	60
126	126	7560	756	60
127	127	7620	762	60
128	128	7680	768	60
129	129	7740	774	60
130	130	7800	780	60
131	131	7860	786	60
132	132	7920	792	60
133	133	7980	798	60
134	134	8040	804	60
135	135	8100	810	60
136	136	8160	816	60
137	137	8220	822	60
138	138	8280	828	60
139	139	8340	834	60
140	140	8400	840	60
141	141	8460	846	60
142	142	8520	852	60
143	143	8580	858	60
144	144	8640	864	60
145	145	8700	870	60
146	146	8760	876	60
147	147	8820	882	60
148	148	8880	888	60
149	149	8940	894	60
150	150	9000	900	60
151	151	9060	906	60
152	152	9120	912	60
153	153	9180	918	60
154	154	9240	924	60
155	155	9300	930	60
156	156	9360	936	60
157	157	9420	942	60
158	158	9480	948	60
159	159	9540	954	60
160	160	9600	960	60
161	161	9660	966	60
162	162	9720	972	60
163	163	9780	978	60
164	164	9840	984	60
165	165	9900	990	60
166	166	9960	996	60
167	167	10020	1002	60
168	168	10080	1008	60
169	169	10140	1014	60
170	170	10200	1020	60
171	171	10260	1026	60
172	172	10320	1032	60
173	173	10380	1038	60
174	174	10440	1044	60
175	175	10500	1050	60
176	176	10560	1056	60
177	177	10620	1062	60
178	178	10680	1068	60
179	179	10740	1074	60
180	180	10800	1080	60
181	181	10860	1086	60
182	182	10920	1092	60
183	183	10980	1098	60
184	184	11040	1104	60
185	185	11100	1110	60
186	186	11160	1116	60
187	187	11220	1122	60
188	188	11280	1128	60
189	189	11340	1134	60
190	190	11400	1140	60
191	191	11460	1146	60
192	192	11520	1152	60
193	193	11580	1158	60
194	194	11640	1164	60
195	195	11700	1170	60
196	196	11760	1176	60
197	197	11820	1182	60
198	198	11880	1188	60
199	199	11940	1194	60
200	200	12000	1200	60
