NPC编号	对象类型	NPC类型	头像显示	描边参数	头像	名字	功能名称	名称位置	小地图标志	场景头上icon	附近显示npc	模型编号	模型缩放	挂件模型	特殊icon	动作集	随机动作列表	是否转向	圆柱高度	圆柱半径	对话显示修正	对话显示缩放	对话摄像机位置修正	对话摄像机角度修正	特殊对话摄像机位置修正	特殊对话摄像机角度修正	送礼(聚焦)摄像机位置修正	送礼(聚焦)摄像机角度修正	是否不能被其他npc选择	常驻美术特效	模型效果	阻挡信息
string	string	int	bool	int	string	string	string	string	string	string	bool	string	float	string	string	int	string	byte	float	float	vector3	float	vector3	vector3	vector3	vector3	vector3	vector3	int	string	int	string
Id	Script	FuncNpcType	PortraitOn	OutlinePara	Icon	Name	FunctionName	NamePos	FuncIcon	SenceIcon	DisplayNpc	Avatar	AvatarZoom	Pendant	SpecialIcon	ActionSet	RandomAction	Rotation	CollideHeight	CollideRadius	TalkShowOffset	TalkShowScale	TalkCamPos	TalkCamAng	SpecialTalkCamPos	SpecialTalkCamAng	FocusCamPos	FocusCamAng	CannotBeOthersTarget	PermanentEffect	CharEffectId	CollideInfo
npc_10001	FuncNpc	1	1	1	m004_portrait01	NpcName_10001		0,1.2,0				m004|body|m004_body_t1	1.000000			2001002		1	1.450000	0.500000	0,0.3,0.65	1.000000	0,0,0	0,0,0					1		0	
npc_10002	FuncNpc	1	1	1	n904_portrait01	NpcName_10002	FunctionName_10002	0,1.2,0			1	n904|body|n904_body_t1	1.000000			3003003		1	2.700000	0.500000	0,-0.22,-0.45	1.000000	0,0,0	0,0,0					1		0	
npc_100021	FuncNpc	1	1	1	n904_portrait01	NpcName_10002	FunctionName_10002	0,1.2,0			1	n904|body|n904_body_t1	1.000000			3003003		1	2.700000	0.500000	0,-0.22,-0.45	1.000000	0,0,0	0,0,0					1		0	
npc_10003	FuncNpc	1	1	1	n007_portrait01	NpcName_10003		0,1.2,0			1	n007|body|n007_body_t1	1.000000			3000103		1	1.580000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10004	FuncNpc	1	1	1	n041_portrait01	NpcName_10004	FunctionName_10004	0,1.2,0			1	n041|body|n041_body_t1	1.000000			2000002		1	1.740000	0.500000	0,-0.02,-0.4	1.000000	0,0,0	0,0,0					1		0	
npc_forging_001	FuncNpc	4	1	1	n001_portrait01	NpcName_forging_001	FunctionName_10005	0,1.2,0	forging_func	forging_func	1	n001|body|n001_body_t1|parta|n001_parta_t1|partb|n001_partb_t1|partc|n001_partc_t1	1.000000			3000003	60;61;62	0	1.520000	1.000000		1.000000	0,0,0	0,0,0					1		0	
npc_forging_002	FuncNpc	4	1	1	n002_portrait01	NpcName_forging_002	FunctionName_10006	0,1.2,0	attachmagic_func	attachmagic_func	1	n002|body|n002_body_t1	1.000000			3000203	60;61	0	1.780000	0.500000		1.000000	0,0,0	0,0,0					1		0	
npc_018_lilina	FuncNpc	1	1	1	n040_portrait01	NpcName_018_lilina		0,1.2,0				n040|body|n040_body_t1	1.000000			3103003		1	1.870000	0.500000	-0.05,0.1,-0.5	1.000000	0,0,0	0,0,0					1		0	
npc_018_lilina_sleep	FuncNpc	1	1	1	n040_portrait01	NpcName_018_lilina		0,1.2,0		icon_mean		n040|body|n040_body_t9	1.000000			3103303		1	1.870000	0.500000	-0.05,0.1,-0.5	1.000000	0,0,0	0,0,0					1		0	
npc_018_zuoqi	FuncNpc	1	0	1	r012_portrait01	NpcName_018_timu		0,1.2,0				r012|body|r012_body_t1|parta|r012_parta_t1|partb|r012_partb_t1	1.000000			3001303		1	1.960000	0.500000	-0.2,-0.2,1.5	1.000000	0,0,0	0,0,0					1		0	
npc_018_lilina2	FuncNpc	1	1	1	n040_portrait01	NpcName_018_lilina		0,1.2,0				n040|body|n040_body_t1	1.000000			3003003		1	1.870000	0.500000	-0.05,0.1,-0.5	1.000000	0,0,0	0,0,0					1		0	
npc_018_zuoqi2	FuncNpc	1	0	1	r012_portrait01	NpcName_018_timu		0,1.2,0				r012|body|r012_body_t1|parta|r012_parta_t1|partb|r012_partb_t1	1.000000			3001303		1	1.960000	0.500000	-0.2,-0.2,1.5	1.000000	0,0,0	0,0,0					1		0	
npc_018_timu1	FuncNpc	1	0	1	r012_portrait01	NpcName_018_timu		0,1.2,0				r012|body|r012_body_t1|partb|r012_partb_t1	1.000000			40028024		0	1.960000	0.500000	-0.2,-0.2,1.5	1.000000	0,0,0	0,0,0					1		0	
npc_018_diaoxiang1	FuncNpc	1	1	1		NpcName_018_diaoxiang1		0,1.2,0				g546|body|g546_body_t2|parta|g546_parta_t1	0.800000			2000002		0	6.600000	2.000000	0,0.3,0.65	1.000000	0,0,0	0,0,0					1		0	
npc_018_diaoxiang1_2	FuncNpc	1	1	1		NpcName_018_diaoxiang1		0,1.2,0				g546|body|g546_body_t2|parta|g546_parta_t1	0.200000			2000002		0	6.600000	2.000000	-0.6,-5,8.1	1.000000	0,0,0	0,0,0					1		0	
npc_018_diaoxiang2	FuncNpc	1	1	1		NpcName_018_diaoxiang2		0,1.2,0				g546|body|g546_body_t1	0.800000			2000002		0	6.600000	2.000000	0,0.3,0.65	1.000000	0,0,0	0,0,0					1		0	
npc_018_diaoxiang2_2	FuncNpc	1	1	1		NpcName_018_diaoxiang2		0,1.2,0				g546|body|g546_body_t1	0.200000			2000002		0	6.600000	2.000000	-0.6,-5,8.1	1.000000	0,0,0	0,0,0					1		0	
npc_018_dapao	FuncNpc	1	0	1				0,1.2,0				g008|body|g008_body_t1	1.000000			403		0	3.000000	2.000000	0,0.3,0.65	1.000000	0,0,0	0,0,0					1		0	
npc_018_xixiliya1	FuncNpc	1	1	1	n007_portrait01	NpcName_10003		0,1.2,0				n007|body|n007_body_t1	1.000000			3000103		1	1.580000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_018_xixiliya2	FuncNpc	1	1	1	n007_portrait01	NpcName_10003		0,1.2,0				n007|body|n007_body_t1	1.000000			3000103		1	1.580000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_018_xixiliya3	FuncNpc	1	1	1	n007_portrait01	NpcName_10003		0,1.2,0				n007|body|n007_body_t1	1.000000			3000103		1	1.580000	0.500000	0,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_018_xsw	FuncNpc	1	1	1	r012_portrait01	NpcName_018_timu		0,1.2,0				r012|body|r012_body_t1|parta|r012_parta_t1|partb|r012_partb_t1	1.000000			3001303		1	1.700000	0.500000	-0.2,-0.2,1.5	1.000000	0,0,0	0,0,0					1		0	
npc_018_xsw2	FuncNpc	1	1	1	r012_portrait01	NpcName_018_timu		0,1.2,0				r012|body|r012_body_t1|parta|r012_parta_t1|partb|r012_partb_t1	1.000000			3001303		1	1.700000	0.500000	-0.2,-0.2,1.5	1.000000	0,0,0	0,0,0					1		0	
npc_018_fushide	FuncNpc	1	1	1	n900_portrait01	NpcName_10083		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_002_mohade	FuncNpc	1	1	1	n906_portrait01	NpcName_10009		0,1.2,0				n906|body|n906_body_t1	0.850000			3001103		0	1.810000	0.500000	-0.1,-0.55,0.3	1.000000	0,0,0	0,0,0					1		0	
npc_003_mohade1	FuncNpc	1	1	1	n906_portrait01	NpcName_10009		0,1.2,0				n906|body|n906_body_t1	0.850000			3001103		0	1.810000	0.500000	-0.1,-0.55,0.3	1.000000	0,0,0	0,0,0					1		0	
npc_003_mohade2	FuncNpc	1	1	1	n906_portrait01	NpcName_10009		0,1.2,0				n906|body|n906_body_t1	0.850000			3001103		0	1.810000	0.500000	-0.1,-0.55,0.3	1.000000	0,0,0	0,0,0					1		0	
npc_018_stone	FuncNpc	1	0	1				0,1.2,0				g133|body|g133_body_t1	0.300000			403		1	0.465000	0.500000	-0.2,0.25,1.3	1.000000	0,0,0	0,0,0					1		0	
npc_018_bottle	FuncNpc	1	0	1		npc_018_bottle		0,1.2,0				g544|body|g544_body_t1	1.000000			403		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_018_moto	FuncNpc	1	0	1		npc_018_moto		0,1.2,0				r010|body|r010_body_t1	1.000000			403		1	1.810000	1.000000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_10007	FuncNpc	1	1	1	n005_portrait01	NpcName_10007	FunctionName_10007	0,1.2,0			1	n005|body|n005_body_t1	1.000000			3003003	60	1	1.390000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_10008	FuncNpc	1	1	1	n001_portrait01	NpcName_10008		0,1.2,0			1	m004|body|m004_body_t1	1.000000			2001002		1	1.450000	0.500000	0,0.3,0.65	1.000000	0,0,0	0,0,0					1		0	
npc_10009	FuncNpc	1	1	1	n001_portrait01	NpcName_10009		0,1.2,0			1	m004|body|m004_body_t1	1.000000			2001002		1	1.450000	0.500000	0,0.3,0.65	1.000000	0,0,0	0,0,0					1		0	
npc_10010	FuncNpc	1	1	1	n001_portrait01	NpcName_10010		0,1.2,0			1	m004|body|m004_body_t1	1.000000			2001002		1	1.450000	0.500000	0,0.3,0.65	1.000000	0,0,0	0,0,0					1		0	
npc_10011	FuncNpc	1	1	1	n006_portrait01	NpcName_10011	FunctionName_10011	0,1.2,0			1	n006|body|n006_body_t1	1.000000			3000103		1	1.700000	0.500000	-0.05,0,-0.3	1.000000	0,0,0	0,0,0					1		0	
npc_10012	FuncNpc	1	1	1	m001_portrait04	NpcName_10012		0,1.2,0				m001|body|m001_body_t4	1.000000			2000002		1	1.200000	0.500000	-0.2,0.25,1.2	1.000000	0,0,0	0,0,0					1		0	
npc_100121	FuncNpc	1	1	1	m001_portrait04	NpcName_10012		0,1.2,0				m001|body|m001_body_t4	1.000000			2000002		1	1.200000	0.500000	-0.2,0.25,1.2	1.000000	0,0,0	0,0,0					1		0	
npc_10013	FuncNpc	1	1	1	m001_portrait01	NpcName_10013		0,1.2,0				m001|body|m001_body_t1	1.000000			2000002		1	1.200000	0.500000	-0.2,0.25,1.2	1.000000	0,0,0	0,0,0					1		0	
npc_10014	FuncNpc	1	1	1	n008_portrait01	NpcName_10014		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10015	FuncNpc	1	1	1	n008_portrait01	NpcName_10015		0,1.2,0				n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10016	FuncNpc	1	1	1	n008_portrait01	NpcName_10016	FunctionName_10016	0,1.2,0			1	n008|body|n008_body_t1	1.000000			3003003		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10017	FuncNpc	1	1	1	n001_portrait01	NpcName_10017		0,1.2,0				m004|body|m004_body_t1	1.000000			2001002		1	1.450000	0.500000	0,0.3,0.65	1.000000	0,0,0	0,0,0					1		0	
npc_10018	FuncNpc	1	1	1	n001_portrait01	NpcName_10018		0,1.2,0				m004|body|m004_body_t1	1.000000			2001002		1	1.450000	0.500000	-0.1,-0.1,0.05	1.000000	0,0,0	0,0,0					1		0	
npc_10019	FuncNpc	1	1	1	n010_portrait01	NpcName_10019	FunctionName_10019	0,1.2,0			1	n010|body|n010_body_t1	1.000000			3001003	60	1	1.600000	0.500000	0,0.05,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_10020	FuncNpc	1	1	1	n009_portrait01	NpcName_10020	FunctionName_10020	0,1.3,0			1	n009|body|n009_body_t1	1.000000			3002003	60	1	1.970000	0.500000	0,-0.1,0.1	1.000000	0,0,0	0,0,0					1		0	
npc_10021	FuncNpc	1	1	1	n008_portrait01	NpcName_10021	FunctionName_10016	0,1.2,0			1	n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10022	FuncNpc	1	1	1	n008_portrait01	NpcName_10022	FunctionName_10022	0,1.2,0			1	n008|body|n008_body_t1	1.000000			3001103		1	1.970000	0.500000	0,-0.1,0	1.000000	0,0,0	0,0,0					1		0	
npc_10023	FuncNpc	1	1	1	n036_portrait01	NpcName_10023		0,1.2,0			1	n036|body|n036_body_t1	1.000000			3003003		1	1.320000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_100231	FuncNpc	1	1	1	n036_portrait01	NpcName_10023		0,1.2,0				n036|body|n036_body_t1	1.000000			3003003		1	1.320000	0.500000	-0.15,0.3,0	1.000000	0,0,0	0,0,0					1		0	
npc_10024	FuncNpc	1	1	1	n038_portrait01	NpcName_10024		0,1.3,0			1	n038|body|n038_body_t3	1.000000			3024003	60	1	1.980000	0.500000	0,-0.08,-0.1	1.000000	0,0,0	0,0,0					1		0	
npc_10025	FuncNpc	1	1	1	n037_portrait01	NpcName_10025		0,1.2,0			1	n037|body|n037_body_t1	1.000000			2000002		1	1.730000	0.500000	-0.05,0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_100251	FuncNpc	1	1	1	n037_portrait01	NpcName_10025		0,1.2,0				n037|body|n037_body_t1	1.000000			2000002		1	1.730000	0.500000	-0.05,0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_10026	FuncNpc	1	1	1	n052_portrait01	NpcName_10026	FunctionName_10026	0,1.2,0			1	n052|body|n052_body_t1	1.000000			3001103		1	1.800000	0.500000	-0.05,0,-0.05	1.000000	0,0,0	0,0,0					1		0	
npc_10027	FuncNpc	1	1	1	n054_portrait01	NpcName_10027	FunctionName_10027	0,1.2,0			1	n054|body|n054_body_t1	1.000000			3005103		1	1.970000	0.500000	0,-0.06,0	1.000000	0,0,0	0,0,0					1		0	
npc_100271	FuncNpc	1	1	1	n900_portrait01	NpcName_10085		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
npc_100272	FuncNpc	1	1	1	n900_portrait01	NpcName_10085		0,1.2,0				n900|body|n900_body_t1	1.000000			3001103		1	1.810000	0.500000	0,-0.05,-0.2	1.000000	0,0,0	0,0,0					1		0	
