流水id	npc编号	品阶等级	当前品阶星级	属性ID	进阶消耗材料	进阶消耗银币	升阶所需玩家等级限制
int	string	int	int	int	string	string	int
Id	NpcId	AdvanceLevel	StarLevel	PropValueId	AdvancedCost	AdvancedCurrencyCost	LevelLimit
1	soldier_npc_10052	1	1	400223001			1
2	soldier_npc_10001	1	1	1300000000			1
3	soldier_npc_10001	1	2	1300000001	item105000000030,4	1,10000	1
4	soldier_npc_10001	1	3	1300000002	item105000000030,8	1,20000	1
5	soldier_npc_10001	1	4	1300000003	item105000000030,12	1,30000	1
6	soldier_npc_10001	1	5	1300000004	item105000000030,18	1,40000	1
7	soldier_npc_10001	2	1	1300000005	item105000000030,24;item105000000031,4	1,50000	21
8	soldier_npc_10001	2	2	1300000006	item105000000030,28;item105000000031,8	1,100000	21
9	soldier_npc_10001	2	3	1300000007	item105000000030,32;item105000000031,12	1,200000	21
10	soldier_npc_10001	2	4	1300000008	item105000000030,36;item105000000031,16	1,300000	21
11	soldier_npc_10001	2	5	1300000009	item105000000030,40;item105000000031,20	1,400000	21
12	soldier_npc_10001	3	1	1300000010	item105000000031,24;item105000000032,4	1,500000	31
13	soldier_npc_10001	3	2	1300000011	item105000000031,28;item105000000032,8	1,1000000	31
14	soldier_npc_10001	3	3	1300000012	item105000000031,32;item105000000032,12	1,2000000	31
15	soldier_npc_10001	3	4	1300000013	item105000000031,36;item105000000032,16	1,3000000	31
16	soldier_npc_10001	3	5	1300000014	item105000000031,40;item105000000032,20	1,4000000	31
17	soldier_npc_10001	4	1	1300000015	item105000000032,24;item105000000033,4	1,5000000	41
18	soldier_npc_10001	4	2	1300000016	item105000000032,28;item105000000033,8	1,6250000	41
19	soldier_npc_10001	4	3	1300000017	item105000000032,32;item105000000033,12	1,7500000	41
20	soldier_npc_10001	4	4	1300000018	item105000000032,36;item105000000033,16	1,8750000	41
21	soldier_npc_10001	4	5	1300000019	item105000000032,40;item105000000033,20	1,10000000	41
22	soldier_npc_10001	5	1	1300000020	item105000000033,24;item105000000034,4	1,12500000	61
23	soldier_npc_10001	5	2	1300000021	item105000000033,28;item105000000034,8	1,15000000	61
24	soldier_npc_10001	5	3	1300000022	item105000000033,32;item105000000034,12	1,17500000	61
25	soldier_npc_10001	5	4	1300000023	item105000000033,36;item105000000034,16	1,20000000	61
26	soldier_npc_10001	5	5	1300000024	item105000000033,40;item105000000034,20	1,22500000	61
27	soldier_npc_10002	1	1	1300000000			1
28	soldier_npc_10002	1	2	1300000001	item105000000030,4	1,10000	1
29	soldier_npc_10002	1	3	1300000002	item105000000030,8	1,20000	1
30	soldier_npc_10002	1	4	1300000003	item105000000030,12	1,30000	1
31	soldier_npc_10002	1	5	1300000004	item105000000030,18	1,40000	1
32	soldier_npc_10002	2	1	1300000005	item105000000030,24;item105000000031,4	1,50000	21
33	soldier_npc_10002	2	2	1300000006	item105000000030,28;item105000000031,8	1,100000	21
34	soldier_npc_10002	2	3	1300000007	item105000000030,32;item105000000031,12	1,200000	21
35	soldier_npc_10002	2	4	1300000008	item105000000030,36;item105000000031,16	1,300000	21
36	soldier_npc_10002	2	5	1300000009	item105000000030,40;item105000000031,20	1,400000	21
37	soldier_npc_10002	3	1	1300000010	item105000000031,24;item105000000032,4	1,500000	31
38	soldier_npc_10002	3	2	1300000011	item105000000031,28;item105000000032,8	1,1000000	31
39	soldier_npc_10002	3	3	1300000012	item105000000031,32;item105000000032,12	1,2000000	31
40	soldier_npc_10002	3	4	1300000013	item105000000031,36;item105000000032,16	1,3000000	31
41	soldier_npc_10002	3	5	1300000014	item105000000031,40;item105000000032,20	1,4000000	31
42	soldier_npc_10002	4	1	1300000015	item105000000032,24;item105000000033,4	1,5000000	41
43	soldier_npc_10002	4	2	1300000016	item105000000032,28;item105000000033,8	1,6250000	41
44	soldier_npc_10002	4	3	1300000017	item105000000032,32;item105000000033,12	1,7500000	41
45	soldier_npc_10002	4	4	1300000018	item105000000032,36;item105000000033,16	1,8750000	41
46	soldier_npc_10002	4	5	1300000019	item105000000032,40;item105000000033,20	1,10000000	41
47	soldier_npc_10002	5	1	1300000020	item105000000033,24;item105000000034,4	1,12500000	61
48	soldier_npc_10002	5	2	1300000021	item105000000033,28;item105000000034,8	1,15000000	61
49	soldier_npc_10002	5	3	1300000022	item105000000033,32;item105000000034,12	1,17500000	61
50	soldier_npc_10002	5	4	1300000023	item105000000033,36;item105000000034,16	1,20000000	61
51	soldier_npc_10002	5	5	1300000024	item105000000033,40;item105000000034,20	1,22500000	61
52	soldier_npc_10003	1	1	1300000000			1
53	soldier_npc_10003	1	2	1300000001	item105000000030,4	1,10000	1
54	soldier_npc_10003	1	3	1300000002	item105000000030,8	1,20000	1
55	soldier_npc_10003	1	4	1300000003	item105000000030,12	1,30000	1
56	soldier_npc_10003	1	5	1300000004	item105000000030,18	1,40000	1
57	soldier_npc_10003	2	1	1300000005	item105000000030,24;item105000000031,4	1,50000	21
58	soldier_npc_10003	2	2	1300000006	item105000000030,28;item105000000031,8	1,100000	21
59	soldier_npc_10003	2	3	1300000007	item105000000030,32;item105000000031,12	1,200000	21
60	soldier_npc_10003	2	4	1300000008	item105000000030,36;item105000000031,16	1,300000	21
61	soldier_npc_10003	2	5	1300000009	item105000000030,40;item105000000031,20	1,400000	21
62	soldier_npc_10003	3	1	1300000010	item105000000031,24;item105000000032,4	1,500000	31
63	soldier_npc_10003	3	2	1300000011	item105000000031,28;item105000000032,8	1,1000000	31
64	soldier_npc_10003	3	3	1300000012	item105000000031,32;item105000000032,12	1,2000000	31
65	soldier_npc_10003	3	4	1300000013	item105000000031,36;item105000000032,16	1,3000000	31
66	soldier_npc_10003	3	5	1300000014	item105000000031,40;item105000000032,20	1,4000000	31
67	soldier_npc_10003	4	1	1300000015	item105000000032,24;item105000000033,4	1,5000000	41
68	soldier_npc_10003	4	2	1300000016	item105000000032,28;item105000000033,8	1,6250000	41
69	soldier_npc_10003	4	3	1300000017	item105000000032,32;item105000000033,12	1,7500000	41
70	soldier_npc_10003	4	4	1300000018	item105000000032,36;item105000000033,16	1,8750000	41
71	soldier_npc_10003	4	5	1300000019	item105000000032,40;item105000000033,20	1,10000000	41
72	soldier_npc_10003	5	1	1300000020	item105000000033,24;item105000000034,4	1,12500000	61
73	soldier_npc_10003	5	2	1300000021	item105000000033,28;item105000000034,8	1,15000000	61
74	soldier_npc_10003	5	3	1300000022	item105000000033,32;item105000000034,12	1,17500000	61
75	soldier_npc_10003	5	4	1300000023	item105000000033,36;item105000000034,16	1,20000000	61
76	soldier_npc_10003	5	5	1300000024	item105000000033,40;item105000000034,20	1,22500000	61
77	soldier_npc_10004	1	1	1300000000			1
78	soldier_npc_10004	1	2	1300000001	item105000000030,4	1,10000	1
79	soldier_npc_10004	1	3	1300000002	item105000000030,8	1,20000	1
80	soldier_npc_10004	1	4	1300000003	item105000000030,12	1,30000	1
81	soldier_npc_10004	1	5	1300000004	item105000000030,18	1,40000	1
