流水	装备潜力值	魔法属性编号	魔法属性等级上限
int	int	int	int
Id	EquipPotential	MagicId	MagicLevelMax
1	20	100004	1
2	20	100005	1
3	20	100006	1
4	20	100022	1
5	20	100023	1
6	20	100024	1
7	20	100025	1
8	20	100026	1
9	20	100027	1
10	20	100040	1
11	20	100041	1
12	20	100042	1
13	20	100043	1
14	20	100044	1
15	20	100045	1
16	20	100046	1
17	20	100047	1
18	20	100048	1
19	20	100049	1
20	20	100050	1
21	20	100051	1
22	20	100052	1
23	20	100053	1
24	20	100054	1
25	20	100055	1
26	20	100056	1
27	20	100057	1
28	20	100058	1
29	20	100059	1
30	20	100060	1
31	20	100061	1
32	20	100062	1
33	20	100063	1
34	20	100064	1
35	20	100065	1
36	20	100066	1
37	20	100067	1
38	20	100068	1
39	20	100069	1
40	20	100070	1
41	20	100071	1
42	20	100072	1
43	20	100073	1
44	20	100074	1
45	20	100075	1
46	20	100076	1
47	20	100077	1
48	20	100078	1
49	20	100079	1
50	20	100080	1
51	20	100081	1
52	20	100082	1
53	20	100083	1
54	20	100084	1
55	20	100085	1
56	20	100086	1
57	20	100087	1
58	20	100088	1
59	20	100089	1
60	20	100090	1
61	20	100091	1
62	20	100092	1
63	30	100004	1
64	30	100005	1
65	30	100006	1
66	30	100022	1
67	30	100023	1
68	30	100024	1
69	30	100025	1
70	30	100026	1
71	30	100027	1
72	30	100040	1
73	30	100041	1
74	30	100042	1
75	30	100043	1
76	30	100044	1
77	30	100045	1
78	30	100046	1
79	30	100047	1
80	30	100048	1
81	30	100049	1
82	30	100050	1
83	30	100051	1
84	30	100052	1
85	30	100053	1
86	30	100054	1
87	30	100055	1
88	30	100056	1
89	30	100057	1
90	30	100058	1
91	30	100059	1
92	30	100060	1
93	30	100061	1
94	30	100062	1
95	30	100063	1
96	30	100064	1
97	30	100065	1
98	30	100066	1
99	30	100067	1
100	30	100068	1
101	30	100069	1
102	30	100070	1
103	30	100071	1
104	30	100072	1
105	30	100073	1
106	30	100074	1
107	30	100075	1
108	30	100076	1
