活动天数	佣兵ID	描述
int	string	string
Day	SoldierId	Desc
1	soldier_npc_10016	UI_Traran_KeepsakeTips
2	soldier_npc_10025	UI_Traran_KeepsakeTips
3	soldier_npc_10017	UI_Traran_KeepsakeTips
4	soldier_npc_10024	UI_Traran_KeepsakeTips
5	soldier_npc_10027	UI_Traran_KeepsakeTips
6	soldier_npc_10020	UI_Traran_KeepsakeTips
7	soldier_npc_10030	UI_Traran_KeepsakeTips
8	soldier_npc_10021	UI_Traran_KeepsakeTips
9	soldier_npc_10050	UI_Traran_KeepsakeTips
10	soldier_npc_10019	UI_Traran_KeepsakeTips
11	soldier_npc_10051	UI_Traran_KeepsakeTips
12	soldier_npc_10018	UI_Traran_KeepsakeTips
13	soldier_npc_10040	UI_Traran_KeepsakeTips
14	soldier_npc_10036	UI_Traran_KeepsakeTips
15	soldier_npc_10042	UI_Traran_KeepsakeTips
16	soldier_npc_10039	UI_Traran_KeepsakeTips
17	soldier_npc_10032	UI_Traran_KeepsakeTips
18	soldier_npc_10022	UI_Traran_KeepsakeTips
19	soldier_npc_10047	UI_Traran_KeepsakeTips
20	soldier_npc_10048	UI_Traran_KeepsakeTips
21	soldier_npc_10049	UI_Traran_KeepsakeTips
22	soldier_npc_10033	UI_Traran_KeepsakeTips
23	soldier_npc_10033	UI_Traran_KeepsakeTips
24	soldier_npc_10033	UI_Traran_KeepsakeTips
25	soldier_npc_10033	UI_Traran_KeepsakeTips
26	soldier_npc_10033	UI_Traran_KeepsakeTips
27	soldier_npc_10033	UI_Traran_KeepsakeTips
28	soldier_npc_10033	UI_Traran_KeepsakeTips
29	soldier_npc_10033	UI_Traran_KeepsakeTips
30	soldier_npc_10033	UI_Traran_KeepsakeTips
31	soldier_npc_10033	UI_Traran_KeepsakeTips
32	soldier_npc_10033	UI_Traran_KeepsakeTips
33	soldier_npc_10033	UI_Traran_KeepsakeTips
34	soldier_npc_10033	UI_Traran_KeepsakeTips
35	soldier_npc_10033	UI_Traran_KeepsakeTips
36	soldier_npc_10033	UI_Traran_KeepsakeTips
37	soldier_npc_10033	UI_Traran_KeepsakeTips
38	soldier_npc_10033	UI_Traran_KeepsakeTips
39	soldier_npc_10033	UI_Traran_KeepsakeTips
40	soldier_npc_10033	UI_Traran_KeepsakeTips
41	soldier_npc_10033	UI_Traran_KeepsakeTips
42	soldier_npc_10033	UI_Traran_KeepsakeTips
43	soldier_npc_10033	UI_Traran_KeepsakeTips
44	soldier_npc_10033	UI_Traran_KeepsakeTips
45	soldier_npc_10033	UI_Traran_KeepsakeTips
46	soldier_npc_10033	UI_Traran_KeepsakeTips
47	soldier_npc_10033	UI_Traran_KeepsakeTips
48	soldier_npc_10033	UI_Traran_KeepsakeTips
49	soldier_npc_10033	UI_Traran_KeepsakeTips
50	soldier_npc_10033	UI_Traran_KeepsakeTips
51	soldier_npc_10033	UI_Traran_KeepsakeTips
52	soldier_npc_10033	UI_Traran_KeepsakeTips
53	soldier_npc_10033	UI_Traran_KeepsakeTips
54	soldier_npc_10033	UI_Traran_KeepsakeTips
55	soldier_npc_10033	UI_Traran_KeepsakeTips
56	soldier_npc_10033	UI_Traran_KeepsakeTips
57	soldier_npc_10033	UI_Traran_KeepsakeTips
58	soldier_npc_10033	UI_Traran_KeepsakeTips
59	soldier_npc_10033	UI_Traran_KeepsakeTips
60	soldier_npc_10033	UI_Traran_KeepsakeTips
61	soldier_npc_10033	UI_Traran_KeepsakeTips
62	soldier_npc_10033	UI_Traran_KeepsakeTips
63	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
64	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
65	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
66	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
67	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
68	soldier_npc_10033,soldier_npc_10038	UI_Traran_KeepsakeTips,UI_Traran_KeepsakeTips
