事件ID	事件类型	事件背景图	对话组	选项语言包	选项对话组	选项消耗
int	int	string	int	string	string	string
ID	EventType	BackGround	EventTalk	ChoiceName	ChoiceTalk	ChoiceCost
1	1		10010			
2	1		10020			
3	2		10030	SailChoiceName00301;SailChoiceName00302;SailChoiceName00303	10031;10032;10033	0;0;item1000,10
4	1		10040			
5	1		10050			
6	2		10060	SailChoiceName00601;SailChoiceName00602;SailChoiceName00603		
7	2		2	SailChoiceName00701;SailChoiceName00702;SailChoiceName00703	10071;0;0	0;0;item1000,1000
15	4		150	ChoiceName151;ChoiceName152	151;152	0;0
16	5		160		161	
41	1		1410			
42	1		1420			
43	1		1430			
44	1		1440			
45	1		1450			
46	1		1460			
47	1		1470			
48	1		1480			
49	1		1490			
50	1		1500			
51	1		1510			
52	1		1520			
53	1		1530			
54	1		1540			
55	1		1550			
56	1		1560			
57	1		1570			
58	1		1580			
59	1		1590			
60	1		1600			
61	1		1610			
62	1		1620			
63	1		1630			
64	1		1640			
65	1		1650			
66	1		1660			
67	1		1670			
68	1		1680			
69	1		1690			
70	1		1700			
101	1		0			
102	1		0			
103	1		0			
104	1		0			
105	1		0			
106	1		0			
107	1		0			
108	1		0			
109	1		0			
110	1		0			
111	1		0			
112	1		0			
113	1		0			
114	1		0			
115	1		0			
116	1		0			
117	1		0			
118	1		0			
119	1		0			
120	1		0			
121	1		0			
122	1		0			
123	1		0			
124	1		0			
125	1		0			
126	1		0			
127	1		0			
128	1		0			
129	1		0			
130	1		0			
131	1		0			
132	1		0			
133	1		0			
134	1		0			
135	1		0			
136	1		0			
137	1		0			
138	1		0			
139	1		0			
140	1		0			
141	1		0			
142	1		0			
143	1		0			
144	1		0			
145	1		0			
146	1		0			
147	1		0			
148	1		0			
149	1		0			
150	1		0			
151	1		0			
152	1		0			
153	1		0			
154	1		0			
155	1		0			
156	1		0			
157	1		0			
158	1		0			
159	1		0			
160	1		0			
161	1		0			
162	1		0			
163	1		0			
164	1		0			
165	1		0			
166	1		0			
167	1		0			
168	1		0			
169	1		0			
170	1		0			
999	1		9990			
1001	2		10010	ChoiceName10011;ChoiceName10012	10011;10012	0;0
1002	2		10020	ChoiceName10021;ChoiceName10022	10021;10022	0;0
1003	2		10030	ChoiceName10031;ChoiceName10032	10031;10032	0;0
1004	2		10040	ChoiceName10041;ChoiceName10042	10041;10042	0;0
1005	2		10050	ChoiceName10051;ChoiceName10052	10051;10052	0;0
