可捐献道具ID	可捐献类型ID	捐献道具数量	对应圣能点	对应转换器个数	捐献提示
string	int	int	int	int	bool
Id	TypeId	Num	GetPoint	ConvertorNum	RemindType
item108100101202	101	20	66	1	0
item108100101102	101	20	66	1	0
item108100102102	101	20	66	1	0
item108100102202	101	20	66	1	0
item108100101203	101	20	78	1	0
item108100101103	101	20	78	1	0
item108100102103	101	20	78	1	0
item108100102203	101	20	78	1	0
item108100101204	101	20	90	1	0
item108100101104	101	20	90	1	0
item108100102104	101	20	90	1	0
item108100102204	101	20	90	1	0
item108100101205	111	20	108	1	0
item108100101105	111	20	108	1	0
item108100102105	111	20	108	1	0
item108100102205	111	20	108	1	0
item108100101206	111	20	126	1	0
item108100101106	111	20	126	1	0
item108100102106	111	20	126	1	0
item108100102206	111	20	126	1	0
item108100101207	111	20	144	1	0
item108100101107	111	20	144	1	0
item108100102107	111	20	144	1	0
item108100102207	111	20	144	1	0
item108100101108	111	20	144	1	0
item108100101208	111	20	144	1	0
item108100102108	111	20	144	1	0
item108100102208	111	20	144	1	0
item108100101109	111	20	162	1	0
item108100101209	111	20	162	1	0
item108100102109	111	20	162	1	0
item108100102209	111	20	162	1	0
item108100103051	101	10	80	1	0
item108100103351	101	10	80	1	0
item108100103151	101	10	80	1	0
item108100103251	101	10	80	1	0
item108100103052	101	10	128	1	0
item108100103352	101	10	128	1	0
item108100103152	101	10	128	1	0
item108100103252	101	10	128	1	0
item108100103053	111	10	168	1	0
item108100103353	111	10	168	1	0
item108100103153	111	10	168	1	0
item108100103253	111	10	168	1	0
item108100103054	111	10	208	1	0
item108100103354	111	10	208	1	0
item108100103154	111	10	208	1	0
item108100103254	111	10	208	1	0
item107000030101	102	1	30	1	0
item107000030102	102	1	30	1	0
item107000030103	102	1	30	1	0
item107000030201	102	1	30	1	0
item107000030202	102	1	30	1	0
item107000030203	102	1	30	1	0
item107000030301	102	1	30	1	0
item107000030302	102	1	30	1	0
item107000030303	102	1	30	1	0
item107000041101	102	1	75	1	0
item107000041102	102	1	75	1	0
item107000041103	102	1	75	1	0
item107000041104	102	1	75	1	0
item107000041201	102	1	75	1	0
item107000041202	102	1	75	1	0
item107000041203	102	1	75	1	0
item107000041204	102	1	75	1	0
item107000041301	102	1	75	1	0
item107000041302	102	1	75	1	0
item107000041303	102	1	75	1	0
item107000041304	102	1	75	1	0
item107000041305	102	1	75	1	0
item107000042102	102	1	180	1	0
item107000042202	102	1	180	1	0
item107000042301	102	1	180	1	0
item107000042101	102	1	180	1	0
item107000042103	102	1	180	1	0
item107000042201	102	1	180	1	0
item107000042203	102	1	180	1	0
item107000042302	102	1	180	1	0
item107000042303	102	1	180	1	0
item107000042104	102	1	180	1	0
item107000043101	102	1	360	1	0
item107000043102	102	1	360	1	0
item107000043103	102	1	360	1	0
item107000043201	102	1	360	1	0
item107000043202	102	1	360	1	0
item107000043203	102	1	360	1	0
item107000043301	102	1	360	1	0
item107000043302	102	1	360	1	0
item107000043303	102	1	360	1	0
item127000041305	102	1	60	1	0
item127000042101	102	1	144	1	0
item127000042201	102	1	144	1	0
item127000042302	102	1	144	1	0
item127000042103	102	1	144	1	0
item127000042203	102	1	144	1	0
item127000042303	102	1	144	1	0
item107000051102	112	1	720	1	1
item107000051302	112	1	720	1	1
item107000051301	112	1	720	1	1
item107000051101	112	1	720	1	1
item107000051202	112	1	720	1	1
item107000051201	112	1	720	1	1
item107000051203	112	1	720	1	1
item117000051305	112	1	720	1	1
item107000051103	112	1	720	1	1
item107000051204	112	1	720	1	1
item107000051303	112	1	720	1	1
item107000051205	112	1	720	1	1
item107000052101	112	1	1080	1	1
item107000052102	112	1	1080	1	1
item107000052103	112	1	1080	1	1
item107000052201	112	1	1080	1	1
item107000052202	112	1	1080	1	1
item107000052203	112	1	1080	1	1
item107000052301	112	1	1080	1	1
item107000052302	112	1	1080	1	1
item107000052303	112	1	1080	1	1
item117000052101	112	1	1080	1	1
item117000052103	112	1	1080	1	1
item117000052201	112	1	1080	1	1
item117000052203	112	1	1080	1	1
item117000052302	112	1	1080	1	1
item117000052303	112	1	1080	1	1
item107000052104	112	1	1080	1	1
item107000052204	112	1	1080	1	1
