效果id	效果类型	品质	名称	效果描述	图标	持续生效事件格数	枚举类型	效果参数
int	int	int	string	string	string	int	string	string
ID	Type	Level	Name	EffectDes	Icon	KeepTime	EffectType	EffectParam
101	1	1	ItemName_20000000000001	ItemDes_20000000000001	item_20000000000001	-1	1	0,1,skill40401::buff_07,1
102	1	1	ItemName_20000000000002	ItemDes_20000000000002	item_20000000000002	-1	27	5000
103	1	2	ItemName_20000000000003	ItemDes_20000000000003	item_20000000000003	-1	1|1|1|3	6,3,skill40401::buff_08_moster,1|7,3,skill40401::buff_08_moster,1|0,4,skill40401::buff_08_player,1|0,1000|0,150
104	1	2	ItemName_20000000000004	ItemDes_20000000000004	item_20000000000004	-1	10	2,4
105	1	2	ItemName_20000000000005	ItemDes_20000000000005	item_20000000000005	-1	11	
106	1	3	ItemName_20000000000006	ItemDes_20000000000006	item_20000000000006	-1	12	9000
107	1	3	ItemName_20000000000007	ItemDes_20000000000007	item_20000000000007	-1	13	1800
108	1	3	ItemName_20000000000008	ItemDes_20000000000008	item_20000000000008	-1	14	2,2000
201	2	1	ItemName_21000000000001	ItemDes_21000000000001	item_21000000000001	-1	1|1	0,4,skill40401::buff_04,1|0,4,skill40400::buff_01,1
202	2	2	ItemName_21000000000002	ItemDes_21000000000002	item_21000000000002	-1	1|1	0,4,skill40401::buff_05,1|0,4,skill40400::buff_02,1
203	2	3	ItemName_21000000000003	ItemDes_21000000000003	item_21000000000003	-1	1|1	0,4,skill40401::buff_06,1|0,4,skill40400::buff_03,1
204	2	1	ItemName_21000000000004	ItemDes_21000000000004	item_21000000000004	-1	1|1	0,4,skill40401::buff_04,1|0,4,skill40400::buff_04,1
205	2	2	ItemName_21000000000005	ItemDes_21000000000005	item_21000000000005	-1	1|1	0,4,skill40401::buff_05,1|0,4,skill40400::buff_05,1
206	2	3	ItemName_21000000000006	ItemDes_21000000000006	item_21000000000006	-1	1|1	0,4,skill40401::buff_06,1|0,4,skill40400::buff_06,1
207	2	1	ItemName_21000000000007	ItemDes_21000000000007	item_21000000000007	-1	1|1	0,4,skill40401::buff_04,1|0,4,skill40400::buff_07,1
208	2	2	ItemName_21000000000008	ItemDes_21000000000008	item_21000000000008	-1	1|1	0,4,skill40401::buff_05,1|0,4,skill40400::buff_08,1
209	2	3	ItemName_21000000000009	ItemDes_21000000000009	item_21000000000009	-1	1|1	0,4,skill40401::buff_06,1|0,4,skill40400::buff_09,1
210	2	2	ItemName_21000000000010	ItemDes_21000000000010	item_21000000000010	-1	1|1	0,4,skill40401::buff_05,1|0,4,skill40400::buff_10,1
211	2	3	ItemName_21000000000011	ItemDes_21000000000011	item_21000000000011	-1	1|1	0,4,skill40401::buff_06,1|0,4,skill40400::buff_11,1
212	2	2	ItemName_21000000000012	ItemDes_21000000000012	item_21000000000012	-1	1|1	0,4,skill40401::buff_05,1|0,4,skill40400::buff_12,1
213	2	3	ItemName_21000000000013	ItemDes_21000000000013	item_21000000000013	-1	1|1	0,4,skill40401::buff_06,1|0,4,skill40400::buff_13,1
214	2	1	ItemName_21000000000014	ItemDes_21000000000014	item_21000000000014	-1	1|1	0,4,skill40401::buff_04,1|0,4,skill40400::buff_14,1
215	2	2	ItemName_21000000000015	ItemDes_21000000000015	item_21000000000015	-1	1|1	0,4,skill40401::buff_05,1|0,4,skill40400::buff_15,1
216	2	3	ItemName_21000000000016	ItemDes_21000000000016	item_21000000000016	-1	1|1	0,4skill40401::buff_06,1|0,4,skill40400::buff_16,1
217	2	2	ItemName_21000000000017	ItemDes_21000000000017	item_21000000000017	-1	1|1	0,4,skill40401::buff_05,1|0,4,skill40400::buff_17,1
218	2	3	ItemName_21000000000018	ItemDes_21000000000018	item_21000000000018	-1	1|1	0,4,skill40401::buff_06,1|0,4,skill40400::buff_18,1
219	2	3	ItemName_21000000000019	ItemDes_21000000000019	item_21000000000019	-1	1|15	0,4,skill40401::buff_06,1|
220	2	3	ItemName_21000000000020	ItemDes_21000000000020	item_21000000000020	-1	1|16	0,4,skill40401::buff_06,1|
221	2	3	ItemName_21000000000021	ItemDes_21000000000021	item_21000000000021	-1	1	0,4skill40401::buff_06,1
222	2	1	ItemName_21000000000022	ItemDes_21000000000022	item_21000000000022	-1	1|25|1	0,4,skill40401::buff_04,1|1|0,4,skill40400::buff_19,1
223	2	1	ItemName_21000000000023	ItemDes_21000000000023	item_21000000000023	-1	1|25|1	0,4,skill40401::buff_04,1|6|0,4,skill40400::buff_20,1
224	2	1	ItemName_21000000000024	ItemDes_21000000000024	item_21000000000024	-1	1|25|1	0,4,skill40401::buff_04,1|4|0,4,skill40400::buff_21,1
225	2	1	ItemName_21000000000025	ItemDes_21000000000025	item_21000000000025	-1	1|25|1	0,4,skill40401::buff_04,1|2|0,4,skill40400::buff_22,1
226	2	1	ItemName_21000000000026	ItemDes_21000000000026	item_21000000000026	-1	1|25|1	0,4,skill40401::buff_04,1|3|0,4,skill40400::buff_23,1
227	2	1	ItemName_21000000000027	ItemDes_21000000000027	item_21000000000027	-1	1|25|1	0,4,skill40401::buff_04,1|5|0,4,skill40400::buff_24,1
228	2	3	ItemName_21000000000028	ItemDes_21000000000028	item_21000000000028	-1	1|17	0,4,skill40401::buff_06,3|310
229	2	3	ItemName_21000000000029	ItemDes_21000000000029	item_21000000000029	-1	1|1	0,4,skill40401::buff_06,3|0,4,skill40400::buff_25,1
230	2	3	ItemName_21000000000030	ItemDes_21000000000030	item_21000000000030	-1	1|1	0,4,skill40401::buff_06,3|0,4,skill40400::buff_26,1
231	2	1	ItemName_21000000000031	ItemDes_21000000000031	item_21000000000031	-1	1|18	0,4,skill40401::buff_04,1|26080
232	2	2	ItemName_21000000000032	ItemDes_21000000000032	item_21000000000032	10	1|19	0,4,skill40401::buff_05,2|26110
233	2	3	ItemName_21000000000033	ItemDes_21000000000033	item_21000000000033	-1	1|20	0,4,skill40401::buff_06,3|
301	3	0	buffname_skill40400_buff27	buffdes_skill40400_buff27_1	bigdebuff_9013	2	1|21	0,4,skill40400::buff_27,1
302	3	0	buffname_skill40400_buff28	buffdes_skill40400_buff28_1	bigdebuff_9013	4	1|21	0,4,skill40400::buff_28,1
303	3	0	buffname_skill40400_buff43	buffdes_skill40400_buff43	bigdebuff_9035	-1	22	sceneid
304	3	0	buffname_skill40400_buff29	buffdes_skill40400_buff29	bigdebuff_9036	5	1	0,1,skill40400::buff_29,1
305	3	0	buffname_skill40400_buff44	buffdes_skill40400_buff44	bigdebuff_9037	5	23	8000
306	3	0	buffname_skill40400_buff30	buffdes_skill40400_buff30	bigdebuff_9020	10	1	0,2,skill40400::buff_30,1
307	3	0	buffname_skill40400_buff45	buffdes_skill40400_buff45	bigdebuff_9038	5	26	2000
308	3	0	buffname_skill40400_buff31	buffdes_skill40400_buff31	bigdebuff_9036	5	1	0,2,skill40400::buff_31,1
309	3	0	buffname_skill40400_buff46	buffdes_skill40400_buff46	bigdebuff_9037	-1	24	6000
310	3	0	buffname_skill40400_buff42	buffdes_skill40400_buff42	bigdebuff_9013	-1	1|21	0,4,skill40400::buff_42,1
401	4	0	buffname_skill40400_buff32	buffdes_skill40400_buff32	bigbuff_monster_25	-1	1|1	6,3,skill40400::buff_32,1|7,3,skill40400::buff_32,1
402	4	0	buffname_skill40400_buff33	buffdes_skill40400_buff33	bigbuff_9116	-1	1	0,2,skill40400::buff_33,1
403	4	0	buffname_skill40400_buff34	buffdes_skill40400_buff34	bigbuff_monster_26	-1	1	0,3,skill40400::buff_34,1
404	4	0	buffname_skill40400_buff35	buffdes_skill40400_buff35	bigbuff_monster_27	-1	1	0,3,skill40400::buff_35,1
405	4	0	buffname_skill40400_buff36	buffdes_skill40400_buff36	bigbuff_9059	-1	1	0,2,skill40400::buff_36,1
406	4	0	buffname_skill40400_buff37	buffdes_skill40400_buff37	bigbuff_9117	-1	1|1|1	0,1,skill40400::buff_37,1|0,2,skill40400::buff_37,1|0,3,skill40400::buff_37,1
407	4	0	buffname_skill40400_buff38	buffdes_skill40400_buff38	bigbuff_monster_28	-1	1	8,3,skill40400::buff_38,1
408	4	0	buffname_skill40400_buff39	buffdes_skill40400_buff39	bigbuff_9118	-1	1	0,2,skill40400::buff_39,1
409	4	0	buffname_skill40400_buff40	buffdes_skill40400_buff40	bigbuff_9119	-1	1	0,2,skill40400::buff_40,1
410	4	0	buffname_skill40400_buff41	buffdes_skill40400_buff41	bigbuff_9120	-1	1	0,2,skill40400::buff_41,1
