流水ID	道具ID	等级	六维1显示	六维2显示	六维3显示	六维4显示	六维5显示	六维6显示	属性	升级消耗道具	升级消耗货币
int	string	int	int	int	int	int	int	int	string	string	string
Id	ItemId	Level	SixDimensions1	SixDimensions2	SixDimensions3	SixDimensions4	SixDimensions5	SixDimensions6	Attr	Consume	CurrencyCost
1	item175000120001	1	0	15	0	0	0	0		item175000120001,2	1,10000
2	item175000120001	2	0	30	0	0	0	0		item175000120001,3	1,50000
3	item175000120001	3	0	45	0	0	0	0		item175000120001,4	1,100000
4	item175000120001	4	0	60	0	0	0	0		item175000120001,5	1,200000
5	item175000120001	5	0	75	0	0	0	0		item175000120001,6	1,300000
6	item175000120001	6	0	90	0	0	0	0		item175000120001,7	1,500000
7	item175000120001	7	0	105	0	0	0	0		item175000120001,8	1,800000
8	item175000120001	8	0	120	0	0	0	0		item175000120001,9	1,1000000
9	item175000120001	9	0	135	0	0	0	0		item175000120001,10	1,1500000
10	item175000120001	10	0	150	0	0	0	0			
11	item175000120002	1	0	0	0	15	0	0		item175000120002,2	1,10000
12	item175000120002	2	0	0	0	30	0	0		item175000120002,3	1,50000
13	item175000120002	3	0	0	0	45	0	0		item175000120002,4	1,100000
14	item175000120002	4	0	0	0	60	0	0		item175000120002,5	1,200000
15	item175000120002	5	0	0	0	75	0	0		item175000120002,6	1,300000
16	item175000120002	6	0	0	0	90	0	0		item175000120002,7	1,500000
17	item175000120002	7	0	0	0	105	0	0		item175000120002,8	1,800000
18	item175000120002	8	0	0	0	120	0	0		item175000120002,9	1,1000000
19	item175000120002	9	0	0	0	135	0	0		item175000120002,10	1,1500000
20	item175000120002	10	0	0	0	150	0	0			
21	item175000130001	1	0	21	0	0	0	9		item175000130001,2	1,10000
22	item175000130001	2	0	42	0	0	0	18		item175000130001,3	1,50000
23	item175000130001	3	0	63	0	0	0	27		item175000130001,4	1,100000
24	item175000130001	4	0	84	0	0	0	36		item175000130001,5	1,200000
25	item175000130001	5	0	105	0	0	0	45		item175000130001,6	1,300000
26	item175000130001	6	0	126	0	0	0	54		item175000130001,7	1,500000
27	item175000130001	7	0	147	0	0	0	63		item175000130001,18	1,800000
28	item175000130001	8	0	168	0	0	0	72		item175000130001,18	1,1000000
29	item175000130001	9	0	189	0	0	0	81		item175000130001,20	1,1500000
30	item175000130001	10	0	210	0	0	0	90			
31	item175000130002	1	0	0	0	21	0	9		item175000130002,2	1,10000
32	item175000130002	2	0	0	0	42	0	18		item175000130002,3	1,50000
33	item175000130002	3	0	0	0	63	0	27		item175000130002,4	1,100000
34	item175000130002	4	0	0	0	84	0	36		item175000130002,5	1,200000
35	item175000130002	5	0	0	0	105	0	45		item175000130002,6	1,300000
36	item175000130002	6	0	0	0	126	0	54		item175000130002,7	1,500000
37	item175000130002	7	0	0	0	147	0	63		item175000130002,18	1,800000
38	item175000130002	8	0	0	0	168	0	72		item175000130002,18	1,1000000
39	item175000130002	9	0	0	0	189	0	81		item175000130002,20	1,1500000
40	item175000130002	10	0	0	0	210	0	90			
41	item175000130003	1	0	0	0	21	9	0		item175000130003,2	1,10000
42	item175000130003	2	0	0	0	42	18	0		item175000130003,3	1,50000
43	item175000130003	3	0	0	0	63	27	0		item175000130003,4	1,100000
44	item175000130003	4	0	0	0	84	36	0		item175000130003,5	1,200000
45	item175000130003	5	0	0	0	105	45	0		item175000130003,6	1,300000
46	item175000130003	6	0	0	0	126	54	0		item175000130003,7	1,500000
47	item175000130003	7	0	0	0	147	63	0		item175000130003,18	1,800000
48	item175000130003	8	0	0	0	168	72	0		item175000130003,18	1,1000000
49	item175000130003	9	0	0	0	189	81	0		item175000130003,20	1,1500000
50	item175000130003	10	0	0	0	210	90	0			
51	item175000130004	1	0	21	0	0	9	0		item175000130004,2	1,10000
52	item175000130004	2	0	42	0	0	18	0		item175000130004,3	1,50000
