流水	格子	等级下限	等级上限	掉落库	捐献奖励	资助奖励
int	int	int	int	int	string	string
Order	ID	Min	Max	Drop	Reward1	Reward2
1	1	30	40	20021	item1003,10;item2001,7000;item3001,2000	item1003,10
2	2	30	40	20023	item1003,20;item2001,14000;item3001,4000	item1003,20
3	3	30	40	20021	item1003,10;item2001,7000;item3001,2000	item1003,10
4	4	30	40	20025	item1003,30;item2001,21000;item3001,6000	item1003,30
5	5	30	40	20023	item1003,20;item2001,14000;item3001,4000	item1003,20
6	6	30	40	20026	item1003,20;item2001,14000;item3001,4000	item1003,20
7	7	30	40	20025	item1003,30;item2001,21000;item3001,6000	item1003,30
8	8	30	40	20023	item1003,20;item2001,14000;item3001,4000	item1003,20
9	1	41	50	20021	item1003,10;item2001,9000;item3001,2000	item1003,10
10	2	41	50	20023	item1003,20;item2001,18000;item3001,4000	item1003,20
11	3	41	50	20021	item1003,10;item2001,9000;item3001,2000	item1003,10
12	4	41	50	20025	item1003,30;item2001,27000;item3001,6000	item1003,30
13	5	41	50	20023	item1003,20;item2001,18000;item3001,4000	item1003,20
14	6	41	50	20026	item1003,20;item2001,18000;item3001,4000	item1003,20
15	7	41	50	20025	item1003,30;item2001,27000;item3001,6000	item1003,30
16	8	41	50	20023	item1003,20;item2001,18000;item3001,4000	item1003,20
17	1	51	60	20021	item1003,10;item2001,11000;item3001,2000	item1003,10
18	2	51	60	20023	item1003,20;item2001,22000;item3001,4000	item1003,20
19	3	51	60	20021	item1003,10;item2001,11000;item3001,2000	item1003,10
20	4	51	60	20025	item1003,30;item2001,33000;item3001,6000	item1003,30
21	5	51	60	20023	item1003,20;item2001,22000;item3001,4000	item1003,20
22	6	51	60	20026	item1003,20;item2001,22000;item3001,4000	item1003,20
23	7	51	60	20025	item1003,30;item2001,33000;item3001,6000	item1003,30
24	8	51	60	20023	item1003,20;item2001,22000;item3001,4000	item1003,20
25	1	61	64	20021	item1003,10;item2001,13000;item3001,2000	item1003,10
26	2	61	64	20023	item1003,20;item2001,26000;item3001,4000	item1003,20
27	3	61	64	20021	item1003,10;item2001,13000;item3001,2000	item1003,10
28	4	61	64	20025	item1003,30;item2001,39000;item3001,6000	item1003,30
29	5	61	64	20023	item1003,20;item2001,26000;item3001,4000	item1003,20
30	6	61	64	20026	item1003,20;item2001,26000;item3001,4000	item1003,20
31	7	61	64	20025	item1003,30;item2001,39000;item3001,6000	item1003,30
32	8	61	64	20023	item1003,20;item2001,26000;item3001,4000	item1003,20
33	1	64	70	20021	item1003,10;item2001,15000;item3001,2000;item171000101071,1	item1003,10
34	2	65	70	20023	item1003,20;item2001,30000;item3001,4000	item1003,20
35	3	64	70	20021	item1003,10;item2001,15000;item3001,2000;item171000101071,1	item1003,10
36	4	65	70	20025	item1003,30;item2001,45000;item3001,6000	item1003,30
37	5	65	70	20023	item1003,20;item2001,30000;item3001,4000	item1003,20
38	6	65	70	20026	item1003,20;item2001,30000;item3001,4000	item1003,20
39	7	65	70	20025	item1003,30;item2001,45000;item3001,6000	item1003,30
40	8	65	70	20023	item1003,20;item2001,30000;item3001,4000	item1003,20
41	1	71	80	20021	item1003,10;item2001,15000;item3001,2000;item171000101071,1	item1003,10
42	2	71	80	20023	item1003,20;item2001,30000;item3001,4000	item1003,20
43	3	71	80	20021	item1003,10;item2001,15000;item3001,2000;item171000101071,1	item1003,10
44	4	71	80	20025	item1003,30;item2001,45000;item3001,6000	item1003,30
