主任务ID	主任务类型	任务二级分类	任务组	任务等级	主角等级	等级上限	限制职业	接取场景	接取NPC	接取坐标	触发范围	互斥任务	前置任务	前置任务组合类型	自动接取任务关联	判断进度条显示	鎏光特效显示	脚本接口	是否可放弃	显示图片	标题	内容	故事	任务难度	任务完成时间检查条件	世界任务内容	探索ID	副本任务标识
int	int	int	int	int	int	int	string	int	string	vector3	int	string	string	int	bool	int	string	string	bool	string	string	string	string	int	string	string	int	int
Id	Type	Label	TaskGroup	TaskLevel	Level	MaxLevel	Vocations	AcceptScene	AcceptNpc	Pos	Scope	ExcludeList	PreList	PreListType	ShowCanAccept	ShowProgressBar	ShowLightEffect	LuaScript	IsGiveUp	Picture	AcceptTaskName	AcceptTaskContent	AcceptTaskStory	Difficulty	FinishTimeBeyond	WorldTaskContent	ExploreId	LevelTaskSign
121010	3	0	0	10	16	110		1		-67.5, -4.4, -66.5	6		10200035	0	1	0		task/task121010.lua	0		AcceptTaskName121010			0			0	0
121020	3	0	0	10	16	110		1		-59.5, -4.4, -38.6	6		10200035	0	1	0		task/task121020.lua	0		AcceptTaskName121020			0			0	0
121030	3	0	0	10	16	110		1		40.1,-0.4,14.1	13		10200035	0	1	0		task/task121030.lua	0					0			0	0
121040	3	0	0	10	16	110		1		-45.5,-5.0,-16.5	13		10200035	0	1	0		task/task121040.lua	0					1			0	0
121050	3	0	0	10	16	110		1		47.6, 3.8, 42.8	13		10200035	0	1	0		task/task121050.lua	0					2			0	0
121060	3	0	0	10	16	110		1		40.7,-5.1,-49.2	13		10200035	0	1	0		task/task121060.lua	0					0			0	0
121070	3	0	0	10	16	110		1		-15.9,-0.5,61.4	13		10200035	0	1	0		task/task121070.lua	0					1			0	0
121080	3	0	0	10	20	110		1		61.1, 4.0, 56.4	10		10200070	0	1	0		task/task121080.lua	0					2			0	0
121090	3	0	0	10	16	110		1		14.1, -5.1, -52.1	6		10200035	0	1	0		task/task121090.lua	0					0			0	0
121100	3	0	0	10	16	110		1		-45.6, -0.6, 41.8	10		10200035	0	1	0		task/task121100.lua	0					0			0	0
121110	3	0	0	10	16	110		1		15.2,-0.4,34.6	10		10200035	0	1	0		task/task121110.lua	0					2			0	0
121120	3	0	0	10	16	110		1		-35.3,-5.0,-34.3	6		10200070	0	1	0		task/task121120.lua	0					1			0	0
121130	3	0	0	10	16	110		1		-30.1, -3.2, -28.4	6		10200035	0	1	0		task/task121130.lua	0					0			0	0
121140	3	0	0	10	16	110		1		35.2,-0.4,-78.3	6		10200035	0	1	0		task/task121140.lua	0					0			0	0
