ID	场景特效资源ID	场景资源ID	目标坐标
int	int	string	vector3
Id	EffectID	Resource	Pos
1	10000035		-86.3,100,87.2
2	10000035		66.72,100,-49.57
3	10000035		84.45,100,-70
4	10000035		67.8,100,-65.6
5	10000035		-95.1,100,-29.6
6	10000035		-21.11,100,-71.8
7	0	900033_assist	-86.3,100,87.2
8	0	900033_assist	66.72,100,-49.57
9	0	900033_assist	84.45,100,-70
10	0	900033_assist	67.8,100,-65.6
11	0	900033_assist	-95.1,100,-29.6
12	0	900033_assist	-21.11,100,-71.8
13	10000049		66.72,100,-49.57
14	10000049		84.45,100,-70
15	10000049		67.8,100,-65.6
16	10000049		-95.1,100,-29.6
17	11008		66.72,100,-49.57
18	11008		84.45,100,-70
19	11008		-86.3,100,87.2
20	11008		67.8,100,-65.6
21	11008		-95.1,100,-29.6
22	11008		-21.11,100,-71.8
23	10000049		-21.11,100,-71.8
24	11017		66.72,100,-49.57
25	11008		67.8,100,-65.6
26	11008		-95.1,100,-29.6
27	11008		-21.11,100,-71.8
28	11008		-73.8,100,52.4
29	11008		-73.8,100,52.4
30	11008		-73.8,100,52.4
31	11008		-73.8,100,52.4
32	11008		91,100,87.9
33	11008		91,100,87.9
34	11008		91,100,87.9
35	11008		91,100,87.9
36	11008		-42.51389,100,52.15452
37	11008		-42.51389,100,52.15453
38	11008		-42.51389,100,52.15454
39	11008		-42.51389,100,52.15455
40	11008		-42.51389,100,52.15456
41	10000049		-73.8,100,52.4
