ID	场景id	阻挡类型	阻挡信息	防卡死点	阻挡对象Avatar	动作集	出现播放动作	消失播放动作
int	int	int	string	vector3	string	int	int	int
Id	SceneId	BlockType	Block	SafePoint	Avatar	ActionSet	OpenActionID	EndActionID
10001	10010	1	-58.8,-22.19,16,2,-30	-58.1,-5.1,-23.5		2	12	11
10002	10010	1	-69.8,7.7,30,3,29.5			2	12	11
10003	10010	1	-25.8,25.10,5,2,270	-28.2,5,24.3		2	12	11
10004	10010	1	-11.1,45.4,10,2,57.6			2	12	11
10005	10010	1	8.53,57.29,10,2,52.1			0	0	0
10006	10010	2	81.1,94.4,1.5			0	0	0
10007	10010	1	-26.9,25.28,7.83,0.92,270	8.1,6.4,55.5		0	0	0
10011	10009	2	18.9,2.8,3			0	0	0
90005	90005	1	3.7,5.0,8,8,300			0	0	0
