编号	类型	图纸ID	图纸数量	分组标签	排序	合成道具	合成数量	合成需求货币	货币数量	需求材料1	材料1数量	材料1等级	需求材料2	材料2数量	材料2等级	需求材料3	材料3数量	材料3等级	需求材料4	材料4数量	材料4等级	需求材料5	材料5数量	材料5等级
string	int	string	int	int	int	string	int	int	int	string	int	int	string	int	int	string	int	int	string	int	int	string	int	int
Id	Type	BlueprintId	BlueprintNum	Label	Sort	ItemId	MakeNum	DemandCurrencyType	DemandCurrenyNum	DemandItem1	DemandNum1	DemandLevel1	DemandItem2	DemandNum2	DemandLevel2	DemandItem3	DemandNum3	DemandLevel3	DemandItem4	DemandNum4	DemandLevel4	DemandItem5	DemandNum5	DemandLevel5
9301020540001	6		0	1	1	equip301020541001	1	1	200000	item103015110401	5	1	item108100103151	5	1	item108100102102	15	1		0	0		0	0
9301020540002	6		0	1	2	equip301020541002	1	1	200000	item103015110401	5	1	item108100103151	5	1	item108100102102	15	1		0	0		0	0
9301020540003	6		0	1	3	equip301020541003	1	1	200000	item103015110401	5	1	item108100103151	5	1	item108100102102	15	1		0	0		0	0
9301020540004	6		0	1	4	equip301020541004	1	1	200000	item103015110401	5	1	item108100103151	5	1	item108100102102	15	1		0	0		0	0
9301020540005	6		0	1	5	equip301020541005	1	1	200000	item103015110401	5	1	item108100103151	5	1	item108100102102	15	1		0	0		0	0
9301020540006	6		0	1	6	equip301020541006	1	1	200000	item103015110401	5	1	item108100103151	5	1	item108100102102	15	1		0	0		0	0
9301030540001	6		0	1	7	equip301030541001	1	1	50000	equip301020541001	1	3	item103015110401	2	1		0	0		0	0		0	0
9302030540001	6		0	1	8	equip302030541001	1	1	100000	item103015110402	4	1	item103015110407	12	1		0	0		0	0		0	0
9303030540001	6		0	1	9	equip303030541001	1	1	100000	item103015110403	3	1	item103015110407	20	1		0	0		0	0		0	0
9304030540001	6		0	1	10	equip304030541001	1	1	100000	item103015110404	4	1	item103015110407	16	1		0	0		0	0		0	0
9305030540001	6		0	1	11	equip305030541001	1	1	100000	item103015110405	4	1	item103015110407	16	1		0	0		0	0		0	0
9306030540001	6		0	1	12	equip306030541001	1	1	100000	item103015110406	2	1	item103015110407	24	1		0	0		0	0		0	0
9301030540002	6		0	1	13	equip301030541002	1	1	50000	equip301020541002	1	3	item103015110401	2	1		0	0		0	0		0	0
9302030540002	6		0	1	14	equip302030541002	1	1	100000	item103015110402	4	1	item103015110407	12	1		0	0		0	0		0	0
9303030540002	6		0	1	15	equip303030541002	1	1	100000	item103015110403	3	1	item103015110407	20	1		0	0		0	0		0	0
9304030540002	6		0	1	16	equip304030541002	1	1	100000	item103015110404	4	1	item103015110407	16	1		0	0		0	0		0	0
9305030540002	6		0	1	17	equip305030541002	1	1	100000	item103015110405	4	1	item103015110407	16	1		0	0		0	0		0	0
9306030540002	6		0	1	18	equip306030541002	1	1	100000	item103015110406	2	1	item103015110407	24	1		0	0		0	0		0	0
9301030540003	6		0	1	19	equip301030541003	1	1	50000	equip301020541003	1	3	item103015110401	2	1		0	0		0	0		0	0
9302030540003	6		0	1	20	equip302030541003	1	1	100000	item103015110402	4	1	item103015110407	12	1		0	0		0	0		0	0
9303030540003	6		0	1	21	equip303030541003	1	1	100000	item103015110403	3	1	item103015110407	20	1		0	0		0	0		0	0
9304030540003	6		0	1	22	equip304030541003	1	1	100000	item103015110404	4	1	item103015110407	16	1		0	0		0	0		0	0
9305030540003	6		0	1	23	equip305030541003	1	1	100000	item103015110405	4	1	item103015110407	16	1		0	0		0	0		0	0
9306030540003	6		0	1	24	equip306030541003	1	1	100000	item103015110406	2	1	item103015110407	24	1		0	0		0	0		0	0
9301030540004	6		0	1	25	equip301030541004	1	1	50000	equip301020541004	1	3	item103015110401	2	1		0	0		0	0		0	0
9302030540004	6		0	1	26	equip302030541004	1	1	100000	item103015110402	4	1	item103015110407	12	1		0	0		0	0		0	0
9303030540004	6		0	1	27	equip303030541004	1	1	100000	item103015110403	3	1	item103015110407	20	1		0	0		0	0		0	0
9304030540004	6		0	1	28	equip304030541004	1	1	100000	item103015110404	4	1	item103015110407	16	1		0	0		0	0		0	0
9305030540004	6		0	1	29	equip305030541004	1	1	100000	item103015110405	4	1	item103015110407	16	1		0	0		0	0		0	0
9306030540004	6		0	1	30	equip306030541004	1	1	100000	item103015110406	2	1	item103015110407	24	1		0	0		0	0		0	0
9301030540005	6		0	1	31	equip301030541005	1	1	50000	equip301020541005	1	3	item103015110401	2	1		0	0		0	0		0	0
