ID	类型	拾起触发半径	掉落特效ID	拾起特效ID	品质特效ID
int	int	float	int	int	string
Id	LootType	TriggerRadius	DropEffectId	PickupEffectId	RareEffectId
100	0	3.000000	28	90000	
101	1	3.000000	0	0	
102	2	3.000000	0	0	
103	3	3.000000	27	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
104	0	3.000000	0	0	
105	7	3.000000	0	0	
106	4	3.000000	0	0	
107	4	3.000000	0	0	
108	4	3.000000	0	0	
109	3	3.000000	90002	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
110	3	3.000000	90003	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
111	3	3.000000	90004	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
112	3	3.000000	90005	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
113	3	3.000000	90006	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
114	3	3.000000	90007	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
115	3	3.000000	90008	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
116	3	3.000000	90009	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
117	3	3.000000	90010	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
118	3	3.000000	90022	90000	
119	3	3.000000	90055	90000	
120	3	3.000000	90056	90000	
121	3	3.000000	90057	90000	
122	3	3.000000	90058	90000	
123	3	3.000000	90027	90000	
124	3	3.000000	90059	90000	
125	3	3.000000	90060	90000	
126	3	3.000000	90061	90000	
127	3	3.000000	90062	90000	
128	3	3.000000	90032	90000	
129	3	3.000000	90063	90000	
130	3	3.000000	90064	90000	
131	3	3.000000	90065	90000	
132	3	3.000000	90066	90000	
133	3	3.000000	90037	90000	
134	3	3.000000	90067	90000	
135	3	3.000000	90068	90000	
136	3	3.000000	90069	90000	
137	3	3.000000	90070	90000	
138	3	3.000000	90042	90000	
139	3	3.000000	90071	90000	
140	3	3.000000	90072	90000	
141	3	3.000000	90073	90000	
142	3	3.000000	90074	90000	
143	0	3.000000	20317	90000	
144	0	3.000000	0	90000	
145	3	3.000000	83	90000	
146	3	50.000000	27	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
147	3	50.000000	0	0	
148	3	99.000000	27	90000	0,90016;1,90017;2,90075;3,90076;4,90077;5,90078
1001	99	3.000000	27	90000	
1002	99	3.000000	27	90000	
1003	99	3.000000	27	90000	
2001	98	3.000000	90047	0	
2002	98	3.000000	90048	0	
2003	98	3.000000	90049	0	
2004	98	3.000000	90050	0	
2005	98	3.000000	90051	0	
2006	98	3.000000	90052	0	
2007	98	3.000000	90053	0	
2008	98	3.000000	90054	0	
2009	98	3.000000	90052	0	
