流水ID	战宠ID	生效地区,不填即为全部生效
int	string	string
ID	Fairy	AreaType
1	pet_101	
2	pet_104	
3	pet_111	
4	pet_115	
5	pet_121	
6	pet_124	
7	pet_131	
8	pet_134	
9	pet_141	
10	pet_144	
11	pet_154	
12	pet_155	
13	pet_156	
14	pet_157	
15	pet_158	
16	pet_159	
17	pet_160	
18	pet_161	
19	pet_162	
20	pet_163	
21	pet_164	
22	pet_165	
23	pet_166	
24	pet_167	
25	pet_168	
26	pet_169	
27	pet_170	
28	pet_171	
29	pet_172	
30	pet_173	
31	pet_174	
32	pet_175	
33	pet_176	
34	pet_177	
35	pet_179	
36	pet_180	
37	pet_181	
38	pet_182	
39	pet_183	
40	pet_184	
41	pet_185	
42	pet_186	
43	pet_187	
44	pet_188	
45	pet_190	
46	pet_192	
47	pet_194	
48	pet_196	
49	pet_198	
50	pet_199	
51	pet_200	
52	pet_201	
53	pet_202	
54	pet_301	
55	pet_303	
56	pet_305	
57	pet_307	
58	pet_309	
59	pet_310	
60	pet_311	
61	pet_313	
62	pet_314	
63	pet_315	
64	pet_316	
65	pet_317	
66	pet_318	
67	pet_319	
68	pet_320	
69	pet_321	
70	pet_322	
71	pet_323	
72	pet_324	
73	pet_325	
74	pet_327	
75	pet_329	
76	pet_331	
77	pet_333	2
78	pet_203	
79	pet_204	
80	pet_335	4
81	pet_205	5
82	pet_337	
83	pet_338	
84	pet_339	
85	pet_340	4
86	pet_341	4
87	pet_342	1
88	pet_343	1
89	pet_344	
90	pet_345	
91	pet_349	
92	pet_350	
93	pet_351	
94	pet_354	
95	pet_355	
96	pet_356	
97	pet_360	
98	pet_361	
99	pet_362	
100	pet_363	
101	pet_364	
102	pet_365	
103	pet_367	
104	pet_370	
105	pet_371	
106	pet_372	
107	pet_373	
108	pet_374	
109	pet_375	
110	pet_376	
111	pet_377	
112	pet_378	
113	pet_379	
114	pet_380	
115	pet_381	
116	pet_382	
117	pet_383	
118	pet_385	
119	pet_386	
120	pet_387	
121	pet_388	
122	pet_389	
123	pet_390	
124	pet_391	
125	pet_392	
126	pet_393	
127	pet_398	
128	pet_399	
129	pet_400	
130	pet_410	
