怪物编号	对象类型	动作集	名字	功能名称	种族编号	模型编号	怪物头像	小地图图标	脚本编号	仇恨模式编号	怪物种类	怪物属性类型	属性匹配	世界等级匹配	属性值ID	普通技能	怪物技能	怪物等级	发射点偏移	模型缩放	阻挡信息	旋转	更新AI攻击目标的时间间隔	待机移动速度偏移	战斗移动速度偏移	怪物出场描述	是否显示阴影	触发范围	随机移动半径	是否保持追击	最大追击范围	经验值	死亡特效	死亡慢镜头	死亡程序效果	出场动作	出场美术特效ID	出场程序特效	出场特殊效果	常驻美术特效	常驻头顶标记	怪物说话模组	小地图红点显示	名称血条常驻显示	对话显示修正	对话显示缩放	隐藏进战斗感叹号	元素附体属性
string	string	int	string	string	int	string	string	string	string	int	int	int	int	int	string	string	string	int	string	float	string	vector3	int	float	float	string	int	float	float	int	float	int	int	int	int	int	int	int	int	string	string	int	int	int	vector3	float	int	int
Id	script	ActionSet	Name	FunctionName	TribeId	Avatar	Icon	FuncIcon	LuaScript	AggroTypeId	MonsterType	MonsterGrade	LevelMatching	WorldLevelMatching	PropValueId	NormalSkill	SkillConfig	Level	BulletOffset	AvatarZoom	CollideInfo	RotationAngle	UpdateAttackTargetTime	RestMoveSpeed	FightMoveSpeed	NameDes	IsNotShowShadow	SpringRange	RandomMoveRange	IsKeepChase	MaxChaseDistance	Exp	DeathEffect	DeathSpecialEffect	DeadProgramEffect	BornAction	BornEffect	BornProgramEffect	BornSpecialEffect	PermanentEffect	SenceIcon	SpeakMod	RedPointDisplayType	NameVisibility	TalkShowOffset	TalkShowScale	AlertInvisible	ElementalWithinType
skill_pet001	MonsterNpc	0			0					0	101	0	4001872	0	400187201	skill60981_1	skill60981_1	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0	50082		0	0	2	0,0,0	1.000000	1	0
proxy_skill10024	MonsterNpc	24706112			1	soldier706|body|soldier706_body_t1				1005	57	0	0	0	400187201	skill10024_proxy	skill10024_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill10025	MonsterNpc	24704112			1	soldier704|body|soldier704_body_t1				1005	57	0	0	0	400187201	skill10025_proxy	skill10025_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill10026	MonsterNpc	24708112			1	soldier708|body|soldier708_body_t1				1005	57	0	0	0	400187201	skill10026_proxy	skill10026_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill11040	MonsterNpc	24703112			1	soldier703|body|soldier703_body_t1				1005	57	0	0	0	400187201	skill11040_proxy	skill11040_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill11041	MonsterNpc	24707112			1	soldier707|body|soldier707_body_t1				1005	57	0	0	0	400187201	skill11041_proxy	skill11041_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill11042	MonsterNpc	24705112			1	soldier705|body|soldier705_body_t1				1005	57	0	0	0	400187201	skill11042_proxy	skill11042_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill61241	MonsterNpc	24706112			1	soldier706|body|soldier706_body_t1				1005	57	0	0	0	400187201	skill61241_proxy	skill61241_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill61261	MonsterNpc	24707112			1	soldier707|body|soldier707_body_t1				1005	57	0	0	0	400187201	skill61261_proxy	skill61261_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill61271	MonsterNpc	24708112			1	soldier708|body|soldier708_body_t1				1005	57	0	0	0	400187201	skill61281_proxy	skill61281_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill61331	MonsterNpc	0			0					0	1	0	400211	0	400211055			85		1.000000			1	-5.000000	-5.000000		0	5.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	0	0,0,0	1.000000	1	0
proxy_skill61332	MonsterNpc	24708112			1	soldier708|body|soldier708_body_t1				1005	57	0	0	0	400187201	skill61281_proxy	skill61281_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
proxy_skill61451	MonsterNpc	23709004			1	p709|body|p709_body_t1				1005	57	0	0	0	400187201	skill61451_proxy	skill61451_proxy	60		1.000000			1	0.000000	0.000000		0	100.000000	5.000000	1	1000.000000	0	0	0	0	0	0	0	0			0	0	2	0,0,0	1.000000	1	0
monster10000001	MonsterNpc	2000002		FunctionName_10075	1	m001|body|m001_body_t1	m001_portrait01			1002	1	1	0	0	101010003	skill20100		3	0,0.65,1	1.000000			1	-3.000000	-2.000000		0	10.000000	4.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000002	MonsterNpc	2002002	name_m004		1	m002|body|m002_body_t1	m002_portrait01			1002	1	1	0	0	101010001	skill20200		2		1.000000			1	-3.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000003	MonsterNpc	2001002	name_m010		8	m004|body|m004_body_t1	m004_portrait01			1002	1	1	0	0	101010001	skill20400	skill20401	5		1.000000			1	-5.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000004	MonsterNpc	2004002	name_m016		1	m006|body|m006_body_t1	m006_portrait01			1002	2	2	0	0	410000002	skill20700	skill20701,skill20702	2		1.000000			1	-3.000000	-2.000000		0	20.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
monster10000005	MonsterNpc	2001002	name_m010		8	m004|body|m004_body_t1	m004_portrait01			1002	1	1	0	0	301040020	skill20400	skill20401	5		1.000000			1	-5.000000	-2.000000		0	10.000000	5.000000	0	20.000000	0	0	0	0	0	0	0	0			0	1	0	0,0,0	1.000000	0	0
